feature,group,transform,valid_r2,valid_corr
feature_04,date,cs_rank,0.0012700738896652686,-0.035637623488020825
feature_04,date,cs_z,0.0012387121397370304,-0.035198528110018085
feature_36,date,cs_z,0.0006183273684291501,-0.024877449408493697
feature_36,date,cs_rank,0.0005314278054217025,-0.023150530433332255
feature_60,date,cs_z,0.00024735523772578816,0.016052540569337206
feature_48,date,cs_rank,0.00019778757524735457,-0.01633461510315787
feature_15,date,cs_z,0.00007638622541206175,0.010589266868750542
feature_17,date,cs_z,0.00004195712590959744,0.01590970715684264
feature_60,date,cs_rank,0.000028525489016328898,0.006721152761466171
feature_45,date,cs_z,0.00002642927990492705,-0.01284134625947362
feature_15,date,cs_rank,0.000019941935261669208,0.004313943104928297
feature_49,date,cs_rank,0.000019036418619222673,-0.004370851051060835
feature_48,date,cs_z,0.000016446324501928622,-0.010777924016555368
feature_15,date_time,cs_rank,0.000014145069953230838,0.011279819162959219
feature_17,date,cs_rank,8.533508997654593e-6,0.004583182655798274
feature_66,date_time,cs_rank,8.379813222880728e-6,0.005114993618135447
feature_45,date_time,cs_rank,8.379813222880728e-6,0.005114993618135447
feature_56,date_time,cs_rank,8.26449716928579e-6,0.0
feature_19,date_time,cs_rank,8.26449716928579e-6,0.0
feature_60,date_time,cs_rank,8.264481231257115e-6,0.0
feature_47,date_time,cs_rank,8.264481231257115e-6,0.0
feature_07,date_time,cs_rank,8.264481231257115e-6,0.0
feature_49,date_time,cs_rank,8.264481231257115e-6,0.0
feature_48,date_time,cs_rank,8.264481231257115e-6,0.0
feature_36,date_time,cs_rank,8.264481231257115e-6,0.0
feature_16,date_time,cs_rank,8.264139469749132e-6,0.0
feature_17,date_time,cs_rank,7.876323606881286e-6,5.659313515643032e-6
feature_56,date,cs_z,6.522798078112402e-6,-0.009575481175448809
feature_04,date_time,cs_rank,6.340780969282811e-6,0.0
feature_45,date,cs_rank,4.124311773989753e-6,-0.011938391764467978
feature_66,date_time,cs_z,0.0,0.0
feature_07,date_time,cs_z,0.0,0.0
feature_04,date_time,cs_z,0.0,0.0
feature_49,date_time,cs_z,0.0,0.0
feature_47,date_time,cs_z,0.0,0.0
feature_17,date_time,cs_z,0.0,0.0
feature_36,date_time,cs_z,0.0,0.0
feature_15,date_time,cs_z,0.0,0.0
feature_56,date_time,cs_z,0.0,0.0
feature_16,date_time,cs_z,0.0,0.0
feature_19,date_time,cs_z,0.0,0.0
feature_60,date_time,cs_z,0.0,0.0
feature_48,date_time,cs_z,0.0,0.0
feature_45,date_time,cs_z,0.0,0.0
feature_49,date,cs_z,-0.000011411440663300354,0.0037012856263677995
feature_16,date,cs_rank,-0.00002230576692019426,0.004505607927816904
feature_56,date,cs_rank,-0.00002705083777798656,-0.00926024548920115
feature_47,date,cs_rank,-0.00005873986436633061,-0.004139815960245182
feature_16,date,cs_z,-0.00006395772529832477,0.012996281462131554
feature_66,date,cs_rank,-0.00007011757013386521,-0.008677962066355937
feature_66,date,cs_z,-0.0000894919030198782,-0.00967074154319248
feature_47,date,cs_z,-0.00009025863021028258,0.005409844114130521
feature_19,date,cs_rank,-0.00009115052928998502,-0.009453510431469801
feature_19,date,cs_z,-0.00014846212353480936,-0.008980471974195615
feature_07,date,cs_z,-0.000710309416327215,-0.009205170556497718
feature_07,date,cs_rank,-0.0007257169126817509,-0.010991309774000075
