rule,null_kind,run,valid_r2
feature_04::z,iid,0,-0.000027439646968829834
feature_04::z,iid,1,-5.869243516753997e-6
feature_04::z,iid,2,4.0382981667530515e-6
feature_04::z,iid,3,9.519957399284351e-6
feature_04::z,iid,4,-0.0001238501289293481
feature_04::z,iid,5,-0.00002458468993271623
feature_04::z,iid,6,-1.2855892761454157e-6
feature_04::z,iid,7,-0.00007207716867863034
feature_04::z,block,0,-3.4877103811670196e-6
feature_04::z,block,1,0.000019849687024176
feature_04::z,block,2,-0.00006868870745657674
feature_04::z,block,3,2.5841940918258643e-6
feature_04::z,block,4,-0.00006349873542332851
feature_04::z,block,5,5.117218375372268e-6
feature_04::z,block,6,-3.216301154296275e-6
feature_04::z,block,7,-0.00003253306699213532
feature_04::z,date,0,2.781276785546183e-7
feature_04::z,date,1,-1.9454074653424414e-6
feature_04::z,date,2,2.510078280781869e-6
feature_04::z,date,3,8.385925318710186e-6
feature_04::z,date,4,1.523773102141135e-7
feature_04::z,date,5,-5.255440161944236e-6
feature_04::z,date,6,2.3108603475208156e-7
feature_04::z,date,7,6.048750981202389e-7
feature_04::z,circular,0,0.00005133072630736368
feature_04::z,circular,1,-0.00009394590934141966
feature_04::z,circular,2,-0.00007164989711561098
feature_04::z,circular,3,0.00001733504516876483
feature_04::z,circular,4,-7.445895632063326e-6
feature_04::z,circular,5,8.990886303017476e-6
feature_04::z,circular,6,-5.75298900740151e-6
feature_04::z,circular,7,-0.0000245902067190773
feature_16::square_z,iid,0,-2.7679005747405228e-6
feature_16::square_z,iid,1,1.166828374254969e-6
feature_16::square_z,iid,2,1.3605739065392086e-6
feature_16::square_z,iid,3,9.423522388640748e-6
feature_16::square_z,iid,4,-0.000012012391802374012
feature_16::square_z,iid,5,-6.434308863489946e-9
feature_16::square_z,iid,6,-0.000029539518774601703
feature_16::square_z,iid,7,-2.8484260483629953e-7
feature_16::square_z,block,0,-3.3636921470403536e-7
feature_16::square_z,block,1,-6.416741364922984e-6
feature_16::square_z,block,2,3.800512973217707e-7
feature_16::square_z,block,3,-0.000031732272312234855
feature_16::square_z,block,4,5.979947260703611e-7
feature_16::square_z,block,5,-2.200034504351578e-6
feature_16::square_z,block,6,-2.0932956035224493e-6
feature_16::square_z,block,7,-0.00008404555282837123
feature_16::square_z,date,0,0.000012755985184909058
feature_16::square_z,date,1,-5.765061539930727e-6
feature_16::square_z,date,2,7.00618744930992e-6
feature_16::square_z,date,3,-4.576908382958322e-6
feature_16::square_z,date,4,1.1822855916499009e-6
feature_16::square_z,date,5,-0.000015570385759611227
feature_16::square_z,date,6,-0.000021189303701873996
feature_16::square_z,date,7,4.675274486443115e-6
feature_16::square_z,circular,0,-3.248812362688369e-6
feature_16::square_z,circular,1,-0.000012301888844712394
feature_16::square_z,circular,2,-5.886133573884678e-7
feature_16::square_z,circular,3,1.1259693861731535e-6
feature_16::square_z,circular,4,-1.614184244269623e-6
feature_16::square_z,circular,5,1.740070676437e-8
feature_16::square_z,circular,6,1.3077612032175168e-6
feature_16::square_z,circular,7,1.3659684472422384e-6
