null_kind,run,valid_r2,left,right,interaction
iid,0,0.00003993883268538223,feature_60,feature_48,sign_product
iid,1,0.0000469490567259756,feature_19,feature_56,sign_product
iid,2,0.00006938530939970544,feature_19,feature_07,z_product
iid,3,0.00009103416661460084,feature_17,feature_15,z_diff
iid,4,0.00003511022623792215,feature_19,feature_49,sign_product
iid,5,0.00007444821819801994,feature_16,feature_07,rank_product
iid,6,0.00006370215820661329,feature_47,feature_07,z_diff
iid,7,0.000058601680123837596,feature_17,feature_36,z_product
block,0,0.00005279076371667024,feature_04,feature_36,z_product
block,1,0.00022019120811156423,feature_47,feature_66,z_product
block,2,0.00005306817840355915,feature_45,feature_56,z_product
block,3,0.00036483683811960876,feature_47,feature_36,z_product
block,4,0.00010958708369379622,feature_16,feature_45,rank_product
block,5,0.00005226272188041392,feature_36,feature_56,sign_product
block,6,0.000044805035449901887,feature_04,feature_17,abs_z_diff
block,7,0.00012118139102323955,feature_04,feature_47,z_diff
date,0,0.000047309041346865754,feature_17,feature_48,sign_product
date,1,0.00003012474659913611,feature_04,feature_66,z_product
date,2,0.00011626713955958934,feature_47,feature_15,abs_z_diff
date,3,0.00007317066437984021,feature_36,feature_56,z_diff
date,4,0.000044906766639707385,feature_15,feature_07,rank_product
date,5,0.0001115671612791358,feature_45,feature_07,rank_diff
date,6,0.00004726028880308597,feature_04,feature_47,sign_product
date,7,0.000050597434135157826,feature_60,feature_19,sign_product
circular,0,0.00007905171789956977,feature_04,feature_47,z_product
circular,1,0.00006277885049721377,feature_36,feature_66,rank_diff
circular,2,0.00011122992887346861,feature_17,feature_15,rank_diff
circular,3,0.00010746347408074897,feature_04,feature_66,z_product
circular,4,0.00004704994439563848,feature_17,feature_49,rank_product
circular,5,0.00008573367201014648,feature_04,feature_56,z_product
circular,6,0.00008244654382871808,feature_15,feature_07,sign_product
circular,7,0.00006760327354549123,feature_48,feature_19,z_product
