baseline_model,residual_feature,residual_transform,alpha,baseline_valid_r2,final_valid_r2,delta_r2
ridge_rank_alpha10000,feature_47,z,0.008544805512713239,0.0020924724141028195,0.0032297171013584425,0.001137244687255623
ridge_rank_alpha10000,feature_47,abs_z,0.0069076751410606235,0.0020924724141028195,0.002958504245582416,0.0008660318314795967
ridge_rank_alpha10000,feature_60,z,0.012707900020116483,0.0020924724141028195,0.0027532703743163855,0.0006607979602135661
ridge_rank_alpha10000,feature_17,square_z,0.0013264735671974736,0.0020924724141028195,0.0027507389132143123,0.0006582664991114928
ridge_rank_alpha10000,feature_60,top05_indicator,0.09071379484223888,0.0020924724141028195,0.0026777768662896717,0.0005853044521868522
ridge_rank_alpha10000,feature_60,signed_tail05,0.04483470552510022,0.0020924724141028195,0.0026131654176008157,0.0005206930034979962
ridge_rank_alpha10000,feature_15,square_z,0.001979081055253249,0.0020924724141028195,0.002538398689525545,0.00044592627542272556
ridge_rank_alpha10000,feature_49,top05_indicator,0.054170179840042534,0.0020924724141028195,0.002517055358367326,0.0004245829442645066
ridge_rank_alpha10000,feature_58,z,0.011726853288817903,0.0020924724141028195,0.0025157525223318267,0.0004232801082290072
ridge_rank_alpha10000,feature_16,square_z,0.0007165779777903656,0.0020924724141028195,0.0024736187393354925,0.000381146325232673
ridge_rank_alpha10000,feature_59,z,0.010422933055386191,0.0020924724141028195,0.002396053089155026,0.0003035806750522063
ridge_rank_alpha10000,feature_49,signed_tail05,0.025627166381224135,0.0020924724141028195,0.0023687077107845678,0.0002762352966817483
ridge_rank_alpha10000,feature_49,z,0.00736203387679265,0.0020924724141028195,0.002325044932736664,0.00023257251863384454
ridge_rank_alpha10000,feature_59,signed_tail05,0.03380666260313974,0.0020924724141028195,0.0023220317788421596,0.00022955936473934013
ridge_rank_alpha10000,feature_47,top05_indicator,0.035955915011547476,0.0020924724141028195,0.0023152268014918764,0.00022275438738905695
ridge_rank_alpha10000,feature_58,top05_indicator,0.04459195882071988,0.0020924724141028195,0.002299108190398913,0.00020663577629609353
ridge_rank_alpha10000,feature_47,signed_tail05,0.024455512597632276,0.0020924724141028195,0.002284485669237224,0.00019201325513440448
ridge_rank_alpha10000,feature_48,top05_indicator,0.03235771996192791,0.0020924724141028195,0.0022693925904955226,0.00017692017639270308
ridge_rank_alpha10000,feature_59,top05_indicator,0.04590165887726692,0.0020924724141028195,0.0022692434201672107,0.00017677100606439122
ridge_rank_alpha10000,feature_58,signed_tail05,0.023036287870102517,0.0020924724141028195,0.0022606261837263553,0.0001681537696235358
ridge_rank_alpha10000,feature_60,abs_z,0.00661082462952762,0.0020924724141028195,0.0022445226548687414,0.00015205024076592188
ridge_rank_alpha10000,feature_17,z,0.0034405249593279404,0.0020924724141028195,0.0022218130988228557,0.00012934068472003624
ridge_rank_alpha10000,feature_66,square_z,-0.002528338815033585,0.0020924724141028195,0.00221946637992676,0.0001269939658239405
ridge_rank_alpha10000,feature_15,z,0.004582626648480521,0.0020924724141028195,0.0022194197130729343,0.0001269472989701148
ridge_rank_alpha10000,feature_19,square_z,-0.0038759394053883007,0.0020924724141028195,0.0022049643482632275,0.00011249193416040804
ridge_rank_alpha10000,feature_66,top05_indicator,-0.01599503085304761,0.0020924724141028195,0.0022003627563549344,0.00010789034225211491
ridge_rank_alpha10000,feature_60,rank,0.007500278737040179,0.0020924724141028195,0.002195965522516774,0.00010349310841395454
ridge_rank_alpha10000,feature_19,top05_indicator,-0.02312643741620124,0.0020924724141028195,0.002191711079173153,0.00009923866507033363
ridge_rank_alpha10000,feature_19,abs_z,-0.004351183929462825,0.0020924724141028195,0.0021868364101068627,0.00009436399600404322
ridge_rank_alpha10000,feature_52,top05_indicator,0.0349555690242691,0.0020924724141028195,0.002184906910440043,0.00009243449633722367
ridge_rank_alpha10000,feature_48,signed_tail05,0.01739470454560745,0.0020924724141028195,0.002182022480632262,0.00008955006652944242
ridge_rank_alpha10000,feature_66,abs_z,-0.0028671008958724383,0.0020924724141028195,0.002172232312064537,0.00007975989796171756
ridge_rank_alpha10000,feature_52,z,0.0030194833897115706,0.0020924724141028195,0.00216917696622676,0.00007670455212394067
ridge_rank_alpha10000,feature_67,top05_indicator,-0.0270535395553447,0.0020924724141028195,0.002166612344363883,0.00007413993026106347
ridge_rank_alpha10000,feature_57,top05_indicator,0.010199030864819339,0.0020924724141028195,0.002166578100572414,0.00007410568646959437
ridge_rank_alpha10000,feature_00,signed_tail05,-0.00828047354273137,0.0020924724141028195,0.0021634237543363133,0.00007095134023349381
ridge_rank_alpha10000,feature_05,square_z,0.000907590977693648,0.0020924724141028195,0.0021633996266882116,0.00007092721258539214
