feature,group,transform,valid_r2,valid_corr
feature_36,date,cs_z,0.0013687083951414714,-0.03728028489367482
feature_36,date,cs_rank,0.0012238589243839249,-0.035010928368225364
feature_04,date,cs_rank,0.0011455828107653776,-0.03384951392568987
feature_04,date,cs_z,0.0010907674425448821,-0.03303946585153697
feature_06,date,cs_rank,0.0010429074323706766,-0.032866774341010055
feature_06,date,cs_z,0.0007457283204371778,-0.028575904368109334
feature_01,date,cs_z,0.0004988574170130544,-0.02235981855758266
feature_01,date,cs_rank,0.00047354677531341594,-0.021848169047550603
feature_07,date,cs_rank,0.00037906173348623007,-0.021456185837603853
feature_70,date,cs_z,0.00026326504362272907,-0.01651314721171936
feature_49,date,cs_rank,0.00023228063633007334,-0.015901620535446435
feature_58,date,cs_z,0.00022528260993170957,0.015016548202113556
feature_70,date,cs_rank,0.00018530452397647057,-0.014067667484394286
feature_45,date,cs_z,0.0001728648686953882,-0.013093690485316514
feature_45,date,cs_rank,0.00016782713908403135,-0.01292309523457594
feature_07,date,cs_z,0.0001274429156953305,-0.015227430621848337
feature_39,date,cs_rank,0.0001239065382774296,-0.014401909628311345
feature_12,date,cs_rank,0.00010314011046286264,-0.010265910842172687
feature_47,date,cs_z,0.00009336306363139091,0.01107522558501187
feature_48,date,cs_rank,0.00009180210294601476,-0.010796312900351178
feature_39,date,cs_z,0.00008927972477168478,-0.01104466263515407
feature_72,date,cs_rank,0.00006648906866812965,-0.008156217584038712
feature_12,date,cs_z,0.000055205436061300794,-0.012394344887585371
feature_47,date,cs_rank,0.000035748047099048996,-0.0063602322278022766
feature_48,date,cs_z,5.810047352450276e-6,-0.002609572217246529
feature_36,date_time,cs_z,0.0,0.0
feature_72,date_time,cs_z,0.0,0.0
feature_12,date_time,cs_z,0.0,0.0
feature_04,date_time,cs_z,0.0,0.0
feature_48,date_time,cs_z,0.0,0.0
feature_06,date_time,cs_z,0.0,0.0
feature_49,date_time,cs_z,0.0,0.0
feature_07,date_time,cs_z,0.0,0.0
feature_58,date_time,cs_z,0.0,0.0
feature_01,date_time,cs_z,0.0,0.0
feature_70,date_time,cs_z,0.0,0.0
feature_39,date_time,cs_z,0.0,0.0
feature_45,date_time,cs_z,0.0,0.0
feature_47,date_time,cs_z,0.0,0.0
feature_49,date,cs_z,-7.834504116122076e-6,0.004262114381199678
feature_58,date,cs_rank,-8.209707794915033e-6,-0.0025711203152313468
feature_72,date,cs_z,-0.000015312691895807973,-0.007269734913033285
feature_39,date_time,cs_rank,-0.00012035953779476749,0.011198450989111418
feature_58,date_time,cs_rank,-0.00013090545184568647,0.0099533742496638
feature_06,date_time,cs_rank,-0.00013292240451057147,0.0
feature_47,date_time,cs_rank,-0.00013292240451057147,0.0
feature_72,date_time,cs_rank,-0.00013292240451057147,0.0
feature_36,date_time,cs_rank,-0.00013292240451057147,0.0
feature_70,date_time,cs_rank,-0.00013292240451057147,0.0
feature_01,date_time,cs_rank,-0.00013292240451057147,0.0
feature_07,date_time,cs_rank,-0.00013292240451057147,0.0
feature_49,date_time,cs_rank,-0.00013292240451057147,0.0
feature_48,date_time,cs_rank,-0.00013292240451057147,0.0
feature_04,date_time,cs_rank,-0.00013292240451057147,0.0
feature_12,date_time,cs_rank,-0.00013292240451057147,0.0
feature_45,date_time,cs_rank,-0.0001329473810030013,0.001823333301902105
