rule,null_kind,run,valid_r2
feature_04::z,iid,0,-0.00004776054448263345
feature_04::z,iid,1,0.00003758624580663117
feature_04::z,iid,2,8.254483241376676e-8
feature_04::z,iid,3,-7.880624635969724e-6
feature_04::z,iid,4,1.043400473577094e-6
feature_04::z,iid,5,-0.00003766689266848644
feature_04::z,iid,6,-0.000015739094043842883
feature_04::z,iid,7,1.1951545291211119e-6
feature_04::z,block,0,7.663512877509326e-6
feature_04::z,block,1,0.00001952231587198927
feature_04::z,block,2,-0.00004689512854727518
feature_04::z,block,3,0.000013641345037784802
feature_04::z,block,4,-6.4199062010938945e-6
feature_04::z,block,5,4.730920479589784e-6
feature_04::z,block,6,-1.2440893306653322e-6
feature_04::z,block,7,6.44172375630081e-6
feature_04::z,date,0,-0.00005468031512290139
feature_04::z,date,1,-1.728390672361968e-6
feature_04::z,date,2,0.00005189056401000425
feature_04::z,date,3,-0.000010162274593827902
feature_04::z,date,4,9.87716096800817e-7
feature_04::z,date,5,-2.7159659250486357e-6
feature_04::z,date,6,-0.00001219415025843773
feature_04::z,date,7,-0.000015201352851823557
feature_04::z,circular,0,0.00002274022160142497
feature_04::z,circular,1,-0.000012728882034407363
feature_04::z,circular,2,-0.00001213769241981133
feature_04::z,circular,3,0.00001457430064510934
feature_04::z,circular,4,-0.00005894612806134347
feature_04::z,circular,5,1.0378309655001416e-6
feature_04::z,circular,6,-6.625779591651337e-7
feature_04::z,circular,7,-9.823742623593645e-6
feature_16::square_z,iid,0,9.952746701236137e-7
feature_16::square_z,iid,1,-0.000020920248612554815
feature_16::square_z,iid,2,-8.537813167563968e-8
feature_16::square_z,iid,3,-8.087466406569987e-6
feature_16::square_z,iid,4,1.2409759371223572e-6
feature_16::square_z,iid,5,-7.287099701436262e-8
feature_16::square_z,iid,6,-2.8224205474991493e-6
feature_16::square_z,iid,7,1.56516324689715e-6
feature_16::square_z,block,0,-1.8954155187600463e-6
feature_16::square_z,block,1,-1.3244175511850642e-7
feature_16::square_z,block,2,5.816497287147726e-6
feature_16::square_z,block,3,5.69717432796768e-6
feature_16::square_z,block,4,-2.6144340092848495e-7
feature_16::square_z,block,5,-1.3417020361394805e-7
feature_16::square_z,block,6,3.0112591897779595e-7
feature_16::square_z,block,7,-1.1780676920647437e-6
feature_16::square_z,date,0,5.707337711102767e-6
feature_16::square_z,date,1,-9.909266109886516e-7
feature_16::square_z,date,2,-6.909318939207765e-8
feature_16::square_z,date,3,-0.00002453519470657639
feature_16::square_z,date,4,-0.000017225411969246096
feature_16::square_z,date,5,-0.000060820671211159194
feature_16::square_z,date,6,6.73883961965771e-7
feature_16::square_z,date,7,1.1307274344618534e-6
feature_16::square_z,circular,0,-5.2964063965710295e-6
feature_16::square_z,circular,1,-7.668914652869674e-6
feature_16::square_z,circular,2,-8.678677638762622e-7
feature_16::square_z,circular,3,-4.143636754161406e-6
feature_16::square_z,circular,4,-9.887638214856054e-7
feature_16::square_z,circular,5,-0.000036173510364001515
feature_16::square_z,circular,6,1.524214648385147e-6
feature_16::square_z,circular,7,8.801377941680677e-6
