left,right,interaction,alpha,valid_r2,valid_corr
feature_36,feature_58,z_diff,-0.016711795192450817,0.0012282036124739992,-0.03628226446506936
feature_36,feature_47,z_diff,-0.014386808163206168,0.0011101269842290762,-0.0362890870740209
feature_04,feature_58,z_diff,-0.015722327352012108,0.0010895637286943982,-0.034070382954071575
feature_36,feature_49,z_diff,-0.014519261579800853,0.0009231795844779622,-0.03222335895168171
feature_07,feature_58,z_diff,-0.02390139058048363,0.0009089916659256181,-0.030357996868875164
feature_06,feature_58,z_diff,-0.021700796857316518,0.0008985563343246739,-0.030559829072527446
feature_04,feature_47,z_diff,-0.01123517080442366,0.0008302615718137618,-0.031524153655061074
feature_06,feature_47,z_diff,-0.016866221817258564,0.0007988780741822188,-0.028346288525677436
feature_06,feature_48,z_diff,-0.024578530047640736,0.0007848319598074971,-0.02835379792352906
feature_45,feature_58,z_diff,-0.025410898390524912,0.0007686699209901171,-0.027911889170190697
feature_36,feature_48,z_diff,-0.013438661346229022,0.0007497487563655758,-0.028116464533233368
feature_07,feature_47,z_diff,-0.016863914437104107,0.000746281424472639,-0.027616153907655004
feature_36,feature_39,z_product,-0.016198288092783793,0.0007341625454158063,-0.028810286524824678
feature_04,feature_49,z_diff,-0.010916351441104775,0.0006693191290706446,-0.027755153363568704
feature_49,feature_07,z_diff,0.020136455631542288,0.0006659412480481963,0.025845830784124228
feature_06,feature_49,z_diff,-0.018881078587658372,0.000664629057485211,-0.025989053845828013
feature_04,feature_48,z_diff,-0.011562577769356815,0.0006198790667879539,-0.025747363906558036
feature_45,feature_47,z_diff,-0.016611737241029274,0.0005728649856531209,-0.024709990850051145
feature_07,feature_72,sign_product,0.020526172255105488,0.0005547921128099542,0.023520490150864982
feature_06,feature_72,sign_product,0.02089307776929505,0.0005474892329083714,0.023368223192574353
feature_36,feature_72,z_diff,-0.008370987997835658,0.0005065182201733354,-0.02786956017371707
feature_36,feature_45,z_product,-0.011446212391661496,0.00045453670948891745,-0.022799074623803376
feature_01,feature_58,z_diff,-0.009092884612825324,0.0004402422336352574,-0.02262981063355457
feature_39,feature_58,z_diff,-0.010292956310017812,0.0004177461324745835,-0.022968492319722925
feature_36,feature_39,z_diff,-0.011955280424127974,0.00040861276496462207,-0.02031903020582052
feature_06,feature_72,z_diff,-0.011098596317961906,0.0003958872469134178,-0.020248828531020436
feature_04,feature_72,z_diff,-0.0069096955217514905,0.0003955958352265254,-0.025240492074786115
feature_06,feature_48,rank_diff,-0.05740740077287897,0.00038167589116588907,-0.019603689335893393
feature_07,feature_45,rank_product,-0.16756214913994869,0.00037915835160107214,-0.020130870053509883
feature_07,feature_48,z_diff,-0.01478107101661688,0.00035413980634757536,-0.01912938835982507
feature_36,feature_12,z_diff,-0.005942781245017739,0.0003465370127511136,-0.024854928819257795
feature_36,feature_58,rank_diff,-0.03778569252896802,0.0003445397321811816,-0.018681304561132983
feature_58,feature_12,z_product,0.005900188844236179,0.00033280899999699187,0.020609385721422135
feature_36,feature_72,rank_diff,-0.04266797575116366,0.00033201961629203414,-0.01815805676831737
feature_70,feature_58,z_diff,-0.010869373038773176,0.00033013299840367605,-0.018315863310763885
feature_04,feature_58,rank_diff,-0.03525480300525591,0.0003182868910928116,-0.018019061144804817
feature_36,feature_70,z_diff,-0.006189473402100614,0.0003149636739889772,-0.022490987057070724
feature_04,feature_72,rank_diff,-0.03974496426964526,0.000310690970935501,-0.01757352026710232
feature_04,feature_39,z_diff,-0.00974321811903475,0.00031010384861085427,-0.017762547635147945
feature_04,feature_45,z_product,-0.010594372802506023,0.00030877820138575096,-0.017915855541417416
feature_70,feature_58,z_product,0.004835525474042693,0.00030869556301649226,0.022562879304636144
feature_06,feature_58,rank_diff,-0.052684811578719494,0.0003076701788584657,-0.018536701371097006
feature_04,feature_39,z_product,-0.00743483288837259,0.0002992189582338156,-0.020946479647370814
feature_36,feature_47,rank_diff,-0.03322482650781844,0.0002957690048821515,-0.017577163173595867
feature_36,feature_12,rank_diff,-0.03796712215233299,0.0002944542561825747,-0.017103645097655423
feature_06,feature_12,z_diff,-0.008292344473824606,0.0002904915791511753,-0.01780250310123001
feature_04,feature_12,rank_diff,-0.03340865295792733,0.00025996326731803077,-0.016096688063674588
feature_07,feature_12,sign_product,0.01863453867567294,0.0002590380748844767,0.0166157637024567
feature_06,feature_47,rank_diff,-0.043279026854987745,0.0002590284947509014,-0.01656042482958502
feature_70,feature_47,z_product,0.005453938428412328,0.00025859530387595253,0.018365067298168475
feature_47,feature_12,z_product,0.006416216535085539,0.00025845054409645574,0.016869421813602486
feature_06,feature_72,rank_diff,-0.05441113569822104,0.00025834965840254576,-0.01757408917805239
feature_72,feature_58,z_product,0.0029931296775794463,0.0002572095836297361,0.024542859947300336
feature_06,feature_12,rank_diff,-0.048329448088540984,0.00024461658917973583,-0.01667248832006061
feature_01,feature_47,z_diff,-0.00450390942150183,0.0002418867740527908,-0.020302712347021846
feature_04,feature_12,z_diff,-0.004374993299957196,0.00024177767361144298,-0.021843875596251724
feature_07,feature_48,z_product,0.0018714450457687694,0.00024142398136339782,0.015790615587488826
feature_04,feature_47,rank_diff,-0.02629658611252759,0.00023842404666618577,-0.016003621362144643
feature_06,feature_70,z_diff,-0.008625910945645344,0.0002358333574453697,-0.015572796782909185
feature_39,feature_58,z_product,0.003496118218165079,0.00023238140802228635,0.02083543574352322
feature_36,feature_48,rank_diff,-0.027397828163935052,0.0002316309918808379,-0.01550759094030909
feature_36,feature_58,z_product,-0.003016002823911604,0.00022899504006235194,-0.025719857287436178
feature_06,feature_45,z_product,-0.010618415491972757,0.00022752677984771985,-0.015339176426423769
feature_49,feature_45,z_diff,0.011149310617735763,0.00022269549628106677,0.014999183340547412
feature_04,feature_70,z_diff,-0.004635212993365312,0.00022124359985331576,-0.019598688823263093
feature_58,feature_12,z_diff,0.009700141172276492,0.00022035143563803317,0.014865466307944527
feature_70,feature_47,z_diff,-0.006665933962384938,0.0002180913805148732,-0.015913173272668776
feature_36,feature_39,rank_diff,-0.042142149727616936,0.00021722942421353864,-0.014977279805722107
feature_07,feature_45,z_product,-0.011589279667311552,0.0002170705428874431,-0.01616372712090287
feature_06,feature_45,rank_product,-0.1177799730537572,0.00020844408615883214,-0.014692159336352647
feature_04,feature_45,rank_product,-0.1227516664788936,0.00020749422544252827,-0.014514629687425253
feature_36,feature_72,sign_product,0.007607762081814773,0.00020393148175734677,0.016187833940971338
feature_07,feature_72,z_diff,-0.007225218099479889,0.00020386332814725794,-0.014931614211230024
feature_01,feature_39,z_product,-0.0087530534587935,0.00020284470522569098,-0.015088661017268218
feature_47,feature_72,z_product,0.0031258638845529404,0.0002004977511652628,0.018208206576254774
feature_04,feature_48,rank_diff,-0.0220705190009149,0.0001991047845478766,-0.014845397964839637
feature_04,feature_39,rank_diff,-0.03597928718048485,0.00019665199823704071,-0.014101126237283197
feature_36,feature_45,rank_product,-0.10093471682292662,0.00019658856445514683,-0.01496478960245594
feature_36,feature_01,z_diff,-0.008984053591924897,0.00019463806785158244,-0.013868831872330619
feature_72,feature_58,z_diff,-0.00902344969997913,0.00019384180397319373,-0.013954832764080041
