null_kind,run,valid_r2,left,right,interaction
iid,0,0.00006657393946996049,feature_06,feature_01,z_product
iid,1,0.00007043380465432403,feature_36,feature_12,sign_product
iid,2,0.00005832941635375288,feature_06,feature_01,rank_product
iid,3,0.00005887338256371777,feature_04,feature_48,rank_product
iid,4,0.00006706403545531092,feature_70,feature_45,sign_product
iid,5,0.00008060199302895033,feature_49,feature_48,abs_z_diff
iid,6,0.00005443836884666542,feature_04,feature_12,rank_product
iid,7,0.00012846581427117254,feature_01,feature_58,z_product
block,0,0.00004762724623663672,feature_36,feature_48,rank_diff
block,1,0.00008692645877161898,feature_47,feature_12,rank_product
block,2,0.00009911657832839538,feature_04,feature_47,z_product
block,3,0.0001341733209430096,feature_36,feature_49,z_product
block,4,0.0001374881134207362,feature_47,feature_39,z_product
block,5,0.00007904454315310616,feature_49,feature_58,z_diff
block,6,0.00007091282151217015,feature_70,feature_58,rank_diff
block,7,0.00005182003317383277,feature_06,feature_12,sign_product
date,0,0.00007443969273102091,feature_39,feature_58,rank_diff
date,1,0.00005218289084973904,feature_06,feature_70,rank_diff
date,2,0.0001196536794524361,feature_06,feature_72,z_diff
date,3,0.00006808516835010714,feature_49,feature_07,sign_product
date,4,0.00005981187644821251,feature_06,feature_72,z_diff
date,5,0.00010351155659971134,feature_45,feature_58,z_diff
date,6,0.00006970794112892698,feature_39,feature_12,sign_product
date,7,0.00009460569397068408,feature_36,feature_49,rank_diff
circular,0,0.000060511979317001696,feature_04,feature_48,rank_diff
circular,1,0.00007888648663223474,feature_01,feature_48,rank_diff
circular,2,0.00007536341180591766,feature_04,feature_12,sign_product
circular,3,0.00004875606783749653,feature_07,feature_47,sign_product
circular,4,0.0000684972734471545,feature_04,feature_58,sign_product
circular,5,0.00008137231476168516,feature_47,feature_39,z_diff
circular,6,0.00011457658778113444,feature_07,feature_39,z_product
circular,7,0.000046125579781230996,feature_01,feature_39,rank_diff
