feature,group,transform,valid_r2,valid_corr
feature_36,date,cs_z,0.0018506103744460045,-0.04433932004751259
feature_36,date,cs_rank,0.0012684842066803537,-0.035612352400227185
feature_04,date,cs_z,0.0011248010892950244,-0.03380438379295745
feature_04,date,cs_rank,0.0010501501503428212,-0.032452397456679855
feature_06,date,cs_z,0.0007592157917761799,-0.029777029222521137
feature_06,date,cs_rank,0.000627694181890015,-0.02767586711556945
feature_49,date,cs_rank,0.0003104416821122502,-0.01760556545743927
feature_22,date,cs_z,0.00025346589856212187,-0.023381971063803967
feature_47,date,cs_rank,0.00022784607493575582,-0.016404411545823262
feature_22,date,cs_rank,0.00009643757451627266,-0.013443906782201524
feature_49,date,cs_z,1.8736976492572666e-6,-0.005408103152099664
feature_57,date_time,cs_z,0.0,0.0
feature_36,date_time,cs_z,0.0,0.0
feature_04,date_time,cs_z,0.0,0.0
feature_06,date_time,cs_z,0.0,0.0
feature_49,date_time,cs_z,0.0,0.0
feature_37,date_time,cs_z,0.0,0.0
feature_47,date_time,cs_z,0.0,0.0
feature_22,date_time,cs_z,0.0,0.0
feature_47,date,cs_z,-0.000010378596405402618,-0.0021997469097426057
feature_37,date,cs_rank,-0.00006430810071478277,0.011273554293433597
feature_37,date,cs_z,-0.0000914929134407938,0.002621813464568236
feature_57,date,cs_rank,-0.0001095391296490611,-0.0085533728592486
feature_57,date,cs_z,-0.00023243704023245826,-0.01012250718045329
feature_36,date_time,cs_rank,-0.00026119294511506297,0.0
feature_04,date_time,cs_rank,-0.00026119294511506297,0.0
feature_06,date_time,cs_rank,-0.00026119294511506297,0.0
feature_49,date_time,cs_rank,-0.00026119294511506297,0.0
feature_57,date_time,cs_rank,-0.00026119294511506297,0.0
feature_37,date_time,cs_rank,-0.00026119294511506297,0.0
feature_47,date_time,cs_rank,-0.00026119294511506297,0.0
feature_22,date_time,cs_rank,-0.00026119294511506297,0.0
