feature,transform,alpha,train_r2,valid_r2,train_corr,valid_corr,train_tail_low_mean,train_tail_high_mean,train_tail_spread,valid_tail_low_mean,valid_tail_high_mean,valid_tail_spread,train_binned_mi,valid_binned_mi
feature_36,z,-0.03178441286357235,0.001381447486710763,0.00225982361965793,-0.03721180775919419,-0.04915382745807651,0.04413728306639909,-0.06010977452441232,-0.1042470575908114,0.09518377340383097,-0.12647113416455966,-0.22165490756839062,0.00658707969553584,0.008738628612267174
feature_36,rank,-0.11408815288821793,0.001509577161700082,0.0014824927650883835,-0.038901172779775624,-0.038529188961802005,0.04413728306639909,-0.06010977452441232,-0.1042470575908114,0.09518377340383097,-0.12647113416455966,-0.22165490756839062,0.00658707969553584,0.008750851085352914
feature_04,z,-0.022436035722774257,0.0007346683609387172,0.0012647576425469653,-0.027070106998376933,-0.03669112089946886,0.02224380200844705,-0.006289276862341456,-0.028533078870788504,0.12689365260204924,-0.08202706015085487,-0.2089207127529041,0.0051280183733426,0.007725508483667012
feature_36,signed_tail05,-0.05209929424065606,0.0003578223858957674,0.0010166516254800362,-0.018931018046098383,-0.036099985727994985,0.04413728306639909,-0.06010977452441232,-0.1042470575908114,0.08275110384753692,-0.11380977566489837,-0.19656087951243528,0.001764437489774463,0.0029400172607824257
feature_04,rank,-0.08811574525429601,0.0009380619631541576,0.0009368700231124905,-0.030591430868987683,-0.030702870365444387,0.02224380200844705,-0.006289276862341456,-0.028533078870788504,0.12689365260204924,-0.08202706015085487,-0.2089207127529041,0.0051280183733426,0.007781131118499287
feature_06,z,-0.045402529886150886,0.002552305094629115,0.0008064839458832296,-0.05049520976078045,-0.035163691707867824,0.08712921847939721,-0.0983632244326799,-0.18549244291207712,0.03205809606739042,-0.11129079886139087,-0.14334889492878128,0.007972351312962955,0.008098153006874735
feature_06,top05_indicator,-0.0983632244326799,0.000663433368326638,0.0007604037188768675,-0.023246342667834423,-0.02951155852719389,-0.007391236169015621,-0.0983632244326799,-0.09097198826366429,0.009971213443607964,-0.09281952710015315,-0.10279074054376111,0.0,2.2204460492503128e-16
feature_36,top05_indicator,-0.06010977452441234,0.00023743467451664557,0.000676060586046412,-0.01269290006084691,-0.031053326596326456,-0.009422595948080098,-0.06010977452441232,-0.05068717857633222,0.00931454307662655,-0.11380977566489837,-0.12312431874152492,0.0,2.2204460492503128e-16
feature_06,signed_tail05,-0.09279414536917614,0.0011708824334565326,0.000608911052327743,-0.034184687178035605,-0.02729258836332271,0.08712921847939721,-0.0983632244326799,-0.18549244291207712,0.036888830156931895,-0.09281952710015315,-0.12970835725708504,0.001654121150587121,0.0014522149572937402
feature_06,sign,-0.02759761722773027,0.001089970104614646,0.0005721518676502502,-0.033238579293816205,-0.024681445836943452,0.015607018412394398,-0.039963624949058967,-0.05557064336145336,0.024061424132179075,-0.019656536653474735,-0.043717960785653806,0.0009283864307103333,0.0004540334045974885
feature_49,sign,-0.014464900431848417,0.00029943482601990645,0.0005167058981609962,-0.017334091111926204,-0.02397270596137726,0.0027094252733603987,-0.026267568449484743,-0.02897699372284514,0.023999367888606127,-0.018445554549158936,-0.04244492243776506,0.0011266000639796317,0.0012598543510282372
feature_36,sign,-0.027850847711211855,0.0011100645916622964,0.0005094910442263734,-0.03332127153032409,-0.023820955451246465,0.016100402010763612,-0.03960187465593809,-0.0557022766667017,0.023879806404194185,-0.01829636383939155,-0.042176170243585734,0.0011364741782828797,0.0004745349356205875
feature_57,sign,-0.010010429750891042,0.00014340914856836307,0.0004913977327256625,-0.010842020336459444,-0.02723184218720561,-0.001897882042092901,-0.02008554465493823,-0.018187662612845327,0.025423666519409707,-0.02289376642523752,-0.04831743294464723,0.0068672833809976935,0.006230658206670554
feature_37,sign,0.013126902520865829,0.00024660162453449264,0.0004893658297581149,0.01581449588741911,0.023714786600914296,-0.025071192803801674,0.0013662696430401728,0.026437462446841847,-0.02035437947657421,0.021841665559694058,0.04219604503626827,0.0017076523059523932,0.0031296434683793723
feature_04,sign,-0.025164723524793115,0.0009062661093939273,0.0004605981606680132,-0.030046486313211714,-0.022400737390940426,0.013473163274988587,-0.03675521595241421,-0.050228379227402795,0.02316243723905656,-0.016511187087514558,-0.03967362432657112,0.001082878689051194,0.0006707012714188595
feature_47,rank,-0.06009893985389662,0.0004226981411120656,0.0004442097947854329,-0.020535864328455288,-0.020954572684557086,-0.03662725859313188,-0.08999031793254014,-0.05336305933940826,0.08264779601278952,-0.011628722270587036,-0.09427651828337655,0.03116295463053013,0.031713075682568384
feature_22,square_z,-0.005315609813771857,0.0001885930023936,0.0004439928954654837,-0.006760702733078694,-0.030433445584826812,0.0047039113693850875,-0.009650729638728737,-0.014354641008113823,0.026037511472121064,-0.05676022489740439,-0.08279773636952545,0.0012740895677934762,0.003589866168488787
feature_33,z,-0.010915941150603788,0.00016733642571065133,0.0004328820941764677,-0.012967777402381635,-0.022535830569774127,-0.006582907660258189,-0.0446832491256419,-0.038100341465383714,0.05355220836871134,-0.049153840423738916,-0.10270604879245027,0.007637339845574225,0.013114752618194335
feature_33,rank,-0.042115124930657215,0.0002090121824193103,0.0004005110774363274,-0.014492871030881028,-0.020961300785695195,-0.006582907660258189,-0.0446832491256419,-0.038100341465383714,0.05355220836871134,-0.049153840423738916,-0.10270604879245027,0.007637339845574225,0.013101262500322486
feature_37,rank,0.047091330554290406,0.0002568600506798191,0.00038022827291395167,0.015947219616788327,0.01976392575928233,-0.034333338098600695,-0.03886055251083576,-0.004527214412235067,0.031441877794310624,-0.047479742478867173,-0.0789216202731778,0.010834672306933283,0.010608591422473605
feature_36,bottom05_indicator,0.04413728306639909,0.0001287955654505346,0.0003650781166534278,0.014715394244940472,0.02144353350647801,-0.014456953701728366,0.04413728306639909,0.05859423676812745,-0.0016737479256679442,0.08275110384753692,0.08442485177320487,0.0,2.2204460492503128e-16
feature_04,signed_tail05,-0.014200171440281344,0.00002984311289677688,0.0003627783257454942,-0.005425833140389877,-0.033449133569463746,0.02224380200844705,-0.006289276862341456,-0.028533078870788504,0.09714863095409718,-0.06315133699772701,-0.1602999679518242,0.0009734756690909113,0.001836208231761283
feature_51,rank,0.03744274375322465,0.00015527741743670553,0.0003477440487041905,0.012769587553897538,0.023125616198342806,-0.07189699712488576,-0.0030297342891005127,0.06886726283578525,-0.02600392119796562,0.06698593966171905,0.09298986085968466,0.0036025463379289894,0.008056163085324483
feature_22,z,-0.010311299282567061,0.00019321175107211985,0.0003396934384829464,-0.009067450813453583,-0.02236022955584421,-0.0073187886607983445,-0.019515228088745215,-0.01219643942794687,-0.011030015499062622,-0.064235238615499,-0.05320522311643638,0.0026096457703281128,0.007397874694263002
feature_49,rank,-0.06358112497537752,0.00047350642930399367,0.00033964361378591157,-0.021757524222151024,-0.018687473747952335,0.005659984798852463,-0.02109118602078449,-0.026751170819636953,0.08817210587656193,-0.009908764193586128,-0.09808087007014807,0.02537069912281278,0.02952481423914176
feature_04,bottom05_indicator,0.022243802008447056,0.00003630920184172215,0.0003256800155480022,0.009455249591358069,0.02847874182868891,-0.0135873827915112,0.02224380200844705,0.03583118479995825,-0.003903822036124596,0.09714863095409718,0.10105245299022177,0.0,2.2204460492503128e-16
feature_19,signed_tail05,-0.032196116256281174,0.00014429621773326406,0.00032358295476464516,-0.011825359230237819,-0.019519007102002904,-0.019578164366639124,-0.07968601746861155,-0.060107853101972426,0.049080935935717634,-0.00019062998090761676,-0.04927156591662525,0.000773053184099986,0.0005915705311864005
feature_51,z,0.010682391292249223,0.0001430561090831617,0.0003229183843717065,0.012150847739311084,0.023886312119905256,-0.07189699712488576,-0.0030297342891005127,0.06886726283578525,-0.026070811842666873,0.06698593966171905,0.09305675150438592,0.0036025463379289894,0.00809079900049068
feature_22,top05_indicator,-0.01951522808874521,0.00005689981980228076,0.0003105323089349632,-0.003171894674737317,-0.02727183434681457,-0.010844880475497035,-0.019515228088745215,-0.00867034761324818,0.011490861599646914,-0.06450911291245262,-0.07599997451209953,0.0,2.2204460492503128e-16
feature_57,positive_indicator,-0.020085544654938222,0.00031274721149565643,0.00030794035740600023,-0.010842020336459444,-0.02723184218720561,-0.001897882042092901,-0.02008554465493823,-0.018187662612845327,0.025423666519409707,-0.02289376642523752,-0.04831743294464723,0.0068672833809976935,0.006230658206670554
feature_06,rank,-0.1236633004545219,0.0017858512454947961,0.0003037305903754728,-0.04222680288311072,-0.02541756757388045,0.08712921847939721,-0.0983632244326799,-0.18549244291207712,0.03205809606739042,-0.11064479710741264,-0.14270289317480306,0.007972351312962955,0.008110921242266839
feature_46,rank,-0.028121115360885036,0.00009274081322552252,0.0002901066484037873,-0.009387495939474867,-0.01991690436702887,-0.0160557746505644,-0.02721858868115153,-0.01116281403058713,-0.05192384506584739,-0.03556445696681711,0.016359388099030286,0.012731507342388669,0.015138148467359638
feature_24,abs_z,-0.012330673853872326,0.00024021140049479417,0.0002813185372131377,-0.007264695765291597,-0.027181886028133272,-0.04589339103156935,-0.0044417177395871645,0.04145167329198218,0.07093456590464732,-0.047980837886808625,-0.11891540379145595,0.002202992624858207,0.006367742474299796
feature_19,z,-0.008811293411728108,0.00010926131158650598,0.0002802612066455934,-0.01039572644281817,-0.01884913382264127,-0.019578164366639124,-0.07968601746861155,-0.060107853101972426,0.04702925646241957,-0.07010681870152241,-0.11713607516394198,0.0049795292651700854,0.007104225102519279
feature_20,z,-0.00853484468499647,0.00010005734708151692,0.0002784737177117247,-0.008096387258023157,-0.02090921559756216,0.01086479166903404,-0.002210308275644442,-0.013075099944678483,0.08784858552153119,-0.034137543421930094,-0.12198612894346128,0.0020687378746837683,0.006625987592983532
feature_57,rank,-0.0243553856790868,0.00007006250203078768,0.00026876889402982496,-0.008005037673503721,-0.020368943065465203,-0.06427866306344368,-0.007995130973365886,0.0562835320900778,0.007993028529979069,-0.020613158223877603,-0.02860618675385667,0.014368861113221252,0.01479662783238646
feature_23,z,-0.012103266872531791,0.00021014207652292338,0.00026152185552041907,-0.011220635875494983,-0.017190674067497413,0.0063584488968854115,-0.08747899665150659,-0.093837445548392,0.01005275765044485,-0.06468362393513305,-0.0747363815855779,0.0033698298735032233,0.00886621487274784
feature_33,top05_indicator,-0.044683249125641894,0.00014007574616070606,0.0002551878782285355,-0.00894599472987812,-0.017903610876492275,-0.010052327394303638,-0.0446832491256419,-0.03463092173133826,0.006721166853612715,-0.06181658520775835,-0.06853775206137107,0.0,2.2204460492503128e-16
feature_22,signed_tail05,-0.015549496426184771,0.00004238853181581792,0.00024133252781266545,-0.003142321978572753,-0.024603034222300504,-0.0073187886607983445,-0.019515228088745215,-0.01219643942794687,0.011490861599646914,-0.06450911291245262,-0.07599997451209953,0.0008875799096367829,0.0007401221214485161
feature_51,sign,0.007032815747051665,0.00007078315097730492,0.0002401546714910774,0.007153883279857482,0.021432145477097632,-0.017203670093844943,-0.005194010600881615,0.012009659492963329,-0.01050899605426834,0.029811724936011696,0.040320720990280036,0.0018506322430011102,0.0033483829232745354
feature_06,abs_z,-0.015408237319823184,0.00029395334004556073,0.0002369715940105932,-0.01090341730365337,-0.02325303165722013,-0.019952983005128395,-0.03292003477261943,-0.012967051767491033,0.03329364700994913,-0.09828815275409541,-0.13158179976404455,0.006602450837567686,0.009146164341334247
feature_22,abs_z,-0.01314622615996276,0.00031405734189515755,0.00023060020457388308,-0.010794421034706398,-0.02936282132354186,0.0047039113693850875,-0.009650729638728737,-0.014354641008113823,0.026037511472121064,-0.05676022489740439,-0.08279773636952545,0.0012740895677934762,0.003589866168488787
feature_20,rank,-0.0290137029432883,0.00009763390468942035,0.00022833382441711514,-0.008099422326886388,-0.0176464698798266,0.01086479166903404,-0.002210308275644442,-0.013075099944678483,0.08784858552153119,-0.03667512205719877,-0.12452370757872996,0.0020687378746837683,0.0066282403634371455
feature_33,signed_tail05,-0.019049664416189216,0.00005091979977456251,0.0002258577429744557,-0.007136603092271962,-0.018026090458715484,-0.006582907660258189,-0.0446832491256419,-0.038100341465383714,0.030663961228719772,-0.06181658520775835,-0.09248054643647813,0.0033884418768871188,0.005657030778032904
feature_46,sign,-0.008650818207870217,0.00010709909083728153,0.00022362507977591317,-0.010185933420060708,-0.016044187664487158,-0.0031359602516991994,-0.02016468030769792,-0.01702872005599872,0.015252710812640277,-0.013411249001576095,-0.02866395981421637,0.005249865368488491,0.005529390360685536
feature_66,z,-0.010312861639843544,0.000151421776020233,0.0002210716860993056,-0.01233723027396876,-0.015047213946757907,-0.028005283112525075,-0.08637253093837567,-0.05836724782585059,-0.003251024459035264,-0.028324762740472645,-0.025073738281437382,0.005764056547161547,0.007204343252781713
feature_06,square_z,-0.0007907524407809123,0.0005920783581102596,0.00021219937982319692,-0.023875742582452918,-0.02617679368098304,-0.019952983005128395,-0.03292003477261943,-0.012967051767491033,0.03329364700994913,-0.09828815275409541,-0.13158179976404455,0.006602450837567686,0.009146164341334247
feature_19,rank,-0.027569322487729152,0.00008978543005522255,0.00020720605543633752,-0.009471726552570609,-0.01580526254040645,-0.019578164366639124,-0.07968601746861155,-0.060107853101972426,0.04624106753119752,-0.06937561555529796,-0.11561668308649548,0.0049795292651700854,0.007123787344409542
feature_66,rank,-0.03204427863935571,0.00012209700530685375,0.00020699492904086014,-0.011126879037967823,-0.01485752023015654,-0.028005283112525075,-0.08637253093837567,-0.05836724782585059,-0.003251024459035264,-0.028324762740472645,-0.025073738281437382,0.005764056547161547,0.007198140472584061
feature_33,sign,-0.01282671737383651,0.0002354520433921481,0.0002053757688290636,-0.015618056005337116,-0.014192581758207451,0.0010564374911780682,-0.025056637513240183,-0.02611307500441825,0.01480157617691488,-0.010356951695621673,-0.025158527872536553,0.0003171687447372498,0.0020250354292374586
feature_58,sign,-0.01602102865788672,0.0003673264548511579,0.0002033555451605995,-0.01915219194819107,-0.014578183840577753,0.004275688159141478,-0.027740537267019066,-0.03201622542616055,0.015362548253399876,-0.010460236358790162,-0.025822784612190036,0.0024625569654651664,0.0036895393753267934
feature_31,abs_z,-0.00918958430931036,0.00020482075733097016,0.00019901094683949516,-0.0070556469450196455,-0.02068509241187686,0.004808380882879637,-0.05302958004139119,-0.05783796092427083,0.041133833562410745,-0.06542469515547637,-0.10655852871788712,0.00175374414440058,0.0034794647189038243
feature_46,z,-0.006630926773499541,0.00006106002990424741,0.00019734161800344374,-0.00756787538620031,-0.016223466572098524,-0.0160557746505644,-0.02721858868115153,-0.01116281403058713,-0.05192384506584739,-0.03556445696681711,0.016359388099030286,0.012731507342388669,0.015102206864182607
