rule,null_kind,run,valid_r2
feature_04::z,iid,0,-0.000024204277536687968
feature_04::z,iid,1,-0.00019372816073470744
feature_04::z,block,0,-0.0002450141716605625
feature_04::z,block,1,-0.00027441654096782564
feature_04::z,date,0,-0.00006791817839402192
feature_04::z,date,1,-0.00021451043578402107
feature_04::z,circular,0,-0.0001924903979046988
feature_04::z,circular,1,0.000045295069833750645
feature_16::square_z,iid,0,6.331896836742068e-6
feature_16::square_z,iid,1,-0.000028176578819261167
feature_16::square_z,block,0,-0.00003643822437315869
feature_16::square_z,block,1,-2.9540211616829737e-6
feature_16::square_z,date,0,3.4250974867422457e-7
feature_16::square_z,date,1,0.00008932653691562376
feature_16::square_z,circular,0,-0.00003599704226786571
feature_16::square_z,circular,1,-0.0001119762022512294
