left,right,interaction,alpha,valid_r2,valid_corr
feature_36,feature_37,rank_diff,-0.0805171775928552,0.0016413818284308768,-0.04046812042827034
feature_36,feature_37,z_diff,-0.018566856319068955,0.0014013770216796395,-0.037966580790049366
feature_04,feature_37,rank_diff,-0.06765559087888133,0.0012541071154570371,-0.03539629267093226
feature_36,feature_49,z_diff,-0.01213216650261351,0.0010741029748279063,-0.03756832950345701
feature_36,feature_47,z_diff,-0.015685196800743262,0.0010612408040220345,-0.03409342334023856
feature_06,feature_37,rank_diff,-0.08410367240487705,0.0009062834505210171,-0.0315423395623794
feature_04,feature_47,z_product,-0.006337299922134655,0.0008989575648956638,-0.043434423736736415
feature_04,feature_37,z_diff,-0.014010087454592788,0.0008788156914290024,-0.030089770163154738
feature_06,feature_49,z_diff,-0.02100368694652274,0.0008578135235975948,-0.029491338998490078
feature_06,feature_37,z_diff,-0.023718231815508244,0.0006744092972783555,-0.028676955504083917
feature_49,feature_37,rank_diff,-0.04667621494761052,0.0006244509818671418,-0.024840145698166866
feature_06,feature_37,z_product,0.007602020139775087,0.0005744614711545859,0.029741366924863757
feature_37,feature_22,rank_diff,0.04085896878758386,0.000560463539289624,0.025535669697954035
feature_37,feature_47,rank_diff,0.03618037831824953,0.0005578375606116737,0.023597285832397095
feature_04,feature_47,z_diff,-0.009893162050199331,0.0005305248089007009,-0.02423149123117727
feature_36,feature_57,z_diff,-0.013984839020380793,0.0005257957510359512,-0.023420570843342634
feature_49,feature_22,sign_product,-0.01361405429499888,0.0005005037359203657,-0.023917125384623133
feature_36,feature_22,rank_product,-0.1006076349432058,0.000490374125764248,-0.03022428615081135
feature_37,feature_22,rank_product,0.18141113253178956,0.0004837475526476842,0.02242380954507731
feature_04,feature_49,z_diff,-0.006208401095144092,0.0004813572712966119,-0.02754076890301843
feature_04,feature_49,z_product,-0.0035829271079605186,0.0004776201778812217,-0.03254974339624469
feature_06,feature_37,abs_z_diff,-0.01799524674457946,0.00046922934710702524,-0.035822479423853144
feature_06,feature_47,z_diff,-0.021967732579074847,0.00043713302338033166,-0.024202802610427437
feature_04,feature_37,z_product,0.015177289063734806,0.00042822283968058095,0.02085599356618266
feature_57,feature_37,rank_diff,-0.022037426998490272,0.0004190134620720709,-0.022201744472069726
feature_04,feature_37,rank_product,0.12256023909252334,0.0004163785130065767,0.023005946111064754
feature_04,feature_47,rank_product,-0.09560039535535274,0.00039852657960592897,-0.02448140636601834
feature_06,feature_47,rank_product,-0.10389650809025239,0.00035404605643396536,-0.021331383599761212
feature_06,feature_37,rank_product,0.048357251788511676,0.00035361526944888144,0.03708150672374396
feature_49,feature_22,rank_product,-0.26576331763325106,0.0003496098639155232,-0.019970606557052264
feature_37,feature_22,z_diff,0.007902249379903647,0.00032210088928863456,0.019836829433111956
feature_36,feature_22,z_diff,-0.007727379508130622,0.000311210368925674,-0.018157908363387296
feature_36,feature_22,rank_diff,-0.034242481972692,0.0002859489635576029,-0.016696939858572558
feature_37,feature_22,sign_product,0.0067591594331855515,0.0002727143304502855,0.021604534914231515
feature_36,feature_22,sign_product,-0.005673875939530358,0.00026199413840533037,-0.023643222916138414
feature_04,feature_37,sign_product,0.006995564417161218,0.0002460291390857794,0.019553252699574725
feature_04,feature_57,z_diff,-0.01040235510101474,0.00024033009416923878,-0.01607924133590858
feature_36,feature_22,z_product,-0.0026660874270307998,0.0002333665328182466,-0.03714853395220121
feature_04,feature_47,sign_product,-0.007603510976420412,0.00022599393212807684,-0.01767090356456892
feature_06,feature_22,abs_z_diff,-0.010348027775023498,0.00021456514528717108,-0.02667852155913762
feature_36,feature_49,rank_diff,-0.03047217743963814,0.00021431654241177434,-0.014816250681896952
feature_57,feature_22,sign_product,-0.014805504652838638,0.00018465890432495247,-0.013983818623974756
feature_36,feature_04,sign_product,-0.010137673384575994,0.0001639201800116563,-0.013224215767606294
feature_04,feature_49,rank_product,-0.054967134427155256,0.0001600987105528917,-0.016734844837371952
feature_36,feature_47,rank_diff,-0.029572826489761353,0.00015714307670711136,-0.012674311334337409
feature_04,feature_22,rank_diff,-0.023491635137575264,0.00015639074983719858,-0.012158273896962122
feature_57,feature_22,rank_product,-0.14511125601500038,0.00013913170843982137,-0.01197994973312824
