baseline_model,residual_feature,residual_transform,alpha,baseline_valid_r2,final_valid_r2,delta_r2
ridge_rank_alpha10000,feature_36,z,-0.017010269548575024,0.001633463481775732,0.002458254830002393,0.0008247913482266611
ridge_rank_alpha10000,feature_58,z,0.01993550566411898,0.001633463481775732,0.0021780643866330385,0.0005446009048573064
ridge_rank_alpha10000,feature_60,z,0.00785710473366305,0.001633463481775732,0.0021161482931232323,0.0004826848113475002
ridge_rank_alpha10000,feature_60,top05_indicator,0.035803429551713284,0.001633463481775732,0.0020747545186381444,0.00044129103686241233
ridge_rank_alpha10000,feature_36,rank,-0.06239036426371125,0.001633463481775732,0.002029534723596349,0.0003960712418206169
ridge_rank_alpha10000,feature_36,signed_tail05,-0.026182443752699344,0.001633463481775732,0.002026551455657666,0.00039308797388193373
ridge_rank_alpha10000,feature_59,z,0.006639315714991377,0.001633463481775732,0.0019657433529347568,0.0003322798711590247
ridge_rank_alpha10000,feature_51,rank,0.034458662853782004,0.001633463481775732,0.0019410698890379718,0.00030760640726223976
ridge_rank_alpha10000,feature_04,z,-0.009295431919652269,0.001633463481775732,0.0019297458530403988,0.0002962823712646667
ridge_rank_alpha10000,feature_51,z,0.009558689661272591,0.001633463481775732,0.0019171220856956106,0.0002836586039198785
ridge_rank_alpha10000,feature_24,square_z,-0.0028794072388526027,0.001633463481775732,0.0019053090016454277,0.00027184551986969563
ridge_rank_alpha10000,feature_50,signed_tail05,0.01765512533606444,0.001633463481775732,0.0018958088940070894,0.0002623454122313573
ridge_rank_alpha10000,feature_06,top05_indicator,-0.05006707398551351,0.001633463481775732,0.0018858904490316464,0.0002524269672559143
ridge_rank_alpha10000,feature_59,top05_indicator,0.018749309879650202,0.001633463481775732,0.0018661398208217328,0.0002326763390460007
ridge_rank_alpha10000,feature_50,top05_indicator,0.020122576137795944,0.001633463481775732,0.001853332575440736,0.00021986909366500385
ridge_rank_alpha10000,feature_36,top05_indicator,-0.02212630245154731,0.001633463481775732,0.0018505744190162599,0.00021711093724052777
ridge_rank_alpha10000,feature_37,signed_tail05,-0.022102188319955994,0.001633463481775732,0.001837661576366556,0.00020419809459082394
ridge_rank_alpha10000,feature_22,square_z,-0.0020841978188791783,0.001633463481775732,0.001834910189379646,0.00020144670760391392
ridge_rank_alpha10000,feature_51,sign,0.005414469343168432,0.001633463481775732,0.0018201834221762692,0.00018671994040053708
ridge_rank_alpha10000,feature_47,z,0.00958531287649195,0.001633463481775732,0.0018100181533944326,0.00017655467161870053
ridge_rank_alpha10000,feature_06,square_z,-0.0007568664184841996,0.001633463481775732,0.0018063378057383561,0.00017287432396262403
ridge_rank_alpha10000,feature_50,z,0.003421700333851559,0.001633463481775732,0.0017956486071817324,0.00016218512540600027
ridge_rank_alpha10000,feature_24,abs_z,-0.003664725025639751,0.001633463481775732,0.0017935521395245901,0.00016008865774885805
ridge_rank_alpha10000,feature_36,bottom05_indicator,0.030214042510844457,0.001633463481775732,0.001790535604813237,0.00015707212303750495
ridge_rank_alpha10000,feature_22,z,-0.004263470955415535,0.001633463481775732,0.001788937746231678,0.00015547426445594592
ridge_rank_alpha10000,feature_24,z,-0.0038837303065141072,0.001633463481775732,0.001783393543419609,0.000149930061643877
ridge_rank_alpha10000,feature_23,square_z,-0.008243064294795637,0.001633463481775732,0.0017785824730953692,0.00014511899131963713
ridge_rank_alpha10000,feature_49,top05_indicator,0.024457679993444018,0.001633463481775732,0.00177622644815989,0.00014276296638415786
ridge_rank_alpha10000,feature_04,rank,-0.0416354361545796,0.001633463481775732,0.001774685036204704,0.00014122155442897188
ridge_rank_alpha10000,feature_51,positive_indicator,0.005961719209847282,0.001633463481775732,0.0017741478525828969,0.00014068437080716478
ridge_rank_alpha10000,feature_38,signed_tail05,-0.02743186757067074,0.001633463481775732,0.0017688099813601976,0.00013534649958446554
ridge_rank_alpha10000,feature_06,abs_z,-0.006761812814394254,0.001633463481775732,0.0017654607959559643,0.0001319973141802322
ridge_rank_alpha10000,feature_23,z,-0.00512732109903584,0.001633463481775732,0.001761161804737288,0.0001276983229615558
ridge_rank_alpha10000,feature_22,abs_z,-0.004696544112938746,0.001633463481775732,0.001757496357400079,0.00012403287562434695
ridge_rank_alpha10000,feature_57,sign,-0.0031161194938986664,0.001633463481775732,0.0017566033747560272,0.00012313989298029515
ridge_rank_alpha10000,feature_19,signed_tail05,-0.015108272269766451,0.001633463481775732,0.0017524147436370763,0.00011895126186134419
ridge_rank_alpha10000,feature_13,square_z,-0.0006435115628430784,0.001633463481775732,0.0017487368367737899,0.0001152733549980578
