feature,total_digits,chi_square_vs_uniform,max_digit_share,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
feature_09,235637,2120732.9999999995,1.0,235637,0,0,0,0,0,0,0,0,0
feature_10,235637,2120732.9999999995,1.0,235637,0,0,0,0,0,0,0,0,0
feature_11,235637,2120732.9999999995,1.0,235637,0,0,0,0,0,0,0,0,0
feature_61,235637,2201.1071308835194,0.11447268468024971,19465,21329,26974,25691,22968,23989,22716,26924,22494,23087
feature_29,235637,334.6890386484295,0.10696961852340676,23745,23838,23995,23113,21679,23248,24326,22887,25206,23600
feature_23,235637,250.1978933698867,0.10493683080331187,24216,22997,23244,24475,24257,24727,23300,23333,22244,22844
feature_24,235637,210.00581827132413,0.10507263290569817,23627,23660,23069,23224,23034,24633,22961,22543,24127,24759
feature_22,235637,208.40072229743208,0.10532726184767248,23217,23464,23274,24394,22610,23047,24481,22946,24819,23385
feature_20,235637,201.46972249689136,0.1057601310490288,23937,24418,23461,22729,22817,22744,23732,23580,24921,23298
feature_21,192535,152.0548731399486,0.10449528657127276,19810,18714,19340,19038,18444,19999,20119,19329,18786,18956
feature_26,192535,139.39608382891421,0.1031708520528735,19347,18140,18608,19730,19523,19151,19669,19864,19537,18966
feature_27,192535,127.2898174357909,0.1057885579245332,19154,18819,19600,20368,19077,19604,19201,19133,19169,18410
feature_28,235637,120.75345128311766,0.10403289805930307,23686,23439,23769,22492,23310,24007,23220,23188,24514,24012
feature_31,192535,118.03414963513129,0.10393954345963072,19672,19688,18793,19603,20012,18507,19068,19463,19039,18690
feature_25,235637,96.25152671269792,0.10349393346545746,23063,23091,23784,23779,22895,23602,23583,24236,24387,23217
feature_30,235637,79.37709697543255,0.1030058946600067,24151,23011,23434,23215,23140,23470,23156,23834,24272,23954
feature_66,233917,25.407990868555945,0.1014077642924627,23557,23538,23083,23539,23046,23370,23691,23072,23721,23300
feature_74,233222,23.039490271072196,0.10200581420277675,23112,23496,23330,23443,23537,23004,23261,23133,23790,23116
feature_04,219726,20.24778132765353,0.10107133429817136,22208,21847,21740,22194,22144,22131,21933,22059,21518,21952
