permutation_id,best_feature,best_transform,best_valid_r2
0,feature_55,sign,0.00003591890102272455
1,feature_31,top05_indicator,0.00007234914419362859
2,feature_47,z,0.00007711594285908507
3,feature_62,square_z,0.00016741999309932698
4,feature_06,abs_z,0.00010172800683350136
5,feature_27,top05_indicator,0.00007735299779954019
6,feature_61,bottom05_indicator,0.00010590435972090972
7,feature_35,signed_tail05,0.00005857991564617304
8,feature_47,z,0.000269216121299265
9,feature_18,square_z,0.00009063685128007926
