feature,transform,alpha,train_r2,valid_r2,train_corr,valid_corr,train_tail_low_mean,train_tail_high_mean,train_tail_spread,valid_tail_low_mean,valid_tail_high_mean,valid_tail_spread,train_binned_mi,valid_binned_mi
feature_16,square_z,0.0008739621581538764,0.0005285046023434381,0.0010295024142236153,0.022589492603594188,0.04347299217613426,0.0032928450741282395,0.036652781876730066,0.033359936802601825,-0.0004170550462016494,-0.0012112900731360858,-0.0007942350269344364,0.0014580439423376545,0.002670684511142558
feature_45,z,-0.01754499234726951,0.00043053592142072716,0.0008795200821773985,-0.02049562586458089,-0.03144882945814394,0.07846142237608089,0.020761887919077363,-0.05769953445700353,0.07338697431891852,-0.048455826790296995,-0.12184280110921553,0.006655263911754668,0.007645486114997773
feature_45,rank,-0.06347602786429224,0.000471732062593877,0.0008102728971206563,-0.021454128034575026,-0.029251535664819122,0.07846142237608089,0.020761887919077363,-0.05769953445700353,0.07338697431891852,-0.048455826790296995,-0.12184280110921553,0.006655275618436455,0.007639459113795842
feature_56,z,-0.014871240053751789,0.0003132456837604547,0.0007047112927717203,-0.017360235371151497,-0.028657247123926474,0.06851886349864243,0.032397949340895335,-0.0361209141577471,0.0499811042884421,-0.04477869624592024,-0.09475980053436234,0.00713904321803762,0.007765296829197015
feature_56,rank,-0.05468103927150879,0.0003521032328861473,0.0006687392703681461,-0.018424868647120785,-0.026922378686917523,0.06851886349864243,0.032397949340895335,-0.0361209141577471,0.0499811042884421,-0.04477869624592024,-0.09475980053436234,0.00713904321803762,0.007763117821517212
feature_59,square_z,0.0018563002101270288,0.00015136557694994668,0.0005899665524715658,0.010247781175389563,0.03325777033719852,0.042996793704982716,0.0602865248708008,0.017289731165818084,-0.003682776260563679,0.021538635907581268,0.025221412168144948,0.01801720834972295,0.017460666621287486
feature_16,z,0.016475155000649163,0.0002774132496026205,0.0005750872556142816,0.01832238814910361,0.03397243886295557,0.018456744316312158,0.03897734115482964,0.020520596838517483,-0.006018369146857272,0.0035407531840702545,0.009559122330927526,0.0029356863063064557,0.004471556227352342
feature_60,square_z,0.003058541917296057,0.0003102349767244439,0.0005532833264162429,0.015369352649938684,0.028028148892818915,0.003030488787186913,0.07736944029447144,0.07433895150728453,-0.011487932031818094,0.050775325695652546,0.06226325772747064,0.028027187436368152,0.024449200378534104
feature_66,top05_indicator,-0.04310539086119945,0.00013239027767542044,0.0005074280223538175,-0.014725492803481973,-0.02541064903632023,0.013504222049008549,-0.04310539086119945,-0.056609612910208,0.002996898562306216,-0.07906745821264326,-0.08206435677494947,0.0,0.0
feature_19,z,-0.012502619898355083,0.00021856287176491573,0.00049306922808523,-0.014827369555135464,-0.023165573100183457,0.015986577691360585,-0.04017001468059805,-0.056156592371958636,0.013280434047977381,-0.08038213444048281,-0.09366256848846019,0.0040545777981257835,0.004445823150734682
feature_19,top05_indicator,-0.04017001468059805,0.00011543479336839635,0.0004895538360347729,-0.013950727633847701,-0.02564448932558498,0.013359542746575062,-0.04017001468059805,-0.05352955742717311,0.003022294038876346,-0.08010696667862514,-0.08312926071750149,0.0,0.0
feature_66,z,-0.011243058367871222,0.00017756308000371757,0.0004888848579949201,-0.013323558599423416,-0.023804851208678292,0.008906074241705786,-0.04310539086119945,-0.05201146510290524,0.010294360955324156,-0.07928722587132245,-0.0895815868266466,0.004388282420029598,0.004958847004505637
feature_16,abs_z,0.02385986430101329,0.0005818407307753848,0.000476990119395726,0.020553310611178946,0.03253957088089382,0.0032928450741282395,0.036652781876730066,0.033359936802601825,-0.0004170550462016494,-0.0012112900731360858,-0.0007942350269344364,0.0014580439423376545,0.002670684511142558
feature_66,rank,-0.038944194841639065,0.00017732635262313057,0.00045154505736288986,-0.013302136159134375,-0.022738870067185644,0.008906074241705786,-0.04310539086119945,-0.05201146510290524,0.010294360955324156,-0.07928722587132245,-0.0895815868266466,0.004388282420029598,0.00495934953611831
feature_45,bottom05_indicator,0.07846142237608089,0.00043962593688096074,0.00044516691820994936,0.01860065762354106,0.022154406213335205,0.007030597346303535,0.07846142237608089,0.07143082502977735,-0.005849557615192348,-0.0021827341648145548,0.003666823450377793,0.0,0.0
feature_06,rank,-0.11333679401337733,0.0014972276390575745,0.0004439119748087528,-0.03869017596464573,-0.02586860247297404,0.1007283745089027,-0.03716505648083332,-0.137893430989736,0.04045454617347986,-0.017480141294157234,-0.057934687467637094,0.006969401507379925,0.0066993754621861926
feature_68,rank,0.044709281683982915,0.00022842671825118455,0.0004399115280092625,0.014933784115561942,0.02200613897086094,0.0018250295696194759,0.08795955898498796,0.08613452941536848,-0.013190056770135423,0.01188373479465996,0.025073791564795382,0.022371194012407364,0.02770141190730003
feature_56,sign,-0.01525886473519184,0.00032853594455539703,0.0004322429932751559,-0.016942987571656118,-0.021037829536010563,0.02354121376193073,-0.0051279902659958475,-0.028669204027926574,0.013395141819097874,-0.01970543845534663,-0.033100580274444506,0.0004411914581422527,0.0007080168909397375
feature_19,rank,-0.042574988291792834,0.000211583335941401,0.0004308373845756108,-0.014566152271746948,-0.02146940269438716,0.015986577691360585,-0.04017001468059805,-0.056156592371958636,0.013280434047977381,-0.08038213444048281,-0.09366256848846019,0.0040545777981257835,0.004444751425279008
feature_45,sign,-0.016565889178465035,0.000387229066317496,0.00041855795291312337,-0.01939751215470538,-0.020413063375361713,0.02660732873837227,-0.006057778977944777,-0.032665107716317046,0.014198409778112243,-0.017871170211985647,-0.03206957999009789,0.0004318794304405812,0.0011761512113673276
feature_45,signed_tail05,-0.02984492312780119,0.00012471440605232864,0.00038291872060991494,-0.011088764417033345,-0.02346082117061909,0.07846142237608089,0.020761887919077363,-0.05769953445700353,-0.0005038050630183047,-0.005849557615192348,-0.005345752552174043,0.0025034306548950298,0.0035376527964388754
feature_66,sign,-0.014017633415162989,0.00027726039786479806,0.00035634170358556094,-0.015596479912175278,-0.019473156491269874,0.022661855203214232,-0.0036986089455326465,-0.02636046414874688,0.011135487982677926,-0.01974311635108534,-0.030878604333763264,0.003073159334681834,0.00297636762643003
feature_19,signed_tail05,-0.028342284851547106,0.00011247419227833344,0.0003541810009359825,-0.010693461528417221,-0.020572377779810563,0.015986577691360585,-0.04017001468059805,-0.056156592371958636,0.0087283720955487,-0.08010696667862514,-0.08883533877417385,0.0006358472224250074,0.00027963655532644736
