feature,transform,alpha,train_r2,valid_r2,train_corr,valid_corr,train_tail_low_mean,train_tail_high_mean,train_tail_spread,valid_tail_low_mean,valid_tail_high_mean,valid_tail_spread,train_binned_mi,valid_binned_mi
feature_06,rank,-0.20955249558146297,0.00492781092250949,0.0022106031520279235,-0.07017053681625199,-0.049338110912439115,0.12632891233446814,-0.15724050039333543,-0.28356941272780356,0.07354244792798127,-0.08860343037152868,-0.16214587829950994,0.01252050103240235,0.009504051569607897
feature_06,z,-0.0530106900329174,0.003685371501930046,0.00153116530912778,-0.06067662365819015,-0.04066270366184391,0.12632891233446814,-0.15724050039333543,-0.28356941272780356,0.07354244792798127,-0.08860343037152868,-0.16214587829950994,0.01252050103240235,0.009502684126635536
feature_45,rank,-0.07833109287591496,0.0006819377651396952,0.0012524126637187827,-0.026100826936078497,-0.03767975426486341,0.06270243155157135,-0.017494685011146448,-0.0801971165627178,0.05947114364586813,-0.045556988451283024,-0.10502813209715114,0.00698875331789048,0.008464364027669763
feature_06,positive_indicator,-0.050824197671098116,0.0017309107055497597,0.0012301797801413938,-0.052735279443922374,-0.03714736397396787,0.03929305674196629,-0.050824197671098116,-0.0901172544130644,0.021871184087257467,-0.046739102169583616,-0.06861028625684108,0.0019610362763469976,0.0012417412532958394
feature_06,sign,-0.044931533051096546,0.0027666014152480933,0.0012054053583487878,-0.052735279443922374,-0.03714736397396787,0.03929305674196629,-0.050824197671098116,-0.0901172544130644,0.021871184087257467,-0.046739102169583616,-0.06861028625684108,0.0019610362763469976,0.0012417412532958394
feature_56,rank,-0.0890809033975443,0.0009004092167708144,0.0011906996878836562,-0.030194616554811503,-0.03544584157721066,0.10001173239079938,-0.054269841782998,-0.1542815741737974,0.047170853171729595,-0.023713175315636388,-0.07088402848736598,0.009693762818325673,0.008401644632978959
feature_07,z,-0.029317589010546537,0.0011272847978470724,0.0011640166260029616,-0.03353448797425495,-0.03522071347597806,0.11574604672733652,-0.04622768376569356,-0.16197373049303007,0.056813366660137456,-0.11859097313894837,-0.17540433979908582,0.012145359288761867,0.009782671094119599
feature_68,top05_indicator,0.11998605572594198,0.0009021742158028534,0.001145668039982839,0.03197090042908064,0.03806303417904945,-0.010750678529952776,0.11998605572594198,0.13073673425589477,-0.01883033931559673,-0.011301572371588462,0.007528766944008268,0.0,2.2204460492503128e-16
feature_45,z,-0.022248290137275407,0.0006422668010550581,0.0011184560064468885,-0.0252836021331895,-0.03580422473907098,0.06270243155157135,-0.017494685011146448,-0.0801971165627178,0.05947114364586813,-0.045556988451283024,-0.10502813209715114,0.00698875331789048,0.008461479787001232
feature_56,z,-0.02823372088298374,0.0010903111560027767,0.0010590124624181296,-0.03317678006450839,-0.03290590504115649,0.10001173239079938,-0.054269841782998,-0.1542815741737974,0.047170853171729595,-0.023713175315636388,-0.07088402848736598,0.009693762818325673,0.008391362010581261
feature_16,square_z,-0.0009447883863517447,0.000015352847407945625,0.0010125597387260488,-0.0026729120542594545,-0.031698340808583934,0.011356447303541371,-0.04072007731450044,-0.05207652461804181,-0.026223399990921974,0.004268464077670705,0.03049186406859268,0.002607082951260301,0.009823932437718843
feature_37,rank,0.0731205941004127,0.0005982749322712699,0.0009964025594675352,0.024488663497549894,0.03335507910221283,-0.023268978890909696,0.04589934775854728,0.06916832664945698,-0.031999832683836694,0.07994593117491688,0.11194576385875357,0.008120652188492542,0.00900852567131144
feature_51,z,0.02317634294567497,0.0006714573175859995,0.0009366992955397446,0.02598909619901882,0.03177430992177687,-0.1127726016133408,-0.010140359616206459,0.10263224199713433,-0.10642464075145132,0.03831855125997793,0.14474319201142924,0.004110552684316622,0.007705715445324104
feature_56,sign,-0.017469080043343903,0.00041820015611626626,0.0009042825881308003,-0.020854252541641517,-0.03386592394772934,0.011927087117174408,-0.02377568659145347,-0.03570277370862788,0.01874525773286605,-0.04381900100262108,-0.06256425873548713,0.0011378889532444396,0.0007730766826713298
feature_51,rank,0.07834175006257091,0.0006570144923313537,0.0008853177068974816,0.025681116347170033,0.030620167778320908,-0.1127726016133408,-0.010140359616206459,0.10263224199713433,-0.10642464075145132,0.03772499949393131,0.14414964024538263,0.004110552684316622,0.007683426859329273
feature_68,signed_tail05,0.08744609221663525,0.001003294541743971,0.0008614162666200631,0.031600970945234196,0.02961658707308271,-0.05769447577454227,0.11998605572594198,0.17768053150048424,-0.01883033931559673,-0.010578931884988233,0.008251407430608497,0.001110591827065771,0.0007887594411199737
feature_13,top05_indicator,0.07878744935757685,0.00037987207040002247,0.0008585221277841448,0.021148799303805043,0.03675067827947646,-0.008678173263544586,0.07878744935757687,0.08746562262112145,-0.018297886880338957,-0.011301572371588462,0.006996314508750495,0.0,2.2204460492503128e-16
feature_56,positive_indicator,-0.02377568659145347,0.00036233409622710155,0.0008558466935620901,-0.020854252541641517,-0.03386592394772934,0.011927087117174408,-0.02377568659145347,-0.03570277370862788,0.01874525773286605,-0.04381900100262108,-0.06256425873548713,0.0011378889532444396,0.0007730766826713298
