symbol_id,rows,n_dates,n_time_ids_seen,weight_sum,target_energy,target_abs_mean,feature_null_frac
0,169400,175,968,592569.4,309145.62,0.47608557,0.0014433293978748523
1,171336,177,968,490021.06,294411.47,0.50842804,0.0014406390562014598
2,173272,179,968,421235.94,353355.88,0.60149497,0.0014380088338950706
3,172304,178,968,375916.56,199681.25,0.46102446,0.0014393165567833596
4,161656,167,968,371933.28,287501.84,0.58891565,0.0014547351577836062
5,170368,176,968,536107.1,363221.7,0.5251868,0.0014419765840220386
6,173272,179,968,186146.05,148045.53,0.60175174,0.0014380088338950706
7,171336,177,968,621481.8,339170.88,0.48565897,0.0014406390562014598
8,172304,178,968,458477.1,278934.78,0.5064865,0.0014393165567833596
9,170368,176,968,275910.2,186761.94,0.5036254,0.0016787190082644629
10,172304,178,968,448478.28,202478.8,0.46181044,0.0014393165567833596
11,172304,178,968,522527.0,188800.31,0.38329637,0.0014393165567833596
12,174240,180,968,484962.72,308406.97,0.5166647,0.0014367156412610957
13,171336,177,968,460450.03,301800.84,0.52518445,0.0014406390562014598
14,174240,180,968,271273.06,173669.0,0.5358615,0.0014367156412610957
15,174240,180,968,368316.84,198586.75,0.49374253,0.0014367156412610957
16,170368,176,968,622993.9,324306.62,0.46514374,0.0014419765840220386
17,171336,177,968,618434.9,263841.75,0.42443916,0.0014406390562014598
18,170368,176,968,332102.0,227326.94,0.52862763,0.0014419765840220386
19,174240,180,968,942648.0,402078.22,0.4203314,0.0014367156412610957
20,172304,178,968,200914.22,173643.38,0.59933287,0.0014393165567833596
21,174240,180,968,204364.48,192398.1,0.6373296,0.0014367156412610957
22,172304,178,968,236823.67,140512.81,0.5136681,0.0014393165567833596
23,172304,178,968,386356.3,260039.25,0.55714506,0.0014393165567833596
24,169400,175,968,291941.38,227566.64,0.5860187,0.0014433293978748523
25,167464,173,968,516143.84,381675.4,0.56156445,0.0014460819439799995
26,172304,178,968,247332.98,179384.77,0.55853283,0.0014393165567833596
27,166496,172,968,472679.06,281911.8,0.48458043,0.0014474822217951182
28,174240,180,968,356321.8,188490.45,0.47953993,0.0014367156412610957
29,167464,173,968,333171.84,325053.12,0.6347265,0.0014460819439799995
30,173272,179,968,385723.8,306439.6,0.56593996,0.0014380088338950706
31,173272,179,968,202152.7,180097.66,0.5880064,0.0014380088338950706
32,168432,174,968,332928.06,216979.44,0.53064394,0.0014446977613121813
33,172304,178,968,299419.03,225657.72,0.5519391,0.0014393165567833596
34,171336,177,968,511391.25,255946.42,0.45352393,0.0014406390562014598
35,169400,175,968,207425.06,167604.95,0.5992808,0.0014433293978748523
36,173272,179,968,278626.3,177268.27,0.5350226,0.02005998276313157
37,172304,178,968,232951.95,246299.89,0.69885856,0.0014393165567833596
38,174240,180,968,617349.9,294296.94,0.43677896,0.0014367156412610957
