fold,train_start,train_end,valid_start,valid_end,clock,strategy,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
rw_01,1539,1658,1659,1678,none,base_ensemble,740520,956461.8874077763,960511.5364725839,0.004216137871367653,-0.00514858425801122,0.029966075516992537
rw_01,1539,1658,1659,1678,none,global_shrink,740520,956461.8874077763,960511.5364725839,0.004216137871367653,-0.00514858425801122,0.029966075516992537
rw_01,1539,1658,1659,1678,clock_time,clock_shrink,740520,956598.9261413893,960511.5364725839,0.004073465213716654,-0.005218246281538787,0.028776260458090945
rw_01,1539,1658,1659,1678,clock_time,clock_weight_shrink,740520,957128.1252313681,960511.5364725839,0.0035225097385515047,-0.005165772240324302,0.0271078435863878
rw_01,1539,1658,1659,1678,clock_time,clock_predabs_shrink,740520,956482.888223566,960511.5364725839,0.004194273671936144,-0.005341502577012668,0.02918279485726089
rw_01,1539,1658,1659,1678,clock_time,clock_simplex,740520,956888.2583903112,960511.5364725839,0.00377223796351156,-0.006579752633634903,0.03409914037031771
rw_01,1539,1658,1659,1678,row_activity,clock_shrink,740520,956492.8385970151,960511.5364725839,0.004183914219632601,-0.005085438133854648,0.029281570829878003
rw_01,1539,1658,1659,1678,row_activity,clock_weight_shrink,740520,956674.3019332496,960511.5364725839,0.003994990579109903,-0.004776415559196133,0.028297723362420393
rw_01,1539,1658,1659,1678,row_activity,clock_predabs_shrink,740520,956560.4209940431,960511.5364725839,0.0041135533812024505,-0.004956414951247663,0.02907599888836344
rw_01,1539,1658,1659,1678,row_activity,clock_simplex,740520,955855.4495806529,960511.5364725839,0.004847507515662097,-0.0050280240462939035,0.041246746257339054
rw_01,1539,1658,1659,1678,symbol_activity_ewm,clock_shrink,740520,956479.4888851651,960511.5364725839,0.004197812763630404,-0.00509286909496731,0.029326315695883228
rw_01,1539,1658,1659,1678,symbol_activity_ewm,clock_weight_shrink,740520,956673.1471924218,960511.5364725839,0.003996192793538245,-0.004813107410765368,0.02822034480841396
rw_01,1539,1658,1659,1678,symbol_activity_ewm,clock_predabs_shrink,740520,956582.2564614413,960511.5364725839,0.004090820216040902,-0.004888973395553799,0.028900106774172624
rw_01,1539,1658,1659,1678,symbol_activity_ewm,clock_simplex,740520,957071.1461470574,960511.5364725835,0.0035818313418293224,-0.005539319153344756,0.03474398198330164
rw_01,1539,1658,1659,1678,batch_activity,clock_shrink,740520,956461.8874077763,960511.5364725839,0.004216137871367653,-0.00514858425801122,0.029966075516992537
rw_01,1539,1658,1659,1678,batch_activity,clock_weight_shrink,740520,956706.0851448,960511.5364725839,0.003961900699037013,-0.0047234488076388316,0.02785340048553378
rw_01,1539,1658,1659,1678,batch_activity,clock_predabs_shrink,740520,956515.4483787506,960511.5364725839,0.004160374906592712,-0.005002920144640827,0.029514299625187014
rw_01,1539,1658,1659,1678,batch_activity,clock_simplex,740520,956834.1271466722,960511.5364725839,0.0038285946459495346,-0.005246158868028228,0.030068776363420063
rw_01,1539,1658,1659,1678,batch_weight,clock_shrink,740520,956807.4473641982,960511.5364725839,0.003856371285230753,-0.004602069403360844,0.028349244354531983
rw_01,1539,1658,1659,1678,batch_weight,clock_weight_shrink,740520,957000.9561762967,960511.5364725839,0.0036549069563283076,-0.003653679728313651,0.026539787556493014
rw_01,1539,1658,1659,1678,batch_weight,clock_predabs_shrink,740520,956781.3070945217,960511.5364725839,0.0038835862313129077,-0.004686331467350168,0.028901298067711974
rw_01,1539,1658,1659,1678,batch_weight,clock_simplex,740520,957093.1635444623,960511.5364725839,0.0035589087671714648,-0.005329741558643393,0.03287941700165726
rw_01,1539,1658,1659,1678,symbol_weight_cum,clock_shrink,740520,956466.8432872671,960511.5364725839,0.0042109782462068646,-0.0052118091903768145,0.029492174037135808
