fold,train_start,train_end,valid_start,valid_end,clock,strategy,group_columns,fallback_alpha,parameter_rows,fallback_weights
rw_01,1479,1598,1599,1618,none,global_shrink,"",1.0,1,
rw_01,1479,1598,1599,1618,clock_time,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,clock_time,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,80,
rw_01,1479,1598,1599,1618,clock_time,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1479,1598,1599,1618,clock_time,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.25490167106240397, ""ridge_calibrated_prediction"": 0.745098328937596, ""xgboost_prediction"": 0.0}"
rw_01,1479,1598,1599,1618,row_activity,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,row_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,64,
rw_01,1479,1598,1599,1618,row_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1479,1598,1599,1618,row_activity,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.25490167106240397, ""ridge_calibrated_prediction"": 0.745098328937596, ""xgboost_prediction"": 0.0}"
rw_01,1479,1598,1599,1618,symbol_activity_ewm,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,symbol_activity_ewm,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,59,
rw_01,1479,1598,1599,1618,symbol_activity_ewm,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1479,1598,1599,1618,symbol_activity_ewm,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.25490167106240397, ""ridge_calibrated_prediction"": 0.745098328937596, ""xgboost_prediction"": 0.0}"
rw_01,1479,1598,1599,1618,batch_activity,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,batch_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,80,
rw_01,1479,1598,1599,1618,batch_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1479,1598,1599,1618,batch_activity,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.25490167106240397, ""ridge_calibrated_prediction"": 0.745098328937596, ""xgboost_prediction"": 0.0}"
rw_01,1479,1598,1599,1618,batch_weight,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,batch_weight,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,74,
rw_01,1479,1598,1599,1618,batch_weight,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1479,1598,1599,1618,batch_weight,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.25490167106240397, ""ridge_calibrated_prediction"": 0.745098328937596, ""xgboost_prediction"": 0.0}"
rw_01,1479,1598,1599,1618,symbol_weight_cum,clock_shrink,clock_bucket,1.0,20,
rw_01,1479,1598,1599,1618,symbol_weight_cum,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,78,
rw_01,1479,1598,1599,1618,symbol_weight_cum,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
