clock,strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows
none,base_ensemble,5,0.007105481095526822,0.004787002890704974,0.003778939320252639,0.015174383329334629,0.007187096206764609,11028424
none,global_shrink,5,0.007105481095526822,0.004787002890704974,0.003778939320252639,0.015174383329334629,0.007187096206764609,11028424
row_activity,clock_shrink,5,0.007090178333547348,0.0047994107917139735,0.003782267995435795,0.015174383329334629,0.0071764260209123965,11028424
row_activity,clock_simplex,5,0.007126487194741249,0.004853765403054446,0.0037562850283591187,0.015439811586879126,0.007175082731200377,11028424
row_activity,clock_predabs_shrink,5,0.007074345627912293,0.0048128599072152665,0.003731293543690062,0.015171277676133577,0.007160241207414653,11028424
batch_missing,clock_shrink,5,0.006992598712236698,0.0045499468734465425,0.003778939320252639,0.014609971412884004,0.007076171374636453,11028424
row_activity,clock_weight_shrink,5,0.006979258869182048,0.004832507261873779,0.003606164379126864,0.015081112773700611,0.007069826657185807,11028424
batch_missing,clock_simplex,5,0.006844475567510222,0.004916004939984804,0.00299906829951202,0.014979861024189689,0.006988744880887521,11028424
batch_missing,clock_weight_shrink,5,0.006897963282923669,0.00448980576778927,0.0035692694479453335,0.01436684176589198,0.006972653630372805,11028424
batch_missing,clock_predabs_shrink,5,0.006793469970026833,0.004405561745622936,0.0033394284191737844,0.014062328241312594,0.006856603033773001,11028424
