fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,none,base_ensemble,q00_q50,496584,675576.1768107414,685046.0246574234,687981.4607247554,0.004266737165038892
rw_01,none,base_ensemble,q50_q90,1105456,2862822.866481781,1994519.3030638576,2008397.8044621558,0.006910235296744283
rw_01,none,base_ensemble,q90_q99,522720,2306325.188943863,1351182.8643158555,1366086.9806122268,0.01091007857324855
rw_01,none,base_ensemble,q99_q100,33880,250918.80880355835,139994.4835344607,140981.5267104602,0.007001223486724051
rw_01,none,global_shrink,q00_q50,496584,675576.1768107414,685046.0246574234,687981.4607247554,0.004266737165038892
rw_01,none,global_shrink,q50_q90,1105456,2862822.866481781,1994519.3030638576,2008397.8044621558,0.006910235296744283
rw_01,none,global_shrink,q90_q99,522720,2306325.188943863,1351182.8643158555,1366086.9806122268,0.01091007857324855
rw_01,none,global_shrink,q99_q100,33880,250918.80880355835,139994.4835344607,140981.5267104602,0.007001223486724051
rw_01,row_activity,clock_shrink,q00_q50,496584,675576.1768107414,685046.3014685066,687981.4607247554,0.004266334812506156
rw_01,row_activity,clock_shrink,q50_q90,1105456,2862822.866481781,1994522.3110555217,2008397.8044621558,0.006908737589637948
rw_01,row_activity,clock_shrink,q90_q99,522720,2306325.188943863,1351182.930580442,1366086.9806122268,0.010910030066391019
rw_01,row_activity,clock_shrink,q99_q100,33880,250918.80880355835,139995.15448811447,140981.5267104602,0.0069964643266453574
rw_01,row_activity,clock_weight_shrink,q00_q50,496584,675576.1768107414,685051.5576363334,687981.4607247554,0.004258694827816267
rw_01,row_activity,clock_weight_shrink,q50_q90,1105456,2862822.866481781,1994644.8485592005,2008397.8044621558,0.006847725023598206
rw_01,row_activity,clock_weight_shrink,q90_q99,522720,2306325.188943863,1351182.8643158555,1366086.9806122268,0.01091007857324855
rw_01,row_activity,clock_weight_shrink,q99_q100,33880,250918.80880355835,139994.4835344607,140981.5267104602,0.007001223486724051
