clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,clock_predabs_shrink,q00_q50,5544704,9122679.177062988,6238164.109402155,6278837.528498993,0.006477858188275509
batch_missing,clock_predabs_shrink,q50_q90,4061728,12118261.292545319,7297288.2208801005,7345827.850183189,0.006607782035332854
batch_missing,clock_predabs_shrink,q90_q99,1300992,5965381.824459076,3327072.0145062343,3354649.5665766574,0.008220695343318707
batch_missing,clock_predabs_shrink,q99_q100,121000,828618.9301757812,413094.2026021487,415573.44665191753,0.005965838457059669
batch_missing,clock_shrink,q00_q50,5544704,9122679.177062988,6236869.46192035,6278837.528498993,0.006684050413496845
batch_missing,clock_shrink,q50_q90,4061728,12118261.292545319,7295667.887034504,7345827.850183189,0.006828360828988744
batch_missing,clock_shrink,q90_q99,1300992,5965381.824459076,3326377.983748423,3354649.5665766574,0.008427581560205955
batch_missing,clock_shrink,q99_q100,121000,828618.9301757812,412883.84790364956,415573.44665191753,0.0064720178104179515
batch_missing,clock_simplex,q00_q50,5544704,9122679.177062988,6239595.420550939,6278837.528498993,0.006249900203650571
batch_missing,clock_simplex,q50_q90,4061728,12118261.292545319,7295576.280570559,7345827.850183189,0.006840831372243006
batch_missing,clock_simplex,q90_q99,1300992,5965381.824459076,3325425.9395219195,3354649.5665766574,0.008711379974201017
batch_missing,clock_simplex,q99_q100,121000,828618.9301757812,412722.3140647665,415573.44665191753,0.006860718869603599
batch_missing,clock_weight_shrink,q00_q50,5544704,9122679.177062988,6236496.573968541,6278837.528498993,0.006743438469027252
batch_missing,clock_weight_shrink,q50_q90,4061728,12118261.292545319,7297330.925356973,7345827.850183189,0.006601968602491404
batch_missing,clock_weight_shrink,q90_q99,1300992,5965381.824459076,3326319.5784986555,3354649.5665766574,0.00844499179892344
batch_missing,clock_weight_shrink,q99_q100,121000,828618.9301757812,413452.78239080106,415573.44665191753,0.005102983066415101
none,base_ensemble,q00_q50,5544704,9122679.177062988,6236128.940933814,6278837.528498993,0.006801989599401037
none,base_ensemble,q50_q90,4061728,12118261.292545319,7294570.225856909,7345827.850183189,0.006977787306164829
none,base_ensemble,q90_q99,1300992,5965381.824459076,3326268.903672328,3354649.5665766574,0.008460097646888043
none,base_ensemble,q99_q100,121000,828618.9301757812,412901.58506911236,415573.44665191753,0.006429336629496185
none,global_shrink,q00_q50,5544704,9122679.177062988,6236128.940933814,6278837.528498993,0.006801989599401037
none,global_shrink,q50_q90,4061728,12118261.292545319,7294570.225856909,7345827.850183189,0.006977787306164829
none,global_shrink,q90_q99,1300992,5965381.824459076,3326268.903672328,3354649.5665766574,0.008460097646888043
none,global_shrink,q99_q100,121000,828618.9301757812,412901.58506911236,415573.44665191753,0.006429336629496185
row_activity,clock_predabs_shrink,q00_q50,5544704,9122679.177062988,6236420.782788902,6278837.528498993,0.006755509362611489
row_activity,clock_predabs_shrink,q50_q90,4061728,12118261.292545319,7294610.178354232,7345827.850183189,0.006972348504965309
row_activity,clock_predabs_shrink,q90_q99,1300992,5965381.824459076,3326338.8728864403,3354649.5665766574,0.008439240262912873
row_activity,clock_predabs_shrink,q99_q100,121000,828618.9301757812,412966.9612190442,415573.44665191753,0.006272021116538018
row_activity,clock_shrink,q00_q50,5544704,9122679.177062988,6236252.390804647,6278837.528498993,0.006782328337221255
row_activity,clock_shrink,q50_q90,4061728,12118261.292545319,7294628.156209973,7345827.850183189,0.006969901148982105
row_activity,clock_shrink,q90_q99,1300992,5965381.824459076,3326268.040070573,3354649.5665766574,0.008460355081155946
row_activity,clock_shrink,q99_q100,121000,828618.9301757812,412906.6751389885,415573.44665191753,0.006417088325575193
row_activity,clock_simplex,q00_q50,5544704,9122679.177062988,6236478.558886267,6278837.528498993,0.006746307643805571
row_activity,clock_simplex,q50_q90,4061728,12118261.292545319,7296018.3613674035,7345827.850183189,0.006780650163826452
row_activity,clock_simplex,q90_q99,1300992,5965381.824459076,3324853.3852316546,3354649.5665766574,0.008882054817847651
row_activity,clock_simplex,q99_q100,121000,828618.9301757812,412728.3231134755,415573.44665191753,0.0068462592144995504
row_activity,clock_weight_shrink,q00_q50,5544704,9122679.177062988,6236947.275168967,6278837.528498993,0.006671657474793702
row_activity,clock_weight_shrink,q50_q90,4061728,12118261.292545319,7294992.325058603,7345827.850183189,0.006920326226174556
row_activity,clock_weight_shrink,q90_q99,1300992,5965381.824459076,3326940.333194371,3354649.5665766574,0.008259948716659249
row_activity,clock_weight_shrink,q99_q100,121000,828618.9301757812,413029.6128369144,415573.44665191753,0.006121261681894197
