fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,none,base_ensemble,q00_q50,496584,675576.1768107414,684336.1699086473,687981.4607247554,0.005298530591606343
rw_01,none,base_ensemble,q50_q90,1105456,2862822.866481781,1991101.1684295582,2008397.8044621558,0.008612156413519645
rw_01,none,base_ensemble,q90_q99,522720,2306325.188943863,1347469.5636684222,1366086.9806122268,0.013628280781550983
rw_01,none,base_ensemble,q99_q100,33880,250918.80880355835,139794.2831431756,140981.5267104602,0.008421270467037112
rw_01,none,global_shrink,q00_q50,496584,675576.1768107414,684336.1699086473,687981.4607247554,0.005298530591606343
rw_01,none,global_shrink,q50_q90,1105456,2862822.866481781,1991101.1684295582,2008397.8044621558,0.008612156413519645
rw_01,none,global_shrink,q90_q99,522720,2306325.188943863,1347469.5636684222,1366086.9806122268,0.013628280781550983
rw_01,none,global_shrink,q99_q100,33880,250918.80880355835,139794.2831431756,140981.5267104602,0.008421270467037112
rw_01,row_activity,clock_shrink,q00_q50,496584,675576.1768107414,684336.1699086473,687981.4607247554,0.005298530591606343
rw_01,row_activity,clock_shrink,q50_q90,1105456,2862822.866481781,1991101.1684295582,2008397.8044621558,0.008612156413519645
rw_01,row_activity,clock_shrink,q90_q99,522720,2306325.188943863,1347469.5636684222,1366086.9806122268,0.013628280781550983
rw_01,row_activity,clock_shrink,q99_q100,33880,250918.80880355835,139794.2831431756,140981.5267104602,0.008421270467037112
rw_01,row_activity,clock_weight_shrink,q00_q50,496584,675576.1768107414,684336.1699086473,687981.4607247554,0.005298530591606343
rw_01,row_activity,clock_weight_shrink,q50_q90,1105456,2862822.866481781,1991313.4697201143,2008397.8044621558,0.008506449620729772
rw_01,row_activity,clock_weight_shrink,q90_q99,522720,2306325.188943863,1347469.5636684222,1366086.9806122268,0.013628280781550983
rw_01,row_activity,clock_weight_shrink,q99_q100,33880,250918.80880355835,139794.2831431756,140981.5267104602,0.008421270467037112
rw_01,row_activity,clock_predabs_shrink,q00_q50,496584,675576.1768107414,684335.6755158,687981.4607247554,0.005299249205225287
rw_01,row_activity,clock_predabs_shrink,q50_q90,1105456,2862822.866481781,1991097.2771513315,2008397.8044621558,0.008614093917244325
rw_01,row_activity,clock_predabs_shrink,q90_q99,522720,2306325.188943863,1347469.0099240565,1366086.9806122268,0.013628686132288959
rw_01,row_activity,clock_predabs_shrink,q99_q100,33880,250918.80880355835,139794.2831431756,140981.5267104602,0.008421270467037112
