clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,clock_predabs_shrink,q00_q50,5544704,9122679.177062988,6230888.291348095,6278837.528498993,0.007636642441098629
batch_missing,clock_predabs_shrink,q50_q90,4061728,12118261.292545319,7285392.2976011485,7345827.850183189,0.008227194240678193
batch_missing,clock_predabs_shrink,q90_q99,1300992,5965381.824459076,3318005.7196891643,3354649.5665766574,0.010923300976825256
batch_missing,clock_predabs_shrink,q99_q100,121000,828618.9301757812,412229.66277204984,415573.44665191753,0.00804619233208237
batch_missing,clock_shrink,q00_q50,5544704,9122679.177062988,6229379.8551372215,6278837.528498993,0.00787688376029616
batch_missing,clock_shrink,q50_q90,4061728,12118261.292545319,7284170.330245665,7345827.850183189,0.008393542728609704
batch_missing,clock_shrink,q90_q99,1300992,5965381.824459076,3317723.90670664,3354649.5665766574,0.011007307659768206
batch_missing,clock_shrink,q99_q100,121000,828618.9301757812,412159.9147191434,415573.44665191753,0.008214028014242425
batch_missing,clock_simplex,q00_q50,5544704,9122679.177062988,6230759.669561865,6278837.528498993,0.00765712740915947
batch_missing,clock_simplex,q50_q90,4061728,12118261.292545319,7283177.3754915055,7345827.850183189,0.00852871534283517
batch_missing,clock_simplex,q90_q99,1300992,5965381.824459076,3316695.8117835405,3354649.5665766574,0.011313776309532009
batch_missing,clock_simplex,q99_q100,121000,828618.9301757812,411982.7051365066,415573.44665191753,0.008640449827436947
batch_missing,clock_simplex_tail_q90_q100,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
batch_missing,clock_simplex_tail_q90_q100,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
batch_missing,clock_simplex_tail_q90_q100,q90_q99,1300992,5965381.824459076,3316695.8117835405,3354649.5665766574,0.011313776309532009
batch_missing,clock_simplex_tail_q90_q100,q99_q100,121000,828618.9301757812,411982.7051365066,415573.44665191753,0.008640449827436947
batch_missing,clock_simplex_tail_q99_q100,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
batch_missing,clock_simplex_tail_q99_q100,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
batch_missing,clock_simplex_tail_q99_q100,q90_q99,1300992,5965381.824459076,3317561.9246089235,3354649.5665766574,0.01105559350736629
batch_missing,clock_simplex_tail_q99_q100,q99_q100,121000,828618.9301757812,411982.7051365066,415573.44665191753,0.008640449827436947
batch_missing,clock_weight_shrink,q00_q50,5544704,9122679.177062988,6228577.557997164,6278837.528498993,0.0080046617345495
batch_missing,clock_weight_shrink,q50_q90,4061728,12118261.292545319,7284957.208145383,7345827.850183189,0.008286423705979984
