fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,batches,batch_rows_min,batch_rows_max,max_abs_diff,mean_abs_diff
otf_01,1099,1218,1219,1238,1239,1258,selection,19360,34,39,0.0,0.0
otf_01,1099,1218,1219,1238,1239,1258,validation,19360,30,39,0.0,0.0
otf_02,1119,1238,1239,1258,1259,1278,selection,19360,30,39,0.0,0.0
otf_02,1119,1238,1239,1258,1259,1278,validation,19360,37,39,0.0,0.0
otf_03,1139,1258,1259,1278,1279,1298,selection,19360,37,39,0.0,0.0
otf_03,1139,1258,1259,1278,1279,1298,validation,19360,36,39,0.0,0.0
otf_04,1159,1278,1279,1298,1299,1318,selection,19360,36,39,0.0,0.0
otf_04,1159,1278,1279,1298,1299,1318,validation,19360,38,39,0.0,0.0
otf_05,1179,1298,1299,1318,1319,1338,selection,19360,38,39,0.0,0.0
otf_05,1179,1298,1299,1318,1319,1338,validation,19360,37,39,0.0,0.0
