fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,strategy,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1099,1218,1219,1238,1239,1258,selection,base_ensemble,746328,559685.8226555805,564750.1918158253,0.008967450093219975,-0.008907902709366852,0.057045438205911854
otf_01,1099,1218,1219,1238,1239,1258,selection,batch_missing_clock_simplex,746328,559389.049686869,564750.1918158253,0.009492944325912966,-0.00791130165536375,0.05713138908389866
otf_01,1099,1218,1219,1238,1239,1258,selection,batch_missing_tail_frozen_q99_q100,746328,559683.7492176205,564750.1918158253,0.008971121518197012,-0.00891577385244883,0.05704729678033027
otf_01,1099,1218,1219,1238,1239,1258,validation,base_ensemble,735680,558657.4521438545,563459.6744991485,0.008522743636556918,-0.005846064243432404,0.05541332261724739
otf_01,1099,1218,1219,1238,1239,1258,validation,batch_missing_clock_simplex,735680,558458.2056214795,563459.6744991485,0.008876356381873673,-0.006180485264107038,0.05605713234940543
otf_01,1099,1218,1219,1238,1239,1258,validation,batch_missing_tail_frozen_q99_q100,735680,558642.4804776688,563459.6744991485,0.008549314599596958,-0.005849800052082468,0.0554317719551569
otf_01,1099,1218,1219,1238,1239,1258,validation,batch_missing_tail_selection_gated_q99_q100,735680,558642.4804776688,563459.6744991485,0.008549314599596958,-0.005849800052082468,0.0554317719551569
otf_02,1119,1238,1239,1258,1259,1278,selection,base_ensemble,735680,558764.0568399963,563459.6744991485,0.008333546962923544,-0.001913804394270296,0.04711882134006737
otf_02,1119,1238,1239,1258,1259,1278,selection,batch_missing_clock_simplex,735680,558740.3916213047,563459.6744991485,0.008375546807389056,-0.001780660040047102,0.047292531349338814
otf_02,1119,1238,1239,1258,1259,1278,selection,batch_missing_tail_frozen_q99_q100,735680,558772.180862751,563459.6744991485,0.008319128854366031,-0.001912362097556577,0.0471357186503909
otf_02,1119,1238,1239,1258,1259,1278,validation,base_ensemble,747296,693157.9615244711,699025.1577793548,0.008393397847829331,0.0023640522523407145,0.05075696481213662
otf_02,1119,1238,1239,1258,1259,1278,validation,batch_missing_clock_simplex,747296,693169.73702143,699025.1577793548,0.008376552249601654,0.0021177971642851678,0.05108700736726437
otf_02,1119,1238,1239,1258,1259,1278,validation,batch_missing_tail_frozen_q99_q100,747296,693175.4942851346,699025.1577793548,0.008368316117267183,0.0023764944844613307,0.05076087478473995
otf_02,1119,1238,1239,1258,1259,1278,validation,batch_missing_tail_selection_gated_q99_q100,747296,693157.9615244711,699025.1577793548,0.008393397847829331,0.0023640522523407145,0.05075696481213662
otf_03,1139,1258,1259,1278,1279,1298,selection,base_ensemble,747296,693686.6118527651,699025.157779355,0.007637129890359362,-0.0009738304237978649,0.04996040536307716
otf_03,1139,1258,1259,1278,1279,1298,selection,batch_missing_clock_simplex,747296,695231.3212853302,699025.1577793548,0.0054273246846748835,-0.00308527228294893,0.05940744874829357
otf_03,1139,1258,1259,1278,1279,1298,selection,batch_missing_tail_frozen_q99_q100,747296,693704.795008362,699025.1577793548,0.007611117728429706,-0.0012612414070543667,0.05056092024266355
otf_03,1139,1258,1259,1278,1279,1298,validation,base_ensemble,747296,970185.9251918765,951472.691619412,-0.019667651775285844,-0.011369292998096496,0.09410465104625863
otf_03,1139,1258,1259,1278,1279,1298,validation,batch_missing_clock_simplex,747296,968326.1768851287,951472.691619412,-0.017713052002608753,-0.010092093736444664,0.09138948146836012
otf_03,1139,1258,1259,1278,1279,1298,validation,batch_missing_tail_frozen_q99_q100,747296,971066.9072766383,951472.691619412,-0.020593565984407647,-0.01139867536705063,0.09505111496438164
otf_03,1139,1258,1259,1278,1279,1298,validation,batch_missing_tail_selection_gated_q99_q100,747296,970185.9251918765,951472.691619412,-0.019667651775285844,-0.011369292998096496,0.09410465104625863
otf_04,1159,1278,1279,1298,1299,1318,selection,base_ensemble,747296,952606.169676379,951472.691619412,-0.0011912880600259967,-0.0060854945542709385,0.057560338921257705
otf_04,1159,1278,1279,1298,1299,1318,selection,batch_missing_clock_simplex,747296,947351.1460437566,951472.691619412,0.004331753934672111,-0.0027812792652166145,0.04555157299696959
otf_04,1159,1278,1279,1298,1299,1318,selection,batch_missing_tail_frozen_q99_q100,747296,948575.6749090175,951472.691619412,0.003044771264494983,-0.005456729788731677,0.05042233262160931
otf_04,1159,1278,1279,1298,1299,1318,validation,base_ensemble,753104,1054958.2020088974,1057695.6692310134,0.00258814260259399,-0.004241713000003724,0.0607860091375452
otf_04,1159,1278,1279,1298,1299,1318,validation,batch_missing_clock_simplex,753104,1055850.6566814221,1057695.6692310136,0.0017443699575067084,-0.0039439116885496926,0.0657340326471009
otf_04,1159,1278,1279,1298,1299,1318,validation,batch_missing_tail_frozen_q99_q100,753104,1054802.5424078465,1057695.6692310136,0.002735311212222813,-0.0042180606346012926,0.060838862972683094
otf_04,1159,1278,1279,1298,1299,1318,validation,batch_missing_tail_selection_gated_q99_q100,753104,1054802.5424078465,1057695.6692310136,0.002735311212222813,-0.0042180606346012926,0.060838862972683094
otf_05,1179,1298,1299,1318,1319,1338,selection,base_ensemble,753104,1052672.1011478552,1057695.6692310136,0.004749540183719203,0.003954451370134017,0.046330161290433984
otf_05,1179,1298,1299,1318,1319,1338,selection,batch_missing_clock_simplex,753104,1051617.1209062694,1057695.6692310136,0.0057469728784684815,0.004361868598173989,0.04893369756574999
otf_05,1179,1298,1299,1318,1319,1338,selection,batch_missing_tail_frozen_q99_q100,753104,1052286.6218922301,1057695.6692310136,0.005113992139833656,0.003989852639894515,0.04638339150100924
otf_05,1179,1298,1299,1318,1319,1338,validation,base_ensemble,747296,1097906.8681389077,1101204.061358931,0.002994170958609099,0.007693521980068101,0.04765760832915294
otf_05,1179,1298,1299,1318,1319,1338,validation,batch_missing_clock_simplex,747296,1097206.774999455,1101204.061358931,0.0036299233718254387,0.007571065511897603,0.049661895318548456
otf_05,1179,1298,1299,1318,1319,1338,validation,batch_missing_tail_frozen_q99_q100,747296,1097775.0876870167,1101204.061358931,0.0031138403791235447,0.007728231567849722,0.047709131744792806
otf_05,1179,1298,1299,1318,1319,1338,validation,batch_missing_tail_selection_gated_q99_q100,747296,1097775.0876870167,1101204.061358931,0.0031138403791235447,0.007728231567849722,0.047709131744792806
