fold,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,base_ensemble,q00_q50,371712,410072.26428222656,167891.81230469097,169430.8034352128,0.009083301851367853
otf_01,base_ensemble,q50_q90,280720,634950.7948617935,212425.83371180677,214094.4635989379,0.007793895550036067
otf_01,base_ensemble,q90_q99,74536,289995.68342781067,161555.40111016942,163064.43920816018,0.009254243937664386
otf_01,base_ensemble,q99_q100,8712,51467.498443603516,16784.4050171874,16869.968256837623,0.005071926535222926
otf_01,batch_missing_clock_simplex,q00_q50,371712,410072.26428222656,167888.33972872334,169430.8034352128,0.009103797392303936
otf_01,batch_missing_clock_simplex,q50_q90,280720,634950.7948617935,212342.37407031158,214094.4635989379,0.008183721798189492
otf_01,batch_missing_clock_simplex,q90_q99,74536,289995.68342781067,161458.05847144296,163064.43920816018,0.009851202043301366
otf_01,batch_missing_clock_simplex,q99_q100,8712,51467.498443603516,16769.4333510018,16869.968256837623,0.005959401008065024
otf_01,batch_missing_tail_frozen_q99_q100,q00_q50,371712,410072.26428222656,167891.81230469097,169430.8034352128,0.009083301851367853
otf_01,batch_missing_tail_frozen_q99_q100,q50_q90,280720,634950.7948617935,212425.83371180677,214094.4635989379,0.007793895550036067
otf_01,batch_missing_tail_frozen_q99_q100,q90_q99,74536,289995.68342781067,161555.40111016942,163064.43920816018,0.009254243937664386
otf_01,batch_missing_tail_frozen_q99_q100,q99_q100,8712,51467.498443603516,16769.4333510018,16869.968256837623,0.005959401008065024
otf_01,batch_missing_tail_selection_gated_q99_q100,q00_q50,371712,410072.26428222656,167891.81230469097,169430.8034352128,0.009083301851367853
otf_01,batch_missing_tail_selection_gated_q99_q100,q50_q90,280720,634950.7948617935,212425.83371180677,214094.4635989379,0.007793895550036067
otf_01,batch_missing_tail_selection_gated_q99_q100,q90_q99,74536,289995.68342781067,161555.40111016942,163064.43920816018,0.009254243937664386
otf_01,batch_missing_tail_selection_gated_q99_q100,q99_q100,8712,51467.498443603516,16769.4333510018,16869.968256837623,0.005959401008065024
otf_02,base_ensemble,q00_q50,449152,521639.8770751953,294352.82799560763,297187.6217889733,0.009538734407244509
otf_02,base_ensemble,q50_q90,242000,591133.7452144623,272414.8540145981,274699.64769013127,0.00831742484835818
otf_02,base_ensemble,q90_q99,40656,179781.54396247864,68967.76767553599,69410.54504050034,0.006379108026107416
otf_02,base_ensemble,q99_q100,15488,96857.93408584595,57422.511838729464,57727.34325975006,0.005280537849264522
otf_02,batch_missing_clock_simplex,q00_q50,449152,521639.8770751953,294361.4049301112,297187.6217889733,0.009509874071635838
otf_02,batch_missing_clock_simplex,q50_q90,242000,591133.7452144623,272398.70216612506,274699.64769013127,0.008376223061639099
otf_02,batch_missing_clock_simplex,q90_q99,40656,179781.54396247864,68969.58532580092,69410.54504050034,0.00635292107909724
otf_02,batch_missing_clock_simplex,q99_q100,15488,96857.93408584595,57440.04459939285,57727.34325975006,0.004976821106498441
otf_02,batch_missing_tail_frozen_q99_q100,q00_q50,449152,521639.8770751953,294352.82799560763,297187.6217889733,0.009538734407244509
otf_02,batch_missing_tail_frozen_q99_q100,q50_q90,242000,591133.7452144623,272414.8540145981,274699.64769013127,0.00831742484835818
otf_02,batch_missing_tail_frozen_q99_q100,q90_q99,40656,179781.54396247864,68967.76767553599,69410.54504050034,0.006379108026107416
otf_02,batch_missing_tail_frozen_q99_q100,q99_q100,15488,96857.93408584595,57440.04459939285,57727.34325975006,0.004976821106498441
otf_02,batch_missing_tail_selection_gated_q99_q100,q00_q50,449152,521639.8770751953,294352.82799560763,297187.6217889733,0.009538734407244509
otf_02,batch_missing_tail_selection_gated_q99_q100,q50_q90,242000,591133.7452144623,272414.8540145981,274699.64769013127,0.00831742484835818
otf_02,batch_missing_tail_selection_gated_q99_q100,q90_q99,40656,179781.54396247864,68967.76767553599,69410.54504050034,0.006379108026107416
otf_02,batch_missing_tail_selection_gated_q99_q100,q99_q100,15488,96857.93408584595,57422.511838729464,57727.34325975006,0.005280537849264522
otf_03,base_ensemble,q00_q50,361064,441255.00540685654,318607.7684216568,320099.27303167805,0.004659506395922497
otf_03,base_ensemble,q50_q90,308792,756526.5684118271,465371.6709893574,467915.31113088294,0.005436112221628209
otf_03,base_ensemble,q90_q99,65824,277246.8085575104,138184.26428695204,126698.99026034401,-0.09065008334326752
otf_03,base_ensemble,q99_q100,11616,70718.07759857178,48022.22149391051,36759.11719650723,-0.3064030139024525
otf_03,batch_missing_clock_simplex,q00_q50,361064,441255.00540685654,318242.9801146276,320099.27303167805,0.005799116316227204
