strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
base_ensemble,q00_q50,1754016,2032951.6640646458,1287920.0962296862,1295337.390192123,0.005726148275034815
base_ensemble,q50_q90,1609784,3834158.560074806,2209699.8194724945,2218506.6209424757,0.003969698078358563
base_ensemble,q90_q99,317504,1320414.9678287506,699550.1397828483,691575.0553814316,-0.011531769891582
base_ensemble,q99_q100,49368,304607.6462249756,177696.35352297896,167438.18797182982,-0.06126538799425485
batch_missing_clock_simplex,q00_q50,1754016,2032951.6640646458,1287294.3153157113,1295337.390192123,0.0062092509158703235
batch_missing_clock_simplex,q50_q90,1609784,3834158.560074806,2210365.3534808718,2218506.6209424757,0.003669706181965493
batch_missing_clock_simplex,q90_q99,317504,1320414.9678287506,697059.4257630557,691575.0553814316,-0.007930260553714152
batch_missing_clock_simplex,q99_q100,49368,304607.6462249756,178292.4566492764,167438.18797182982,-0.06482552641618855
batch_missing_tail_frozen_q99_q100,q00_q50,1754016,2032951.6640646458,1287920.0962296862,1295337.390192123,0.005726148275034815
batch_missing_tail_frozen_q99_q100,q50_q90,1609784,3834158.560074806,2209699.8194724945,2218506.6209424757,0.003969698078358563
batch_missing_tail_frozen_q99_q100,q90_q99,317504,1320414.9678287506,699550.1397828483,691575.0553814316,-0.011531769891582
batch_missing_tail_frozen_q99_q100,q99_q100,49368,304607.6462249756,178292.4566492764,167438.18797182982,-0.06482552641618855
batch_missing_tail_selection_gated_q99_q100,q00_q50,1754016,2032951.6640646458,1287920.0962296862,1295337.390192123,0.005726148275034815
batch_missing_tail_selection_gated_q99_q100,q50_q90,1609784,3834158.560074806,2209699.8194724945,2218506.6209424757,0.003969698078358563
batch_missing_tail_selection_gated_q99_q100,q90_q99,317504,1320414.9678287506,699550.1397828483,691575.0553814316,-0.011531769891582
batch_missing_tail_selection_gated_q99_q100,q99_q100,49368,304607.6462249756,177393.9418038514,167438.18797182982,-0.0594592783917165
