variant,tail_buckets,fold,rows,numerator,denominator,weighted_zero_mean_r2,base_r2,delta_r2,numerator_improvement
q99_only,q99_q100,otf_01,735680,558642.4804776689,563459.6744991485,0.008549314599596736,0.008522743636556696,0.00002657096304004014,14.971666185650975
q99_only,q99_q100,otf_02,747296,693175.4942851346,699025.157779355,0.008368316117267405,0.008393397847829331,-0.00002508173056192664,-17.532760663423687
q99_only,q99_q100,otf_03,747296,971066.9072766383,951472.6916194123,-0.020593565984407425,-0.019667651775285844,-0.0009259142091215811,-880.9820847616065
q99_only,q99_q100,otf_04,753104,1054802.5424078465,1057695.6692310134,0.002735311212222591,0.0025881426025942122,0.00014716860962837863,155.65960105066188
q99_only,q99_q100,otf_05,747296,1097775.0876870167,1101204.061358931,0.0031138403791235447,0.002994170958608877,0.00011966942051466756,131.78045189124532
q90_q99_only,q90_q99,otf_01,735680,558560.1095051281,563459.6744991485,0.008695502474734385,0.008522743636556696,0.000172758838177689,97.34263872646261
q90_q99_only,q90_q99,otf_02,747296,693159.7791747361,699025.157779355,0.008390797583382903,0.008393397847829331,-2.6002644464284685e-6,-1.8176502649439499
q90_q99_only,q90_q99,otf_03,747296,967790.5921561258,951472.6916194123,-0.017150151213420894,-0.019667651775285844,0.0025175005618649493,2395.3330357508967
q90_q99_only,q90_q99,otf_04,753104,1055114.6245697683,1057695.6692310134,0.002440252651428221,0.0025881426025942122,-0.00014788995116599146,-156.4225608711131
q90_q99_only,q90_q99,otf_05,747296,1097750.5895824567,1101204.061358931,0.003136087032055257,0.002994170958608877,0.0001419160734463798,156.27855645120144
q90_q100,"q90_q99,q99_q100",otf_01,735680,558545.1378389425,563459.6744991485,0.008722073437774425,0.008522743636556696,0.00019932980121772914,112.31430491211358
q90_q100,"q90_q99,q99_q100",otf_02,747296,693177.3119353995,699025.157779355,0.008365715852820976,0.008393397847829331,-0.00002768199500835511,-19.350410928367637
q90_q100,"q90_q99,q99_q100",otf_03,747296,968671.5742408874,951472.6916194123,-0.018076065422542476,-0.019667651775285844,0.0015915863527433682,1514.3509509892901
q90_q100,"q90_q99,q99_q100",otf_04,753104,1054958.9649687177,1057695.6692310134,0.0025874212610564884,0.0025881426025942122,-7.213415377238519e-7,-0.7629598204512149
q90_q100,"q90_q99,q99_q100",otf_05,747296,1097618.8091305655,1101204.061358931,0.0032557564525699245,0.002994170958608877,0.00026158549396104736,288.05900834244676
