fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,batches,batch_rows_min,batch_rows_max,max_abs_diff,mean_abs_diff
otf_01,1459,1578,1579,1598,1599,1618,selection,19360,35,39,0.0,0.0
otf_01,1459,1578,1579,1598,1599,1618,validation,19360,36,39,0.0,0.0
otf_02,1479,1598,1599,1618,1619,1638,selection,19360,36,39,0.0,0.0
otf_02,1479,1598,1599,1618,1619,1638,validation,19360,27,39,0.0,0.0
otf_03,1499,1618,1619,1638,1639,1658,selection,19360,27,39,0.0,0.0
otf_03,1499,1618,1619,1638,1639,1658,validation,19360,27,39,0.0,0.0
otf_04,1519,1638,1639,1658,1659,1678,selection,19360,27,39,0.0,0.0
otf_04,1519,1638,1639,1658,1659,1678,validation,19360,37,39,0.0,0.0
otf_05,1539,1658,1659,1678,1679,1698,selection,19360,37,39,0.0,0.0
otf_05,1539,1658,1659,1678,1679,1698,validation,19360,38,39,0.0,0.0
