fold,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,base_ensemble,q00_q50,231352,377486.7931866646,371153.26029661193,373419.81718281005,0.006069728444777489
otf_01,base_ensemble,q50_q90,315568,868043.8113498688,715804.8092586289,717290.8335056251,0.0020717178828755234
otf_01,base_ensemble,q90_q99,168432,725064.508272171,531960.889945814,534192.8252203417,0.004178145360913543
otf_01,base_ensemble,q99_q100,27104,165836.50005722046,90717.00863705634,91004.46239244688,0.003158677583863123
otf_01,batch_missing_clock_simplex,q00_q50,231352,377486.7931866646,371156.60337588046,373419.81718281005,0.006060775842064214
otf_01,batch_missing_clock_simplex,q50_q90,315568,868043.8113498688,715816.4789828333,717290.8335056251,0.0020554487160893142
otf_01,batch_missing_clock_simplex,q90_q99,168432,725064.508272171,531966.7975924924,534192.8252203417,0.004167086345517768
otf_01,batch_missing_clock_simplex,q99_q100,27104,165836.50005722046,90714.41890603906,91004.46239244688,0.003187134771007516
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,231352,377486.7931866646,371153.26029661193,373419.81718281005,0.006069728444777489
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,315568,868043.8113498688,715804.8092586289,717290.8335056251,0.0020717178828755234
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,168432,725064.508272171,531966.7975924924,534192.8252203417,0.004167086345517768
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,27104,165836.50005722046,90714.41890603906,91004.46239244688,0.003187134771007516
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,231352,377486.7931866646,371153.26029661193,373419.81718281005,0.006069728444777489
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,315568,868043.8113498688,715804.8092586289,717290.8335056251,0.0020717178828755234
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,168432,725064.508272171,531966.7975924924,534192.8252203417,0.004167086345517768
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,27104,165836.50005722046,90714.41890603906,91004.46239244688,0.003187134771007516
otf_02,base_ensemble,q00_q50,315568,539531.6161885262,432157.0323364617,434380.4334344484,0.005118557206656993
otf_02,base_ensemble,q50_q90,326216,964423.7267990112,608762.1470581568,610749.9667300697,0.003254719247150595
otf_02,base_ensemble,q90_q99,91960,418593.6007976532,203720.20226778556,205070.01021750883,0.006582181120933228
otf_02,base_ensemble,q99_q100,3872,26025.29181289673,11307.07395455656,11332.760855334926,0.0022666057376719007
otf_02,batch_missing_clock_simplex,q00_q50,315568,539531.6161885262,431926.91108401556,434380.4334344484,0.005648326125175407
