strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
base_ensemble,q00_q50,2145088,3429417.4721245766,2231093.9662505817,2243192.8821144826,0.005393613701420219
base_ensemble,q50_q90,1208064,3558893.5478229523,2219273.9364496116,2225475.6388260345,0.0027866862562891948
base_ensemble,q90_q99,326216,1470012.877067566,865613.1340318565,869454.1154918994,0.0044176931152598575
base_ensemble,q99_q100,36784,229522.13163757324,125431.49458132689,126105.8535607221,0.005347562863689759
batch_missing_clock_simplex,q00_q50,2145088,3429417.4721245766,2232203.3939921055,2243192.8821144826,0.004899038424202806
batch_missing_clock_simplex,q50_q90,1208064,3558893.5478229523,2218899.0503097447,2225475.6388260345,0.002955138398980206
batch_missing_clock_simplex,q90_q99,326216,1470012.877067566,865439.9993449312,869454.1154918994,0.00461682344754577
batch_missing_clock_simplex,q99_q100,36784,229522.13163757324,125272.6446639173,126105.8535607221,0.006607218247831725
batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,2145088,3429417.4721245766,2231093.9662505817,2243192.8821144826,0.005393613701420219
batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,1208064,3558893.5478229523,2219273.9364496116,2225475.6388260345,0.0027866862562891948
batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,326216,1470012.877067566,865439.9993449312,869454.1154918994,0.00461682344754577
batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,36784,229522.13163757324,125272.6446639173,126105.8535607221,0.006607218247831725
batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,2145088,3429417.4721245766,2231093.9662505817,2243192.8821144826,0.005393613701420219
batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,1208064,3558893.5478229523,2219273.9364496116,2225475.6388260345,0.0027866862562891948
batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,326216,1470012.877067566,865748.133007501,869454.1154918994,0.004262424455029112
batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,36784,229522.13163757324,125323.61069588353,126105.8535607221,0.006203065462475954
