variant,tail_buckets,fold,rows,numerator,denominator,weighted_zero_mean_r2,base_r2,delta_r2,numerator_improvement
q99_only,q99_q100,otf_01,742456,1709633.378407094,1715907.9383012238,0.003656699613116654,0.003655190364887484,1.5092482291700904e-6,2.5897310173604637
q99_only,q99_q100,otf_02,737616,1255895.4895849943,1261533.1712373619,0.004468912733256114,0.004428512660449191,0.00004040007280692315,50.96603196626529
q99_only,q99_q100,otf_03,743424,723336.3775905106,725398.6499699302,0.002842950396316546,0.0027197689100606492,0.00012318148625589664,89.35568383138161
q99_only,q99_q100,otf_04,740520,954553.3299481629,960511.5364725835,0.006203159772866229,0.0061865660413080725,0.000016593731558156577,15.938470594701357
q99_only,q99_q100,otf_05,752136,797835.1058652049,800877.1940120393,0.0037984452167939553,0.0037984452167939553,0.0,0.0
q90_q99_only,q90_q99,otf_01,742456,1709641.8757847897,1715907.9383012238,0.0036517474956363483,0.003655190364887484,-3.442869251135683e-6,-5.907646678388119
q90_q99_only,q90_q99,otf_02,737616,1255638.3219543907,1261533.1712373619,0.004672765978233628,0.004428512660449191,0.0002442533177844375,308.13366256980225
q90_q99_only,q90_q99,otf_03,743424,723614.0365548054,725398.6499699302,0.002460182983796244,0.0027197689100606492,-0.00025958592626440513,-188.3032804633258
q90_q99_only,q90_q99,otf_04,740520,954546.5752416239,960511.5364725835,0.00621019217829033,0.0061865660413080725,0.000023626136982257684,22.693177133682184
q90_q99_only,q90_q99,otf_05,752136,797798.5870908414,800877.1940120393,0.003844043686367815,0.0037984452167939553,0.00004559846957385982,36.51877436356153
q90_q100,"q90_q99,q99_q100",otf_01,742456,1709639.2860537723,1715907.9383012238,0.0036532567438656294,0.003655190364887484,-1.93362102185457e-6,-3.317915661027655
q90_q100,"q90_q99,q99_q100",otf_02,737616,1255587.3559224245,1261533.1712373619,0.0047131660510404405,0.004428512660449191,0.0002846533905912496,359.09969453606755
q90_q100,"q90_q99,q99_q100",otf_03,743424,723524.680870974,725398.6499699302,0.0025833644700522518,0.0027197689100606492,-0.00013640444000839747,-98.94759663194418
q90_q100,"q90_q99,q99_q100",otf_04,740520,954530.6367710292,960511.5364725835,0.006226785909848376,0.0061865660413080725,0.00004021986854030324,38.63164772838354
q90_q100,"q90_q99,q99_q100",otf_05,752136,797798.5870908414,800877.1940120393,0.003844043686367815,0.0037984452167939553,0.00004559846957385982,36.51877436356153
