fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,base_ensemble,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,base_ensemble,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,global_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,global_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,global_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,clock_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_weight_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_weight_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,clock_weight_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_weight_abs_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_weight_abs_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,clock_weight_abs_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_weight_disagreement_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_weight_disagreement_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,clock_weight_disagreement_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_01,batch_missing,clock_weight_shrink,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,clock_weight_shrink,q50_q90,148104,357513.75993442535,184835.12213494026,185239.80427526476,0.0021846392135199677
otf_01,batch_missing,clock_weight_shrink,q90_q99,31944,127642.85494995117,62923.987981529026,63122.31935308795,0.0031420165417166412
otf_01,batch_missing,clock_weight_abs_shrink,q00_q50,195536,245993.14568567276,140156.9246601641,141923.43183706037,0.01244690291117223
otf_01,batch_missing,clock_weight_abs_shrink,q50_q90,148104,357513.75993442535,184837.4848356598,185239.80427526476,0.0021718843915810027
otf_01,batch_missing,clock_weight_abs_shrink,q90_q99,31944,127642.85494995117,62913.396306412236,63122.31935308795,0.0033098125800330447
otf_01,batch_missing,clock_weight_disagreement_shrink,q00_q50,195536,245993.14568567276,140210.87188690665,141923.43183706037,0.012066787900956943
otf_01,batch_missing,clock_weight_disagreement_shrink,q50_q90,148104,357513.75993442535,184815.4494825904,185239.80427526476,0.002290840212958667
otf_01,batch_missing,clock_weight_disagreement_shrink,q90_q99,31944,127642.85494995117,62949.85255821576,63122.31935308795,0.002732263272955171
otf_01,batch_missing,selection_chosen_gate,q00_q50,195536,245993.14568567276,140128.7177265601,141923.43183706037,0.012645650455808788
otf_01,batch_missing,selection_chosen_gate,q50_q90,148104,357513.75993442535,184787.1913587186,185239.80427526476,0.0024433890886300658
otf_01,batch_missing,selection_chosen_gate,q90_q99,31944,127642.85494995117,62920.51393860892,63122.31935308795,0.003197053222176227
otf_02,batch_missing,base_ensemble,q00_q50,171336,216299.14267969131,141352.58569022443,141727.5122617768,0.002645404308373678
otf_02,batch_missing,base_ensemble,q50_q90,174240,452506.0334863663,220949.57495514257,221346.52114485338,0.0017933247274802833
otf_02,batch_missing,base_ensemble,q90_q99,27104,108703.32953453064,36180.281655291845,36286.33256511502,0.002922613070165503
otf_02,batch_missing,base_ensemble,q99_q100,3872,21331.52445602417,11158.652198817625,11231.27257488103,0.006465908077578186
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,171336,216299.14267969131,141346.60258433368,141727.5122617768,0.0026876198655033656
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,174240,452506.0334863663,220954.1415721358,221346.52114485338,0.001772693651059476
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,27104,108703.32953453064,36185.59734609938,36286.33256511502,0.0027761201503314625
otf_02,batch_missing,batch_missing_clock_simplex,q99_q100,3872,21331.52445602417,11159.016371418791,11231.27257488103,0.006433483203305168
otf_02,batch_missing,global_blend,q00_q50,171336,216299.14267969131,141346.60258433368,141727.5122617768,0.0026876198655033656
otf_02,batch_missing,global_blend,q50_q90,174240,452506.0334863663,220954.1415721358,221346.52114485338,0.001772693651059476
otf_02,batch_missing,global_blend,q90_q99,27104,108703.32953453064,36185.59734609938,36286.33256511502,0.0027761201503314625
otf_02,batch_missing,global_blend,q99_q100,3872,21331.52445602417,11159.016371418791,11231.27257488103,0.006433483203305168
otf_02,batch_missing,clock_blend,q00_q50,171336,216299.14267969131,141346.60258433368,141727.5122617768,0.0026876198655033656
otf_02,batch_missing,clock_blend,q50_q90,174240,452506.0334863663,220954.1415721358,221346.52114485338,0.001772693651059476
