fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,235224,308695.9977285862,232296.84041536466,233203.3793945934,0.003887332085761974
otf_01,batch_missing,base_ensemble,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,base_ensemble,q90_q99,19360,87195.77685928345,66571.19838748004,66821.3575950603,0.0037437013641092864
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,235224,308695.9977285862,232310.40049750902,233203.3793945934,0.0038291850632807822
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,120032,334606.6251373291,211978.54181841033,212177.44431516962,0.0009374346901069863
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,19360,87195.77685928345,66557.30117144258,66821.3575950603,0.003951677025449074
otf_01,batch_missing,clock_weight_abs_shrink,q00_q50,235224,308695.9977285862,232382.36384918191,233203.3793945934,0.003520598833271049
otf_01,batch_missing,clock_weight_abs_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,clock_weight_abs_shrink,q90_q99,19360,87195.77685928345,66565.04702174834,66821.3575950603,0.0038357582446201244
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q00_q50,235224,308695.9977285862,232381.1896533456,233203.3793945934,0.003525633905401504
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q90_q99,19360,87195.77685928345,66565.04702174834,66821.3575950603,0.0038357582446201244
otf_01,batch_missing,selection_chosen_gate,q00_q50,235224,308695.9977285862,232381.1896533456,233203.3793945934,0.003525633905401504
otf_01,batch_missing,selection_chosen_gate,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,selection_chosen_gate,q90_q99,19360,87195.77685928345,66565.04702174834,66821.3575950603,0.0038357582446201244
otf_02,batch_missing,base_ensemble,q00_q50,217800,296602.7264738083,240472.83677227455,241026.36080398,0.002296529018067095
otf_02,batch_missing,base_ensemble,q50_q90,131648,345878.84641456604,247375.1451645575,248112.45309335314,0.0029716683689319234
otf_02,batch_missing,base_ensemble,q90_q99,19360,86986.31513404846,82599.90492647939,82860.95114804743,0.0031504130468118507
otf_02,batch_missing,base_ensemble,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,217800,296602.7264738083,240473.41783719553,241026.36080398,0.002294118223998609
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,131648,345878.84641456604,247287.31299307558,248112.45309335314,0.003325669832328404
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,19360,86986.31513404846,82560.01256746851,82860.95114804743,0.003631850424227423
otf_02,batch_missing,batch_missing_clock_simplex,q99_q100,3872,24758.774772644043,16973.7562878877,17002.115008727065,0.0016679525355998148
otf_02,batch_missing,clock_weight_abs_shrink,q00_q50,217800,296602.7264738083,240532.31085631138,241026.36080398,0.0020497755764997683
otf_02,batch_missing,clock_weight_abs_shrink,q50_q90,131648,345878.84641456604,247292.99931959182,248112.45309335314,0.0033027514884671483
otf_02,batch_missing,clock_weight_abs_shrink,q90_q99,19360,86986.31513404846,82635.43010498886,82860.95114804743,0.002721680597844389
otf_02,batch_missing,clock_weight_abs_shrink,q99_q100,3872,24758.774772644043,16997.221795245667,17002.115008727065,0.000287800281252526
otf_02,batch_missing,group_select_clock_weight_abs_shrink,q00_q50,217800,296602.7264738083,240478.59037577902,241026.36080398,0.0022726577556654304
otf_02,batch_missing,group_select_clock_weight_abs_shrink,q50_q90,131648,345878.84641456604,247375.1451645575,248112.45309335314,0.0029716683689319234
otf_02,batch_missing,group_select_clock_weight_abs_shrink,q90_q99,19360,86986.31513404846,82599.90492647939,82860.95114804743,0.0031504130468118507
otf_02,batch_missing,group_select_clock_weight_abs_shrink,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
otf_02,batch_missing,selection_chosen_gate,q00_q50,217800,296602.7264738083,240478.59037577902,241026.36080398,0.0022726577556654304
otf_02,batch_missing,selection_chosen_gate,q50_q90,131648,345878.84641456604,247375.1451645575,248112.45309335314,0.0029716683689319234
otf_02,batch_missing,selection_chosen_gate,q90_q99,19360,86986.31513404846,82599.90492647939,82860.95114804743,0.0031504130468118507
otf_02,batch_missing,selection_chosen_gate,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
