fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1409,1468,1469,1478,1479,1488,selection,batch_missing,base_ensemble,false,353320,786701.0774777718,793508.7332513009,0.008579181914779466,0.0001576508293073352,0.05642071993396133
otf_01,1409,1468,1469,1478,1479,1488,selection,batch_missing,batch_missing_clock_simplex,false,353320,787392.8481567557,793508.7332513009,0.0077073948127655,0.00008552147237615541,0.054703566670167084
otf_01,1409,1468,1469,1478,1479,1488,selection,batch_missing,clock_weight_delta_blend,false,353320,787165.9517390231,793508.7332513009,0.007993335481374042,0.00013817885133071063,0.05514229345273855
otf_01,1409,1468,1469,1478,1479,1488,selection,batch_missing,group_select_clock_weight_delta_blend,true,353320,786691.1160793222,793508.7332513009,0.008591735523873045,0.00012371690770877572,0.056658782063976655
otf_01,1409,1468,1469,1478,1479,1488,validation,batch_missing,base_ensemble,false,353320,737148.5234647775,760411.3787540867,0.030592460790664022,0.0068156657965670435,0.09254275971254039
otf_01,1409,1468,1469,1478,1479,1488,validation,batch_missing,batch_missing_clock_simplex,false,353320,737507.5099657727,760411.3787540867,0.030120365670804783,0.006947566507234582,0.09228587749106386
otf_01,1409,1468,1469,1478,1479,1488,validation,batch_missing,clock_weight_delta_blend,false,353320,737279.2788163291,760411.3787540867,0.030420507351769155,0.0069062811684875445,0.09258381885168633
otf_01,1409,1468,1469,1478,1479,1488,validation,batch_missing,group_select_clock_weight_delta_blend,true,353320,737174.0092243173,760411.3787540867,0.03055894503820178,0.006813102903077062,0.09259462770346216
otf_01,1409,1468,1469,1478,1479,1488,validation,batch_missing,selection_chosen_gate,false,353320,737174.0092243173,760411.3787540867,0.03055894503820178,0.006813102903077062,0.09259462770346216
otf_02,1419,1478,1479,1488,1489,1498,selection,batch_missing,base_ensemble,false,353320,733524.1317468416,760411.3787540867,0.03535881729084478,0.010320912568946536,0.10866104920187954
otf_02,1419,1478,1479,1488,1489,1498,selection,batch_missing,batch_missing_clock_simplex,false,353320,735090.1482500664,760411.3787540867,0.03329938400646815,0.010283193272718748,0.11387993557256083
otf_02,1419,1478,1479,1488,1489,1498,selection,batch_missing,clock_weight_delta_blend,false,353320,734843.5469645902,760411.3787540867,0.03362368384253889,0.010106525882571066,0.10877670184558302
otf_02,1419,1478,1479,1488,1489,1498,selection,batch_missing,group_select_clock_weight_delta_blend,true,353320,733126.5154930967,760411.3787540867,0.03588171353471259,0.010231766416070799,0.11033310205748305
otf_02,1419,1478,1479,1488,1489,1498,validation,batch_missing,base_ensemble,false,359128,372619.4310470337,376595.4920304461,0.010557909129435328,-0.00854803024669223,0.06865465372406329
otf_02,1419,1478,1479,1488,1489,1498,validation,batch_missing,batch_missing_clock_simplex,false,359128,372660.35051812,376595.4920304461,0.01044925283388154,-0.010798355554944867,0.07312587211948302
otf_02,1419,1478,1479,1488,1489,1498,validation,batch_missing,clock_weight_delta_blend,false,359128,372634.6325225979,376595.4920304461,0.010517543602269086,-0.010652297895564789,0.07184528326232531
otf_02,1419,1478,1479,1488,1489,1498,validation,batch_missing,group_select_clock_weight_delta_blend,true,359128,372588.117833822,376595.4920304461,0.010641057265497356,-0.010566159628731479,0.07130949084405148
otf_02,1419,1478,1479,1488,1489,1498,validation,batch_missing,selection_chosen_gate,false,359128,372588.117833822,376595.4920304461,0.010641057265497356,-0.010566159628731479,0.07130949084405148
