fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,193600,372641.98209762573,324651.66247671976,338810.19476547843,0.04178897951568161
otf_01,batch_missing,base_ensemble,q50_q90,124872,490364.0773086548,292577.2553117959,299378.9002033972,0.022719185911165618
otf_01,batch_missing,base_ensemble,q90_q99,30008,179061.59594726562,100943.78869087239,102709.01371402503,0.01718666122203838
otf_01,batch_missing,base_ensemble,q99_q100,4840,38891.6983833313,18975.816985389498,19513.270071186013,0.027542953274148352
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,193600,372641.98209762573,324797.56705468125,338810.19476547843,0.04135834141737271
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,124872,490364.0773086548,292764.40718914807,299378.9002033972,0.02209405208501758
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,30008,179061.59594726562,100956.8247937352,102709.01371402503,0.017059738546107428
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,4840,38891.6983833313,18988.71092820838,19513.270071186013,0.026882175107708628
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,193600,372641.98209762573,324776.7770069668,338810.19476547843,0.041419703348139936
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,124872,490364.0773086548,292560.1763728244,299378.9002033972,0.022776233815877345
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,30008,179061.59594726562,100953.6145083295,102709.01371402503,0.017090994667548154
otf_01,batch_missing,clock_weight_delta_blend,q99_q100,4840,38891.6983833313,18988.71092820838,19513.270071186013,0.026882175107708628
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,193600,372641.98209762573,324661.0243178676,338810.19476547843,0.041761347994279774
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,124872,490364.0773086548,292577.13111678895,299378.9002033972,0.02271960075338364
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,30008,179061.59594726562,100960.03680427138,102709.01371402503,0.01702846562837579
otf_01,batch_missing,group_select_clock_weight_delta_blend,q99_q100,4840,38891.6983833313,18975.816985389498,19513.270071186013,0.027542953274148352
otf_01,batch_missing,selection_chosen_gate,q00_q50,193600,372641.98209762573,324661.0243178676,338810.19476547843,0.041761347994279774
otf_01,batch_missing,selection_chosen_gate,q50_q90,124872,490364.0773086548,292577.13111678895,299378.9002033972,0.02271960075338364
otf_01,batch_missing,selection_chosen_gate,q90_q99,30008,179061.59594726562,100960.03680427138,102709.01371402503,0.01702846562837579
otf_01,batch_missing,selection_chosen_gate,q99_q100,4840,38891.6983833313,18975.816985389498,19513.270071186013,0.027542953274148352
otf_02,batch_missing,base_ensemble,q00_q50,261360,484195.9014182091,230881.4658467113,233555.86066950773,0.011450771627524392
otf_02,batch_missing,base_ensemble,q50_q90,90024,346646.4858608246,130081.7248018002,131324.36262696885,0.009462355653675703
otf_02,batch_missing,base_ensemble,q90_q99,7744,45090.23107147217,11656.240398522188,11715.26873396951,0.005038581426319633
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,261360,484195.9014182091,231006.9441827084,233555.86066950773,0.010913519701422403
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,90024,346646.4858608246,129986.72555155276,131324.36262696885,0.010185749610037598
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,7744,45090.23107147217,11666.680783858765,11715.26873396951,0.004147403803880234
otf_02,batch_missing,clock_weight_delta_blend,q00_q50,261360,484195.9014182091,230981.5612539861,233555.86066950773,0.011022200034467966
otf_02,batch_missing,clock_weight_delta_blend,q50_q90,90024,346646.4858608246,129986.71693600701,131324.36262696885,0.010185815215120964
otf_02,batch_missing,clock_weight_delta_blend,q90_q99,7744,45090.23107147217,11666.35433260475,11715.26873396951,0.004175269255491165
otf_02,batch_missing,group_select_clock_weight_delta_blend,q00_q50,261360,484195.9014182091,230879.6210057812,233555.86066950773,0.011458670555535955
otf_02,batch_missing,group_select_clock_weight_delta_blend,q50_q90,90024,346646.4858608246,130059.76695025305,131324.36262696885,0.009629558837516927
otf_02,batch_missing,group_select_clock_weight_delta_blend,q90_q99,7744,45090.23107147217,11648.729877787768,11715.26873396951,0.0056796696424731286
otf_02,batch_missing,selection_chosen_gate,q00_q50,261360,484195.9014182091,230879.6210057812,233555.86066950773,0.011458670555535955
otf_02,batch_missing,selection_chosen_gate,q50_q90,90024,346646.4858608246,130059.76695025305,131324.36262696885,0.009629558837516927
otf_02,batch_missing,selection_chosen_gate,q90_q99,7744,45090.23107147217,11648.729877787768,11715.26873396951,0.0056796696424731286
