fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,batches,batch_rows_min,batch_rows_max,max_abs_diff,mean_abs_diff
otf_01,1579,1638,1639,1648,1649,1658,selection,9680,27,39,0.0,0.0
otf_01,1579,1638,1639,1648,1649,1658,validation,9680,39,39,0.0,0.0
otf_02,1589,1648,1649,1658,1659,1668,selection,9680,39,39,0.0,0.0
otf_02,1589,1648,1649,1658,1659,1668,validation,9680,38,39,0.0,0.0
otf_03,1599,1658,1659,1668,1669,1678,selection,9680,38,39,0.0,0.0
otf_03,1599,1658,1659,1668,1669,1678,validation,9680,37,39,0.0,0.0
otf_04,1609,1668,1669,1678,1679,1688,selection,9680,37,39,0.0,0.0
otf_04,1609,1668,1669,1678,1679,1688,validation,9680,38,39,0.0,0.0
otf_05,1619,1678,1679,1688,1689,1698,selection,9680,38,39,0.0,0.0
otf_05,1619,1678,1679,1688,1689,1698,validation,9680,38,39,0.0,0.0
