fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1579,1638,1639,1648,1649,1658,selection,batch_missing,base_ensemble,true,365904,356577.47501182306,357161.4159578994,0.0016349496893729443,-0.0025090359449674365,0.024677252026448014
otf_01,1579,1638,1639,1648,1649,1658,selection,batch_missing,batch_missing_clock_simplex,false,365904,356574.78947447776,357161.4159578994,0.0016424688032113943,-0.0024742103943462992,0.02473122698034993
otf_01,1579,1638,1639,1648,1649,1658,selection,batch_missing,clock_weight_delta_blend,false,365904,356574.06328657904,357161.4159578994,0.0016445020236721675,-0.0024805915885866637,0.024725371176739196
otf_01,1579,1638,1639,1648,1649,1658,selection,batch_missing,group_select_clock_weight_delta_blend,false,365904,356575.343953881,357161.4159578994,0.0016409163415554984,-0.0024905412635940227,0.02469184273461218
otf_01,1579,1638,1639,1648,1649,1658,validation,batch_missing,base_ensemble,true,377520,367864.0388804242,368237.2340120307,0.0010134638682254282,-0.007712774385305124,0.025420721209340212
otf_01,1579,1638,1639,1648,1649,1658,validation,batch_missing,batch_missing_clock_simplex,false,377520,367861.86192284746,368237.2340120307,0.0010193757027052719,-0.007701006452386312,0.02546718702196026
otf_01,1579,1638,1639,1648,1649,1658,validation,batch_missing,clock_weight_delta_blend,false,377520,367861.4395835027,368237.2340120307,0.0010205226245961763,-0.00770311433453662,0.025464964467215228
otf_01,1579,1638,1639,1648,1649,1658,validation,batch_missing,group_select_clock_weight_delta_blend,false,377520,367861.63820686104,368237.2340120307,0.0010199832349311322,-0.007708632606208833,0.025449893631870755
otf_01,1579,1638,1639,1648,1649,1658,validation,batch_missing,selection_chosen_gate,false,377520,367864.0388804242,368237.2340120307,0.0010134638682254282,-0.007712774385305124,0.025420721209340212
otf_02,1589,1648,1649,1658,1659,1668,selection,batch_missing,base_ensemble,false,377520,367763.71336484514,368237.2340120307,0.0012859119161483523,-0.008691291099003006,0.019896610460082887
otf_02,1589,1648,1649,1658,1659,1668,selection,batch_missing,batch_missing_clock_simplex,false,377520,367800.86909984786,368237.2340120307,0.0011850102919483962,-0.008734675929887655,0.0208631409860942
otf_02,1589,1648,1649,1658,1659,1668,selection,batch_missing,clock_weight_delta_blend,false,377520,367804.311374736,368237.2340120307,0.0011756623103478248,-0.008766964772073872,0.020822227961731495
otf_02,1589,1648,1649,1658,1659,1668,selection,batch_missing,group_select_clock_weight_delta_blend,true,377520,367739.89644086175,368237.2340120307,0.0013505901229768913,-0.008627961285711042,0.02015335709511963
otf_02,1589,1648,1649,1658,1659,1668,validation,batch_missing,base_ensemble,false,373648,560009.2451167465,563032.3038469743,0.005369245618008778,-0.008078943900499114,0.033669987655513246
otf_02,1589,1648,1649,1658,1659,1668,validation,batch_missing,batch_missing_clock_simplex,false,373648,560148.9137434213,563032.3038469743,0.005121180585646479,-0.008045108058232041,0.03490156425653334
otf_02,1589,1648,1649,1658,1659,1668,validation,batch_missing,clock_weight_delta_blend,false,373648,560090.7137405224,563032.3038469743,0.005224549437666703,-0.00808691670985625,0.034944491056245634
otf_02,1589,1648,1649,1658,1659,1668,validation,batch_missing,group_select_clock_weight_delta_blend,true,373648,559989.6509887086,563032.3038469743,0.005404046690529962,-0.00792706385443985,0.03381993560428356
