clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,1106424,1558166.0390090942,930028.5631013366,935638.1848734226,0.005995503243430456
batch_missing,base_ensemble,q50_q90,610808,1597565.6498060226,886730.7506178116,888139.9662751376,0.0015867044732107427
batch_missing,base_ensemble,q90_q99,144232,593589.7845611572,278945.08906371414,279876.6639052932,0.003328519171910349
batch_missing,base_ensemble,q99_q100,8712,51705.60087585449,25964.485379895377,25971.14944280014,0.0002565948388013606
batch_missing,batch_missing_clock_simplex,q00_q50,1106424,1558166.0390090942,930106.1702628144,935638.1848734226,0.005912557546330355
batch_missing,batch_missing_clock_simplex,q50_q90,610808,1597565.6498060226,886759.5308492833,888139.9662751376,0.001554299410310156
batch_missing,batch_missing_clock_simplex,q90_q99,144232,593589.7845611572,278982.67440974753,279876.6639052932,0.0031942266392320784
batch_missing,batch_missing_clock_simplex,q99_q100,8712,51705.60087585449,25955.561687843106,25971.14944280014,0.0006001950353164975
batch_missing,clock_weight_delta_blend,q00_q50,1106424,1558166.0390090942,930123.547023478,935638.1848734226,0.0058939854519626245
batch_missing,clock_weight_delta_blend,q50_q90,610808,1597565.6498060226,886742.2066754411,888139.9662751376,0.0015738055405374318
batch_missing,clock_weight_delta_blend,q90_q99,144232,593589.7845611572,278951.93605096213,279876.6639052932,0.0033040548698407557
batch_missing,clock_weight_delta_blend,q99_q100,8712,51705.60087585449,25954.352446452962,25971.14944280014,0.000646755985297065
batch_missing,group_select_clock_weight_delta_blend,q00_q50,1106424,1558166.0390090942,930010.3436682256,935638.1848734226,0.006014975977020831
batch_missing,group_select_clock_weight_delta_blend,q50_q90,610808,1597565.6498060226,886739.0302132854,888139.9662751376,0.0015773820738276267
batch_missing,group_select_clock_weight_delta_blend,q90_q99,144232,593589.7845611572,278943.00513967825,279876.6639052932,0.003335965037552735
batch_missing,group_select_clock_weight_delta_blend,q99_q100,8712,51705.60087585449,25964.745599617956,25971.14944280014,0.0002465752698503909
batch_missing,selection_chosen_gate,q00_q50,1106424,1558166.0390090942,930012.553180167,935638.1848734226,0.006012614474490086
batch_missing,selection_chosen_gate,q50_q90,610808,1597565.6498060226,886739.4177489197,888139.9662751376,0.0015769457286015642
batch_missing,selection_chosen_gate,q90_q99,144232,593589.7845611572,278948.3208304858,279876.6639052932,0.0033169720613848153
batch_missing,selection_chosen_gate,q99_q100,8712,51705.60087585449,25964.541883008846,25971.14944280014,0.0002544192279916313
