fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,clock,strategy,kind,group_columns,selected_strategy,selected_by_selection,selection_base_r2,selection_strategy_r2,selection_strategy_delta_r2,selection_selected_delta_r2,selection_min_delta,fallback_blend_weight,fallback_alpha,parameter_rows,group_gate_parameter_rows,group_gate_active_groups,group_gate_selection_rows,group_gate_selection_active_rows,group_gate_mean_delta_r2
otf_01,1219,1278,1279,1288,1289,1298,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,false,0.0028034092131561383,0.002750005026986302,-0.00005340418616983644,1.1256752657784475e-6,0.0,0.9999999999999929,,29,,,,,
otf_01,1219,1278,1279,1288,1289,1298,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,true,0.0028034092131561383,0.0028045348884219168,1.1256752657784475e-6,1.1256752657784475e-6,0.0,,,22,22,3,374616,79734,-0.0002868726841926777
otf_02,1229,1288,1289,1298,1299,1308,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,false,0.004531337510461864,0.004441997970149769,-0.00008933954031209446,0.00010601517761821277,0.0,1.0,,27,,,,,
otf_02,1229,1288,1289,1298,1299,1308,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,true,0.004531337510461864,0.004637352688080076,0.00010601517761821277,0.00010601517761821277,0.0,,,28,28,7,372680,114678,0.00301223550574223
otf_03,1239,1298,1299,1308,1309,1318,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_delta_blend,true,0.0063280806611930585,0.006823499065636285,0.0004954184044432264,0.0004954184044432264,0.0,1.0,,29,,,,,
otf_03,1239,1298,1299,1308,1309,1318,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_delta_blend,false,0.0063280806611930585,0.006534626221568862,0.00020654556037580374,0.0004954184044432264,0.0,,,29,29,4,375584,81954,0.004559836474532955
otf_04,1249,1308,1309,1318,1319,1328,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,false,-0.00012651665676433055,-0.00015131226469922154,-0.000024795607934890995,0.00005856543351567822,0.0,1.0,,31,,,,,
otf_04,1249,1308,1309,1318,1319,1328,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_delta_blend,true,-0.00012651665676433055,-0.00006795122324865233,0.00005856543351567822,0.00005856543351567822,0.0,,,30,30,5,377520,329057,0.00038330215343698515
otf_05,1259,1318,1319,1328,1329,1338,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_delta_blend,true,0.003707194460631724,0.004011186702269187,0.00030399224163746297,0.00030399224163746297,0.0,0.9999999999999953,,31,,,,,
otf_05,1259,1318,1319,1328,1329,1338,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",clock_weight_delta_blend,false,0.003707194460631724,0.003906630025533708,0.0001994355649019841,0.00030399224163746297,0.0,,,27,27,4,374616,78525,0.004054300465804397
