fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,118096,132492.2447810173,105143.06879360466,105660.62230580598,0.004898262956500532
otf_01,batch_missing,base_ensemble,q50_q90,174240,379291.6790237427,279691.5771226768,280526.66387787246,0.002976853407272495
otf_01,batch_missing,base_ensemble,q90_q99,77440,314534.92645072937,167552.04574760824,167936.0254942323,0.002286464416994649
otf_01,batch_missing,base_ensemble,q99_q100,2904,19073.539386749268,12295.402748474724,12217.384791247961,-0.006385814849889204
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,118096,132492.2447810173,105152.80088442906,105660.62230580598,0.00480615588186839
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,174240,379291.6790237427,279681.0043450646,280526.66387787246,0.003014542436422518
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,77440,314534.92645072937,167558.5293579049,167936.0254942323,0.002247856796756098
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,2904,19073.539386749268,12296.530526775008,12217.384791247961,-0.006478124154994491
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,118096,132492.2447810173,105152.09802916182,105660.62230580598,0.004812807889512327
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,174240,379291.6790237427,279681.62726501,280526.66387787246,0.0030123218990345535
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,77440,314534.92645072937,167559.98427522177,167936.0254942323,0.0022391932755575494
otf_01,batch_missing,clock_weight_delta_blend,q99_q100,2904,19073.539386749268,12296.711812642005,12217.384791247961,-0.006492962507890443
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,118096,132492.2447810173,105143.06879360466,105660.62230580598,0.004898262956500532
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,174240,379291.6790237427,279690.2969774696,280526.66387787246,0.0029814167710168205
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,77440,314534.92645072937,167551.86594678715,167936.0254942323,0.0022875350676817563
otf_01,batch_missing,group_select_clock_weight_delta_blend,q99_q100,2904,19073.539386749268,12295.402748474724,12217.384791247961,-0.006385814849889204
otf_01,batch_missing,selection_chosen_gate,q00_q50,118096,132492.2447810173,105143.06879360466,105660.62230580598,0.004898262956500532
otf_01,batch_missing,selection_chosen_gate,q50_q90,174240,379291.6790237427,279690.2969774696,280526.66387787246,0.0029814167710168205
otf_01,batch_missing,selection_chosen_gate,q90_q99,77440,314534.92645072937,167551.86594678715,167936.0254942323,0.0022875350676817563
otf_01,batch_missing,selection_chosen_gate,q99_q100,2904,19073.539386749268,12295.402748474724,12217.384791247961,-0.006385814849889204
otf_02,batch_missing,base_ensemble,q00_q50,92928,107600.34607553482,92794.89308933372,93140.94248516498,0.0037153306225817806
otf_02,batch_missing,base_ensemble,q50_q90,204248,468314.6842479706,317949.77482364286,320478.89507528977,0.007891690499783888
otf_02,batch_missing,base_ensemble,q90_q99,74536,301910.2540111542,148781.22406815452,149046.6110320736,0.0017805635571409573
otf_02,batch_missing,base_ensemble,q99_q100,3872,25427.271339416504,15351.263999687144,15463.542317674866,0.007260840736303176
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,92928,107600.34607553482,92751.48556542628,93140.94248516498,0.004181371900984665
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,204248,468314.6842479706,318088.405568655,320478.89507528977,0.007459116788558484
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,74536,301910.2540111542,148901.14123190934,149046.6110320736,0.0009760020651052859
otf_02,batch_missing,batch_missing_clock_simplex,q99_q100,3872,25427.271339416504,15298.521709951881,15463.542317674866,0.01067159156245634
otf_02,batch_missing,clock_weight_delta_blend,q00_q50,92928,107600.34607553482,92753.62322181357,93140.94248516498,0.004158421130568857
otf_02,batch_missing,clock_weight_delta_blend,q50_q90,204248,468314.6842479706,318104.6868784261,320478.89507528977,0.007408313724702187
otf_02,batch_missing,clock_weight_delta_blend,q90_q99,74536,301910.2540111542,148820.92545224223,149046.6110320736,0.0015141946419888752
otf_02,batch_missing,clock_weight_delta_blend,q99_q100,3872,25427.271339416504,15298.884446450822,15463.542317674866,0.010648134033030665
otf_02,batch_missing,group_select_clock_weight_delta_blend,q00_q50,92928,107600.34607553482,92753.5838796376,93140.94248516498,0.0041588435245765165
otf_02,batch_missing,group_select_clock_weight_delta_blend,q50_q90,204248,468314.6842479706,317908.0701783012,320478.89507528977,0.008021822767407594
otf_02,batch_missing,group_select_clock_weight_delta_blend,q90_q99,74536,301910.2540111542,148817.6876212793,149046.6110320736,0.0015359182554309792
otf_02,batch_missing,group_select_clock_weight_delta_blend,q99_q100,3872,25427.271339416504,15351.263999687144,15463.542317674866,0.007260840736303176
otf_02,batch_missing,selection_chosen_gate,q00_q50,92928,107600.34607553482,92753.5838796376,93140.94248516498,0.0041588435245765165
otf_02,batch_missing,selection_chosen_gate,q50_q90,204248,468314.6842479706,317908.0701783012,320478.89507528977,0.008021822767407594
otf_02,batch_missing,selection_chosen_gate,q90_q99,74536,301910.2540111542,148817.6876212793,149046.6110320736,0.0015359182554309792
otf_02,batch_missing,selection_chosen_gate,q99_q100,3872,25427.271339416504,15351.263999687144,15463.542317674866,0.007260840736303176
otf_03,batch_missing,base_ensemble,q00_q50,187792,244991.20300102234,171800.64447597493,172108.24202806797,0.001787233129967536
otf_03,batch_missing,base_ensemble,q50_q90,167464,432397.16562461853,263968.1825181006,263117.3470066986,-0.0032336731921378536
otf_03,batch_missing,base_ensemble,q90_q99,20328,92658.97735595703,36395.34600156536,36370.20188112392,-0.0006913384897786479
otf_03,batch_missing,base_ensemble,q99_q100,1936,12462.072689056396,7844.355325825855,7969.887404919673,0.015750797058479038
otf_03,batch_missing,batch_missing_clock_simplex,q00_q50,187792,244991.20300102234,171831.34861438785,172108.24202806797,0.0016088329670751467
otf_03,batch_missing,batch_missing_clock_simplex,q50_q90,167464,432397.16562461853,263664.54081380134,263117.3470066986,-0.002079656903384741
otf_03,batch_missing,batch_missing_clock_simplex,q90_q99,20328,92658.97735595703,36501.081180064335,36370.20188112392,-0.0035985309998607384
otf_03,batch_missing,batch_missing_clock_simplex,q99_q100,1936,12462.072689056396,7836.588230616619,7969.887404919673,0.01672535225789651
otf_03,batch_missing,clock_weight_delta_blend,q00_q50,187792,244991.20300102234,171800.71352836324,172108.24202806797,0.0017868319150838863
otf_03,batch_missing,clock_weight_delta_blend,q50_q90,167464,432397.16562461853,263836.4004430449,263117.3470066986,-0.0027328241354152016
otf_03,batch_missing,clock_weight_delta_blend,q90_q99,20328,92658.97735595703,36494.54093765806,36370.20188112392,-0.003418706801258331
otf_03,batch_missing,clock_weight_delta_blend,q99_q100,1936,12462.072689056396,7833.712099224342,7969.887404919673,0.017086227041460122
otf_03,batch_missing,group_select_clock_weight_delta_blend,q00_q50,187792,244991.20300102234,171800.7708510921,172108.24202806797,0.0017864988530050807
otf_03,batch_missing,group_select_clock_weight_delta_blend,q50_q90,167464,432397.16562461853,264059.0706227154,263117.3470066986,-0.0035791012136985323
otf_03,batch_missing,group_select_clock_weight_delta_blend,q90_q99,20328,92658.97735595703,36395.34600156536,36370.20188112392,-0.0006913384897786479
otf_03,batch_missing,group_select_clock_weight_delta_blend,q99_q100,1936,12462.072689056396,7844.355325825855,7969.887404919673,0.015750797058479038
otf_03,batch_missing,selection_chosen_gate,q00_q50,187792,244991.20300102234,171800.71352836324,172108.24202806797,0.0017868319150838863
otf_03,batch_missing,selection_chosen_gate,q50_q90,167464,432397.16562461853,263836.4004430449,263117.3470066986,-0.0027328241354152016
otf_03,batch_missing,selection_chosen_gate,q90_q99,20328,92658.97735595703,36494.54093765806,36370.20188112392,-0.003418706801258331
otf_03,batch_missing,selection_chosen_gate,q99_q100,1936,12462.072689056396,7833.712099224342,7969.887404919673,0.017086227041460122
otf_04,batch_missing,base_ensemble,q00_q50,235224,308695.9977285862,232296.84041536466,233203.3793945934,0.003887332085761974
otf_04,batch_missing,base_ensemble,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
