fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,581768,1008700.8882079124,481585.8928883872,482714.0998775899,0.002337215733886344
otf_01,batch_missing,base_ensemble,q50_q90,136488,420962.02656936646,186513.55100969388,186723.90200551506,0.0011265349190001661
otf_01,batch_missing,base_ensemble,q90_q99,20328,104438.19008255005,34873.51511658824,34989.676309251474,0.003319870456547136
otf_01,batch_missing,base_ensemble,q99_q100,4840,31655.21257019043,20899.73909007335,20970.971777573694,0.0033967280227098495
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,581768,1008700.8882079124,481868.9209019192,482714.0998775899,0.0017508893481359422
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,136488,420962.02656936646,186458.32741878703,186723.90200551506,0.001422284902337756
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,20328,104438.19008255005,34758.54607728004,34989.676309251474,0.006605669338824893
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,4840,31655.21257019043,20847.353137050537,20970.971777573694,0.005894750221129619
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,581768,1008700.8882079124,481799.9229370302,482714.0998775899,0.00189382688591766
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,136488,420962.02656936646,186458.32741878703,186723.90200551506,0.001422284902337756
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,20328,104438.19008255005,34758.54607728004,34989.676309251474,0.006605669338824893
otf_01,batch_missing,clock_weight_delta_blend,q99_q100,4840,31655.21257019043,20847.353137050537,20970.971777573694,0.005894750221129619
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,581768,1008700.8882079124,481581.338516355,482714.0998775899,0.0023466506603435633
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,136488,420962.02656936646,186507.2604232861,186723.90200551506,0.0011602241593182683
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,20328,104438.19008255005,34757.842448598094,34989.676309251474,0.0066257789470342
otf_01,batch_missing,group_select_clock_weight_delta_blend,q99_q100,4840,31655.21257019043,20879.61735248869,20970.971777573694,0.00435623232218052
otf_01,batch_missing,selection_chosen_gate,q00_q50,581768,1008700.8882079124,481581.338516355,482714.0998775899,0.0023466506603435633
otf_01,batch_missing,selection_chosen_gate,q50_q90,136488,420962.02656936646,186507.2604232861,186723.90200551506,0.0011602241593182683
otf_01,batch_missing,selection_chosen_gate,q90_q99,20328,104438.19008255005,34757.842448598094,34989.676309251474,0.0066257789470342
otf_01,batch_missing,selection_chosen_gate,q99_q100,4840,31655.21257019043,20879.61735248869,20970.971777573694,0.00435623232218052
otf_02,batch_missing,base_ensemble,q00_q50,548856,849748.6753015518,551150.485060957,554757.1434570105,0.006501328443611065
otf_02,batch_missing,base_ensemble,q50_q90,171336,553520.9549427032,358693.0524309353,359759.60668200336,0.0029646303566558396
otf_02,batch_missing,base_ensemble,q90_q99,18392,91612.0128364563,39269.92264938516,39393.69703047081,0.0031419843887693366
otf_02,batch_missing,base_ensemble,q99_q100,1936,12212.428951263428,6601.372342136451,6601.089303098931,-0.00004287762587718014
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,548856,849748.6753015518,551737.0093575651,554757.1434570105,0.00544406527264385
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,171336,553520.9549427032,358579.2194392836,359759.60668200336,0.0032810443996375005
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,18392,91612.0128364563,39252.57602508243,39393.69703047081,0.003582324484021404
otf_02,batch_missing,batch_missing_clock_simplex,q99_q100,1936,12212.428951263428,6590.147400407813,6601.089303098931,0.0016575904655586893
otf_02,batch_missing,clock_weight_delta_blend,q00_q50,548856,849748.6753015518,551445.3094072557,554757.1434570105,0.005969880854740928
otf_02,batch_missing,clock_weight_delta_blend,q50_q90,171336,553520.9549427032,358639.90583124605,359759.60668200336,0.0031123584470310606
otf_02,batch_missing,clock_weight_delta_blend,q90_q99,18392,91612.0128364563,39258.66778214892,39393.69703047081,0.0034276866224930425
otf_02,batch_missing,clock_weight_delta_blend,q99_q100,1936,12212.428951263428,6590.6797410749205,6601.089303098931,0.0015769460987482553
otf_02,batch_missing,group_select_clock_weight_delta_blend,q00_q50,548856,849748.6753015518,551180.5075739325,554757.1434570105,0.0064472101445867125
otf_02,batch_missing,group_select_clock_weight_delta_blend,q50_q90,171336,553520.9549427032,358693.10725174256,359759.60668200336,0.0029644779748814187
otf_02,batch_missing,group_select_clock_weight_delta_blend,q90_q99,18392,91612.0128364563,39269.00599342368,39393.69703047081,0.003165253490950204
otf_02,batch_missing,group_select_clock_weight_delta_blend,q99_q100,1936,12212.428951263428,6601.030603242272,6601.089303098931,8.8924500128984e-6
otf_02,batch_missing,selection_chosen_gate,q00_q50,548856,849748.6753015518,551445.3094072557,554757.1434570105,0.005969880854740928
otf_02,batch_missing,selection_chosen_gate,q50_q90,171336,553520.9549427032,358639.90583124605,359759.60668200336,0.0031123584470310606
otf_02,batch_missing,selection_chosen_gate,q90_q99,18392,91612.0128364563,39258.66778214892,39393.69703047081,0.0034276866224930425
otf_02,batch_missing,selection_chosen_gate,q99_q100,1936,12212.428951263428,6590.6797410749205,6601.089303098931,0.0015769460987482553
otf_03,batch_missing,base_ensemble,q00_q50,464640,656579.9699754715,383433.8029566671,384544.31194681994,0.0028878570184297514
otf_03,batch_missing,base_ensemble,q50_q90,247808,698094.607635498,345200.1999268009,345950.5026264793,0.002168815174373395
otf_03,batch_missing,base_ensemble,q90_q99,39688,175315.21311569214,69963.60199969653,70382.3794387401,0.005950032414122397
otf_03,batch_missing,batch_missing_clock_simplex,q00_q50,464640,656579.9699754715,383686.36145666096,384544.31194681994,0.0022310835539745
otf_03,batch_missing,batch_missing_clock_simplex,q50_q90,247808,698094.607635498,345129.9104239535,345950.5026264793,0.0023719930923523647
otf_03,batch_missing,batch_missing_clock_simplex,q90_q99,39688,175315.21311569214,69930.2746108236,70382.3794387401,0.006423551342278788
otf_03,batch_missing,clock_weight_delta_blend,q00_q50,464640,656579.9699754715,383453.3496996603,384544.31194681994,0.00283702609365466
otf_03,batch_missing,clock_weight_delta_blend,q50_q90,247808,698094.607635498,345130.4095515842,345950.5026264793,0.002370550320548448
otf_03,batch_missing,clock_weight_delta_blend,q90_q99,39688,175315.21311569214,69949.23378959742,70382.3794387401,0.00615417740344637
otf_03,batch_missing,group_select_clock_weight_delta_blend,q00_q50,464640,656579.9699754715,383415.2771148234,384544.31194681994,0.0029360331096320857
otf_03,batch_missing,group_select_clock_weight_delta_blend,q50_q90,247808,698094.607635498,345188.64600783476,345950.5026264793,0.002202212781483137
otf_03,batch_missing,group_select_clock_weight_delta_blend,q90_q99,39688,175315.21311569214,69963.60199969653,70382.3794387401,0.005950032414122397
otf_03,batch_missing,selection_chosen_gate,q00_q50,464640,656579.9699754715,383453.3496996603,384544.31194681994,0.00283702609365466
otf_03,batch_missing,selection_chosen_gate,q50_q90,247808,698094.607635498,345130.4095515842,345950.5026264793,0.002370550320548448
