clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,1595264,2515029.5334849358,1416170.1809060113,1422015.5552814202,0.004110626183869148
batch_missing,base_ensemble,q50_q90,555632,1672577.5891475677,890406.8033674301,892434.0113139977,0.002271549404064932
batch_missing,base_ensemble,q90_q99,78408,371365.4160346985,144107.03976566994,144765.75277846237,0.004550199202158489
batch_missing,base_ensemble,q99_q100,6776,43867.64152145386,27501.111432209804,27572.061080672625,0.002573244279969855
batch_missing,batch_missing_clock_simplex,q00_q50,1595264,2515029.5334849358,1417292.2917161454,1422015.5552814202,0.003321527354417819
batch_missing,batch_missing_clock_simplex,q50_q90,555632,1672577.5891475677,890167.4572820242,892434.0113139977,0.0025397441191604697
batch_missing,batch_missing_clock_simplex,q90_q99,78408,371365.4160346985,143941.39671318608,144765.75277846237,0.005694413557451039
batch_missing,batch_missing_clock_simplex,q99_q100,6776,43867.64152145386,27437.50053745835,27572.061080672625,0.004880322251592628
batch_missing,clock_weight_delta_blend,q00_q50,1595264,2515029.5334849358,1416698.5820439463,1422015.5552814202,0.003739040137589633
batch_missing,clock_weight_delta_blend,q50_q90,555632,1672577.5891475677,890228.6428016173,892434.0113139977,0.0024711838460003133
batch_missing,clock_weight_delta_blend,q90_q99,78408,371365.4160346985,143966.44764902638,144765.75277846237,0.005521368929426118
batch_missing,clock_weight_delta_blend,q99_q100,6776,43867.64152145386,27438.032878125458,27572.061080672625,0.004861015001925928
batch_missing,group_select_clock_weight_delta_blend,q00_q50,1595264,2515029.5334849358,1416177.123205111,1422015.5552814202,0.004105744170396108
batch_missing,group_select_clock_weight_delta_blend,q50_q90,555632,1672577.5891475677,890389.0136828634,892434.0113139977,0.002291483297597763
batch_missing,group_select_clock_weight_delta_blend,q90_q99,78408,371365.4160346985,143990.4504417183,144765.75277846237,0.0053555645714806754
batch_missing,group_select_clock_weight_delta_blend,q99_q100,6776,43867.64152145386,27480.647955730965,27572.061080672625,0.0033154258825336402
batch_missing,selection_chosen_gate,q00_q50,1595264,2515029.5334849358,1416479.997623271,1422015.5552814202,0.003892754645045793
batch_missing,selection_chosen_gate,q50_q90,555632,1672577.5891475677,890277.5758061165,892434.0113139977,0.002416352896172258
batch_missing,selection_chosen_gate,q90_q99,78408,371365.4160346985,143965.74402034443,144765.75277846237,0.00552622939309555
batch_missing,selection_chosen_gate,q99_q100,6776,43867.64152145386,27470.29709356361,27572.061080672625,0.0036908371416726204
