fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,base_ensemble,false,747296,695532.9703658862,699025.1577793548,0.0049957964668432275,-0.003584073274341053,0.039500267617836114
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,batch_missing_clock_simplex,false,747296,696433.7928761297,699025.1577793548,0.0037071125043013353,-0.005331484565587137,0.0445241249741188
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,clock_weight_delta_blend,false,747296,696258.6010340077,699025.1577793548,0.003957735590140787,-0.004271671180097134,0.04360586224501916
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,group_select_clock_weight_delta_blend,true,747296,695497.7352152074,699025.1577793548,0.005046202593556481,-0.0035708645746413154,0.0399760459896464
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,base_ensemble,false,747296,949189.4860557651,951472.691619412,0.0023996543292913453,-0.007519885737322718,0.03984213031538029
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,batch_missing_clock_simplex,false,747296,951450.2098041873,951472.691619412,0.000023628439809963986,-0.00925757149838699,0.049741482331570025
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,clock_weight_delta_blend,false,747296,951407.6255476369,951472.691619412,0.00006838459195757096,-0.008078960747419936,0.04867399076047504
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,group_select_clock_weight_delta_blend,true,747296,949136.4019841079,951472.691619412,0.0024554458114059985,-0.007365946642981675,0.040341191766919755
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,selection_chosen_gate,false,747296,949136.4019841079,951472.691619412,0.0024554458114059985,-0.007365946642981675,0.040341191766919755
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,base_ensemble,false,747296,948306.1133460901,951472.691619412,0.003328081090727242,-0.00487794310386288,0.04105253355934537
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,batch_missing_clock_simplex,false,747296,946648.9238221986,951472.691619412,0.005069791114029054,-0.0032408214254896405,0.042365139572422765
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,clock_weight_delta_blend,true,747296,946779.5748996655,951472.691619412,0.004932476529367125,-0.003739148615484999,0.04096355310396254
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,group_select_clock_weight_delta_blend,false,747296,947548.5973453613,951472.691619412,0.004124232159907759,-0.004417238404544078,0.04114715527369169
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,base_ensemble,false,753104,1053711.794782724,1057695.6692310136,0.003766560234841565,-0.0020405972646971456,0.04157567834135016
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,batch_missing_clock_simplex,false,753104,1053544.3068196187,1057695.6692310136,0.003924911987597701,-0.0017773060156967236,0.04284147203208815
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,clock_weight_delta_blend,true,753104,1053603.1322214054,1057695.6692310136,0.0038692954208497943,-0.001881292668491655,0.04289979353108284
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,group_select_clock_weight_delta_blend,false,753104,1053752.9164280207,1057695.6692310136,0.0037276817119422656,-0.0017042343724047234,0.0426948758643686
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,selection_chosen_gate,false,753104,1053603.1322214054,1057695.6692310136,0.0038692954208497943,-0.001881292668491655,0.04289979353108284
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,base_ensemble,false,753104,1053100.5097395678,1057695.6692310136,0.004344500620662162,0.003705930341104328,0.0424002208415718
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,batch_missing_clock_simplex,false,753104,1052661.6355342565,1057695.6692310136,0.004759434914219818,0.0040037782983829975,0.04082552302975002
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,clock_weight_delta_blend,true,753104,1052646.530045124,1057695.6692310136,0.0047737164221921535,0.0040097765473012725,0.04256211005250997
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,group_select_clock_weight_delta_blend,false,753104,1052787.6336451103,1057695.6692310136,0.004640309806195675,0.004045313408304661,0.04263197259533757
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,base_ensemble,false,747296,1098144.8875622258,1101204.061358931,0.002778026256941013,0.0072387312869195974,0.044244333327420074
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,batch_missing_clock_simplex,false,747296,1098257.7978984884,1101204.061358931,0.00267549273002754,0.007111910089413977,0.043225966629286725
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,clock_weight_delta_blend,true,747296,1098205.1715739935,1101204.061358931,0.0027232825324279286,0.007346558906449741,0.044705107789690224
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,group_select_clock_weight_delta_blend,false,747296,1097958.3756765062,1101204.061358931,0.0029473971231267493,0.007580560803704568,0.04501730701585215
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,selection_chosen_gate,false,747296,1098205.1715739935,1101204.061358931,0.0027232825324279286,0.007346558906449741,0.044705107789690224
