clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,902176,1048903.128485918,793593.8284817424,796084.3875357758,0.003128511365161568
batch_missing,base_ensemble,q50_q90,1092872,2573784.6492586136,1715959.5932526141,1722241.9030365034,0.003647751092812679
batch_missing,base_ensemble,q90_q99,231352,960179.5226955414,514190.7030658786,514851.4697092485,0.0012834121727244296
batch_missing,base_ensemble,q99_q100,21296,133366.19639968872,77302.04360048009,77194.66192782883,-0.0013910504945491287
batch_missing,batch_missing_clock_simplex,q00_q50,902176,1048903.128485918,793514.0969464943,796084.3875357758,0.0032286659926061834
batch_missing,batch_missing_clock_simplex,q50_q90,1092872,2573784.6492586136,1716188.8342493356,1722241.9030365034,0.003514644938376832
batch_missing,batch_missing_clock_simplex,q90_q99,231352,960179.5226955414,515560.0120427979,514851.4697092485,-0.0013762072660481461
batch_missing,batch_missing_clock_simplex,q99_q100,21296,133366.19639968872,77989.3712836664,77194.66192782883,-0.010294874489904071
batch_missing,clock_weight_delta_blend,q00_q50,902176,1048903.128485918,793506.5049363043,796084.3875357758,0.0032382026828224886
batch_missing,clock_weight_delta_blend,q50_q90,1092872,2573784.6492586136,1716118.9204007294,1722241.9030365034,0.003555239612378802
batch_missing,clock_weight_delta_blend,q90_q99,231352,960179.5226955414,515604.39015059813,514851.4697092485,-0.001462403208783325
batch_missing,clock_weight_delta_blend,q99_q100,21296,133366.19639968872,77986.11385540468,77194.66192782883,-0.010252676905506686
batch_missing,group_select_clock_weight_delta_blend,q00_q50,902176,1048903.128485918,793461.7784725539,796084.3875357758,0.003294385751415052
batch_missing,group_select_clock_weight_delta_blend,q50_q90,1092872,2573784.6492586136,1715723.4159316916,1722241.9030365034,0.003784884744308492
batch_missing,group_select_clock_weight_delta_blend,q90_q99,231352,960179.5226955414,514360.4560839088,514851.4697092485,0.0009536995701245887
batch_missing,group_select_clock_weight_delta_blend,q99_q100,21296,133366.19639968872,77302.04360048009,77194.66192782883,-0.0013910504945491287
batch_missing,selection_chosen_gate,q00_q50,902176,1048903.128485918,793512.7485782274,796084.3875357758,0.0032303597430276554
batch_missing,selection_chosen_gate,q50_q90,1092872,2573784.6492586136,1716011.3680580417,1722241.9030365034,0.0036176886461051216
batch_missing,selection_chosen_gate,q90_q99,231352,960179.5226955414,514401.6686888599,514851.4697092485,0.0008736520081075172
batch_missing,selection_chosen_gate,q99_q100,21296,133366.19639968872,77018.92045437805,77194.66192782883,0.002276601374523568
