clock_bucket,_simplex_rows,_simplex_weight_ridge_calibrated_prediction,_simplex_weight_xgboost_prediction,_simplex_weight_lightgbm_prediction,fold,clock
0,1446208,0.6682421400616149,0.3317578599383852,0.0,otf_01,batch_missing
19,36768,0.0,0.13524896024005673,0.8647510397599434,otf_01,batch_missing
19,73512,0.0,0.0,1.0,otf_02,batch_missing
0,724048,0.22852515439456256,0.7714748456054374,0.0,otf_02,batch_missing
9,441792,0.0,0.0,1.0,otf_02,batch_missing
18,25488,1.0,0.0,0.0,otf_02,batch_missing
15,215232,0.21464744898202748,0.0,0.7853525510179726,otf_02,batch_missing
18,50976,0.6419403915962051,0.35805960840379486,0.0,otf_03,batch_missing
19,73536,0.0,0.0,1.0,otf_03,batch_missing
15,215232,0.14359202330592818,0.0,0.8564079766940719,otf_03,batch_missing
0,1141296,0.07364639595282996,0.17311661146032797,0.7532369925868422,otf_03,batch_missing
