fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,base_ensemble,false,737616,1256726.2084522995,1261533.1712373619,0.0038104133087103476,-0.004398380028670936,0.030110289763825893
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,batch_missing_clock_simplex,false,737616,1255759.8935893464,1261533.1712373619,0.004576397814694655,-0.0038864337023003623,0.03189291906061033
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,clock_weight_delta_blend,false,737616,1255757.9230509114,1261533.1712373619,0.004577959833419132,-0.003903475673347455,0.03195141359947674
otf_01,1499,1618,1619,1638,1639,1658,selection,batch_missing,group_select_clock_weight_delta_blend,true,737616,1255730.4514499975,1261533.1712373619,0.004599736193756088,-0.004457178757566519,0.032742906324628805
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,base_ensemble,false,743424,723731.3026756527,725398.6499699302,0.0022985254995258053,-0.0013974369079285765,0.0279857424899416
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,batch_missing_clock_simplex,false,743424,723429.1422497226,725398.6499699302,0.0027150694591024926,-0.00308126429823482,0.028406169383831645
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,clock_weight_delta_blend,false,743424,723424.6008711176,725398.6499699302,0.002721329987165566,-0.0029657058862177384,0.028506666865850808
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,group_select_clock_weight_delta_blend,true,743424,723473.533213531,725398.6499699302,0.0026538741924581055,-0.0014207439509158987,0.029495196869050982
otf_01,1499,1618,1619,1638,1639,1658,validation,batch_missing,selection_chosen_gate,false,743424,723473.533213531,725398.6499699302,0.0026538741924581055,-0.0014207439509158987,0.029495196869050982
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,base_ensemble,false,743424,723468.5165990696,725398.6499699302,0.002660789858018875,-0.003573802134586651,0.02612325907951672
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,batch_missing_clock_simplex,false,743424,723338.0128222033,725398.6499699302,0.0028406961438545153,-0.003534630766267581,0.02976536448533548
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,clock_weight_delta_blend,false,743424,723299.6317898107,725398.6499699302,0.002893606405535043,-0.0034659206559289747,0.02838921209558223
otf_02,1519,1638,1639,1658,1659,1678,selection,batch_missing,group_select_clock_weight_delta_blend,true,743424,723280.1077061763,725398.6499699302,0.002920521376544638,-0.0034565341316454344,0.027553744690883893
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,base_ensemble,false,740520,956149.7445307887,960511.5364725839,0.004541113538119035,-0.005721982245124,0.03146887493722103
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,batch_missing_clock_simplex,false,740520,956732.2152350983,960511.5364725839,0.003934696350826661,-0.006123710418774526,0.033407453218770096
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,clock_weight_delta_blend,false,740520,955982.6947021857,960511.5364725839,0.004715031104186473,-0.0060481898088644735,0.03536287114132916
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,group_select_clock_weight_delta_blend,true,740520,955747.6792887026,960511.5364725839,0.0049597084501205035,-0.005641622290507661,0.03513483491244934
otf_02,1519,1638,1639,1658,1659,1678,validation,batch_missing,selection_chosen_gate,false,740520,955747.6792887026,960511.5364725839,0.0049597084501205035,-0.005641622290507661,0.03513483491244934
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,base_ensemble,false,740520,956765.5166435483,960511.5364725839,0.003900025857880518,-0.004208566018878003,0.02692684722118824
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,batch_missing_clock_simplex,false,740520,956255.6419876122,960511.5364725839,0.00443086243461599,-0.0042007785033505865,0.02912763674586267
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,clock_weight_delta_blend,true,740520,956307.030773413,960511.5364725839,0.004377360957695142,-0.0041898264272589615,0.02917549976336276
otf_03,1539,1658,1659,1678,1679,1698,selection,batch_missing,group_select_clock_weight_delta_blend,false,740520,956421.1718081206,960511.5364725839,0.004258527367078768,-0.004179681913457064,0.028716980330969477
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,base_ensemble,false,752136,798682.0184611386,800877.1940120393,0.0027409639921245343,-0.0018949933168325587,0.028286856053464794
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,batch_missing_clock_simplex,false,752136,798597.2838026934,800877.1940120393,0.0028467663037383684,-0.001999919460973522,0.027366172454341815
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,clock_weight_delta_blend,true,752136,798602.6966521211,800877.1940120393,0.0028400076527638207,-0.0020606084416937677,0.027432655549099353
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,group_select_clock_weight_delta_blend,false,752136,798640.391964281,800877.1940120393,0.0027929401217594574,-0.001919489089979004,0.028306327889516817
otf_03,1539,1658,1659,1678,1679,1698,validation,batch_missing,selection_chosen_gate,false,752136,798602.6966521211,800877.1940120393,0.0028400076527638207,-0.0020606084416937677,0.027432655549099353
