fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,581768,1008700.8882079124,481397.91567270714,482714.0998775899,0.002726633021940983
otf_01,batch_missing,base_ensemble,q50_q90,136488,420962.02656936646,186461.3553057664,186723.90200551506,0.0014060690513039154
otf_01,batch_missing,base_ensemble,q90_q99,20328,104438.19008255005,35103.79815528151,34989.676309251474,-0.003261586218214374
otf_01,batch_missing,base_ensemble,q99_q100,4840,31655.21257019043,20768.233541897727,20970.971777573694,0.009667565138434586
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,581768,1008700.8882079124,481324.24401973636,482714.0998775899,0.002879252663649079
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,136488,420962.02656936646,186355.2256900535,186723.90200551506,0.0019744462894238923
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,20328,104438.19008255005,35008.32052736044,34989.676309251474,-0.0005328491165275118
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,4840,31655.21257019043,20741.35201257214,20970.971777573694,0.010949409852675895
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,581768,1008700.8882079124,481319.7026411312,482714.0998775899,0.0028886606726680197
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,136488,420962.02656936646,186355.2256900535,186723.90200551506,0.0019744462894238923
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,20328,104438.19008255005,35008.32052736044,34989.676309251474,-0.0005328491165275118
otf_01,batch_missing,clock_weight_delta_blend,q99_q100,4840,31655.21257019043,20741.35201257214,20970.971777573694,0.010949409852675895
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,581768,1008700.8882079124,481266.82506120723,482714.0998775899,0.002998202904679337
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,136488,420962.02656936646,186429.56194315464,186723.90200551506,0.0015763384290873317
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,20328,104438.19008255005,35008.91266727145,34989.676309251474,-0.0005497723914320574
otf_01,batch_missing,group_select_clock_weight_delta_blend,q99_q100,4840,31655.21257019043,20768.233541897727,20970.971777573694,0.009667565138434586
otf_01,batch_missing,selection_chosen_gate,q00_q50,581768,1008700.8882079124,481266.82506120723,482714.0998775899,0.002998202904679337
otf_01,batch_missing,selection_chosen_gate,q50_q90,136488,420962.02656936646,186429.56194315464,186723.90200551506,0.0015763384290873317
otf_01,batch_missing,selection_chosen_gate,q90_q99,20328,104438.19008255005,35008.91266727145,34989.676309251474,-0.0005497723914320574
otf_01,batch_missing,selection_chosen_gate,q99_q100,4840,31655.21257019043,20768.233541897727,20970.971777573694,0.009667565138434586
otf_02,batch_missing,base_ensemble,q00_q50,548856,849748.6753015518,551533.6993614647,554757.1434570105,0.005810549956073885
otf_02,batch_missing,base_ensemble,q50_q90,171336,553520.9549427032,358791.4578160413,359759.60668200336,0.0026910994118853893
