fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,phase,clock,strategy,selected_by_selection,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,base_ensemble,false,747296,695175.7629881481,699025.1577793548,0.005506804366577245,-0.002641224435006678,0.04079034454761984
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,batch_missing_clock_simplex,false,747296,697692.3558175515,699025.1577793548,0.001906658075136125,-0.00516554470995394,0.05722240541652391
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,clock_weight_delta_blend,false,747296,697565.450864556,699025.1577793548,0.0020882036913177915,-0.004627443072358861,0.05677036720455711
otf_01,1139,1258,1259,1278,1279,1298,selection,batch_missing,group_select_clock_weight_delta_blend,true,747296,695090.0970455394,699025.1577793548,0.00562935495242578,-0.0029821515941951715,0.041702068628771516
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,base_ensemble,false,747296,957089.7202752142,951472.691619412,-0.005903510111511467,-0.007431145977669485,0.06138085214776831
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,batch_missing_clock_simplex,false,747296,955294.8169720322,951472.691619412,-0.004017062587592379,-0.005861428870986437,0.05817773811865641
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,clock_weight_delta_blend,false,747296,955303.5214849185,951472.691619412,-0.004026211050772721,-0.0062376564552689,0.05849938409170229
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,group_select_clock_weight_delta_blend,true,747296,956735.1037485948,951472.691619412,-0.005530807321675324,-0.007286754551025787,0.061260530059125386
otf_01,1139,1258,1259,1278,1279,1298,validation,batch_missing,selection_chosen_gate,false,747296,956735.1037485948,951472.691619412,-0.005530807321675324,-0.007286754551025787,0.061260530059125386
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,base_ensemble,false,747296,950132.2933867936,951472.691619412,0.0014087616433184902,-0.004739142710282502,0.04578239754507182
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,batch_missing_clock_simplex,false,747296,946789.3212885353,951472.691619412,0.00492223305211803,-0.002773957478804448,0.041583836996631866
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,clock_weight_delta_blend,true,747296,946815.6772002472,951472.691619412,0.004894532927937845,-0.003109806565387725,0.04027208616233518
otf_02,1159,1278,1279,1298,1299,1318,selection,batch_missing,group_select_clock_weight_delta_blend,false,747296,950016.7974751083,951472.691619412,0.0015301481136844597,-0.004584070812084366,0.04654813449624143
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,base_ensemble,false,753104,1054033.4998429464,1057695.6692310136,0.0034624036900233746,-0.0019337994436333928,0.04529196744264769
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,batch_missing_clock_simplex,false,753104,1054934.5355338338,1057695.6692310136,0.0026105181079045803,-0.0015428883331916482,0.04861901907545171
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,clock_weight_delta_blend,true,753104,1054878.348002271,1057695.6692310136,0.0026636406961851877,-0.0015758667008655876,0.04898624282091889
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,group_select_clock_weight_delta_blend,false,753104,1053923.337530549,1057695.6692310136,0.0035665568179997775,-0.0017674308774204089,0.04552598651382211
otf_02,1159,1278,1279,1298,1299,1318,validation,batch_missing,selection_chosen_gate,false,753104,1054878.348002271,1057695.6692310136,0.0026636406961851877,-0.0015758667008655876,0.04898624282091889
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,base_ensemble,false,753104,1053329.8069186762,1057695.6692310136,0.004127711249410249,0.004076867153791973,0.04587269019318978
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,batch_missing_clock_simplex,false,753104,1052487.601521853,1057695.6692310136,0.004923975639370082,0.0042950838195241385,0.03893511830211054
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,clock_weight_delta_blend,true,753104,1052453.425368192,1057695.6692310136,0.004956287536501902,0.00429873075532898,0.040414705188827185
otf_03,1179,1298,1299,1318,1319,1338,selection,batch_missing,group_select_clock_weight_delta_blend,false,753104,1052881.7203972694,1057695.6692310136,0.004551355341413266,0.003995532605002008,0.04281251405664361
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,base_ensemble,false,747296,1098284.6866875559,1101204.061358931,0.0026510751038936187,0.007826152193693588,0.04776452518716522
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,batch_missing_clock_simplex,false,747296,1097906.501214384,1101204.061358931,0.0029945041616333823,0.006054490561838228,0.040581993318905905
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,clock_weight_delta_blend,true,747296,1097929.8089681345,1101204.061358931,0.00297333846258796,0.006491054221165008,0.04206388877778661
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,group_select_clock_weight_delta_blend,false,747296,1097916.6791628227,1101204.061358931,0.0029852615981560415,0.0071098505222555175,0.044871798431582344
otf_03,1179,1298,1299,1318,1319,1338,validation,batch_missing,selection_chosen_gate,false,747296,1097929.8089681345,1101204.061358931,0.00297333846258796,0.006491054221165008,0.04206388877778661
