fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,335896,397701.24825429916,287643.83715207194,288780.78996741265,0.003937079109275321
otf_01,batch_missing,base_ensemble,q50_q90,325248,768731.9608316422,481585.9158556121,483875.1950357714,0.004731135639201578
otf_01,batch_missing,base_ensemble,q90_q99,74536,308595.1732902527,145762.57841317207,142057.58941972096,-0.0260808944357378
otf_01,batch_missing,base_ensemble,q99_q100,11616,70718.07759857178,42097.38885435811,36759.11719650723,-0.14522306477909952
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,335896,397701.24825429916,287522.92278259783,288780.78996741265,0.004355785524919331
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,325248,768731.9608316422,481687.4928950419,483875.1950357714,0.004521211591695273
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,74536,308595.1732902527,144258.37338634243,142057.58941972096,-0.01549219563425841
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,11616,70718.07759857178,41826.02790804989,36759.11719650723,-0.13784092486378063
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,335896,397701.24825429916,287569.4446874489,288780.78996741265,0.004194687881075576
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,325248,768731.9608316422,481639.2232128504,483875.1950357714,0.004620968063377862
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,74536,308595.1732902527,144268.82567656957,142057.58941972096,-0.015565773471738487
otf_01,batch_missing,clock_weight_delta_blend,q99_q100,11616,70718.07759857178,41826.02790804989,36759.11719650723,-0.13784092486378063
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,335896,397701.24825429916,287603.20312306454,288780.78996741265,0.004077788015196537
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,325248,768731.9608316422,481590.2747927782,483875.1950357714,0.0047221272477592224
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,74536,308595.1732902527,145762.57841317207,142057.58941972096,-0.0260808944357378
otf_01,batch_missing,group_select_clock_weight_delta_blend,q99_q100,11616,70718.07759857178,41779.04741957979,36759.11719650723,-0.13656286129606898
otf_01,batch_missing,selection_chosen_gate,q00_q50,335896,397701.24825429916,287603.20312306454,288780.78996741265,0.004077788015196537
otf_01,batch_missing,selection_chosen_gate,q50_q90,325248,768731.9608316422,481590.2747927782,483875.1950357714,0.0047221272477592224
otf_01,batch_missing,selection_chosen_gate,q90_q99,74536,308595.1732902527,145762.57841317207,142057.58941972096,-0.0260808944357378
otf_01,batch_missing,selection_chosen_gate,q99_q100,11616,70718.07759857178,41779.04741957979,36759.11719650723,-0.13656286129606898
otf_02,batch_missing,base_ensemble,q00_q50,235224,275132.5988612175,215696.43733775365,216233.21173498518,0.0024823864610095114
otf_02,batch_missing,base_ensemble,q50_q90,403656,929882.1413297653,607696.3539873273,609734.4129484079,0.0033425355659777445
otf_02,batch_missing,base_ensemble,q90_q99,108416,442857.89012527466,207571.2795290019,208294.61482502572,0.003472654809781983
otf_02,batch_missing,base_ensemble,q99_q100,5808,37889.3440284729,23069.428988863317,23433.42972259454,0.01553339558230582
otf_02,batch_missing,batch_missing_clock_simplex,q00_q50,235224,275132.5988612175,215741.40882259,216233.21173498518,0.0022744096915044976
otf_02,batch_missing,batch_missing_clock_simplex,q50_q90,403656,929882.1413297653,608466.8225130782,609734.4129484079,0.0020789222461632395
otf_02,batch_missing,batch_missing_clock_simplex,q90_q99,108416,442857.89012527466,207761.32970191346,208294.61482502572,0.002560244409392176
otf_02,batch_missing,batch_missing_clock_simplex,q99_q100,5808,37889.3440284729,22964.974496251973,23433.42972259454,0.019990894712730967
otf_02,batch_missing,clock_weight_delta_blend,q00_q50,235224,275132.5988612175,215694.14117249873,216233.21173498518,0.002493005390620251
otf_02,batch_missing,clock_weight_delta_blend,q50_q90,403656,929882.1413297653,608451.5364633031,609734.4129484079,0.0021039922593533156
otf_02,batch_missing,clock_weight_delta_blend,q90_q99,108416,442857.89012527466,207769.09695461846,208294.61482502572,0.0025229546661525992
otf_02,batch_missing,clock_weight_delta_blend,q99_q100,5808,37889.3440284729,22963.57341185057,23433.42972259454,0.020050684697295207
otf_02,batch_missing,group_select_clock_weight_delta_blend,q00_q50,235224,275132.5988612175,215687.45458671602,216233.21173498518,0.0025239284191830302
otf_02,batch_missing,group_select_clock_weight_delta_blend,q50_q90,403656,929882.1413297653,607595.1744259677,609734.4129484079,0.0035084759479061534
otf_02,batch_missing,group_select_clock_weight_delta_blend,q90_q99,108416,442857.89012527466,207571.2795290019,208294.61482502572,0.003472654809781983
otf_02,batch_missing,group_select_clock_weight_delta_blend,q99_q100,5808,37889.3440284729,23069.428988863317,23433.42972259454,0.01553339558230582
otf_02,batch_missing,selection_chosen_gate,q00_q50,235224,275132.5988612175,215694.14117249873,216233.21173498518,0.002493005390620251
otf_02,batch_missing,selection_chosen_gate,q50_q90,403656,929882.1413297653,608451.5364633031,609734.4129484079,0.0021039922593533156
otf_02,batch_missing,selection_chosen_gate,q90_q99,108416,442857.89012527466,207769.09695461846,208294.61482502572,0.0025229546661525992
otf_02,batch_missing,selection_chosen_gate,q99_q100,5808,37889.3440284729,22963.57341185057,23433.42972259454,0.020050684697295207
otf_03,batch_missing,base_ensemble,q00_q50,331056,376069.2813704014,290324.2051808929,291070.385833378,0.0025635746156335015
otf_03,batch_missing,base_ensemble,q50_q90,363968,875170.5470972061,626930.2069558047,628632.295052324,0.0027076052406400652
otf_03,batch_missing,base_ensemble,q90_q99,48400,208726.45928001404,164075.12435036077,164499.26546450186,0.0025783769486351638
otf_03,batch_missing,base_ensemble,q99_q100,3872,24758.774772644043,16955.150200497486,17002.115008727065,0.0027622921151557733
