clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,902176,1048903.128485918,793664.4796707185,796084.3875357758,0.0030397629986789187
batch_missing,base_ensemble,q50_q90,1092872,2573784.6492586136,1716212.4767987442,1722241.9030365034,0.003500917163337336
batch_missing,base_ensemble,q90_q99,231352,960179.5226955414,517408.9822925348,514851.4697092485,-0.00496747651265439
batch_missing,base_ensemble,q99_q100,21296,133366.19639968872,82121.96804371892,77194.66192782883,-0.06382962231892098
batch_missing,batch_missing_clock_simplex,q00_q50,902176,1048903.128485918,793364.0925490358,796084.3875357758,0.0034170937520335842
batch_missing,batch_missing_clock_simplex,q50_q90,1092872,2573784.6492586136,1717165.938181979,1722241.9030365034,0.002947300751174775
batch_missing,batch_missing_clock_simplex,q90_q99,231352,960179.5226955414,515885.96687903523,514851.4697092485,-0.0020093118708022217
batch_missing,batch_missing_clock_simplex,q99_q100,21296,133366.19639968872,81719.85611019922,77194.66192782883,-0.058620558330848116
batch_missing,clock_weight_delta_blend,q00_q50,902176,1048903.128485918,793372.4816867225,796084.3875357758,0.0034065557515174927
batch_missing,clock_weight_delta_blend,q50_q90,1092872,2573784.6492586136,1717104.8540863825,1722241.9030365034,0.002982768530404245
batch_missing,clock_weight_delta_blend,q90_q99,231352,960179.5226955414,515904.21757856617,514851.4697092485,-0.002044760345954133
batch_missing,clock_weight_delta_blend,q99_q100,21296,133366.19639968872,81730.12510365284,77194.66192782883,-0.05875358557906929
batch_missing,group_select_clock_weight_delta_blend,q00_q50,902176,1048903.128485918,793585.98944147,796084.3875357758,0.0031383583617804467
batch_missing,group_select_clock_weight_delta_blend,q50_q90,1092872,2573784.6492586136,1715900.401470917,1722241.9030365034,0.003682120121688781
batch_missing,group_select_clock_weight_delta_blend,q90_q99,231352,960179.5226955414,517285.102920639,514851.4697092485,-0.004726864648487483
batch_missing,group_select_clock_weight_delta_blend,q99_q100,21296,133366.19639968872,81803.6266089406,77194.66192782883,-0.05970574345439594
batch_missing,selection_chosen_gate,q00_q50,902176,1048903.128485918,793406.2401223381,796084.3875357758,0.0033641501521312067
batch_missing,selection_chosen_gate,q50_q90,1092872,2573784.6492586136,1717055.9056663103,1722241.9030365034,0.0030111898688851557
batch_missing,selection_chosen_gate,q90_q99,231352,960179.5226955414,517397.9703151687,514851.4697092485,-0.004946087863667348
batch_missing,selection_chosen_gate,q99_q100,21296,133366.19639968872,81683.14461518274,77194.66192782883,-0.05814498794683898
