fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,94864,126030.61599969864,84852.11940728889,85039.90917403648,0.0022082545544971355
otf_01,batch_missing,base_ensemble,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,batch_missing,base_ensemble,q90_q99,18392,68465.57769584656,21216.665998042205,21290.271852018417,0.0034572528940833847
otf_01,batch_missing,base_ensemble,q99_q100,1936,10196.890689849854,9087.961256225437,9128.935969911025,0.004488443540478393
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,batch_missing_clock_simplex,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing,global_blend,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing,global_blend,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing,global_blend,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,global_blend,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing,clock_blend,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing,clock_blend,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing,clock_blend,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,clock_blend,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing,clock_weight_blend,q00_q50,94864,126030.61599969864,84856.50540614463,85039.90917403648,0.002156678783799215
otf_01,batch_missing,clock_weight_blend,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,batch_missing,clock_weight_blend,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,clock_weight_blend,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing,clock_weight_shrink,q00_q50,94864,126030.61599969864,84857.52653538645,85039.90917403648,0.0021446711364281335
otf_01,batch_missing,clock_weight_shrink,q50_q90,72600,191541.62057304382,106365.90582733275,106660.64862426379,0.00276336962818724
otf_01,batch_missing,clock_weight_shrink,q90_q99,18392,68465.57769584656,21219.363812318505,21290.271852018417,0.003330537073118256
otf_01,batch_missing,clock_weight_shrink,q99_q100,1936,10196.890689849854,9087.961256225437,9128.935969911025,0.004488443540478393
otf_01,batch_missing,group_select_clock_blend,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing,group_select_clock_blend,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing,group_select_clock_blend,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,group_select_clock_blend,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing,group_select_clock_weight_blend,q00_q50,94864,126030.61599969864,84856.50540614463,85039.90917403648,0.002156678783799215
otf_01,batch_missing,group_select_clock_weight_blend,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,batch_missing,group_select_clock_weight_blend,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,group_select_clock_weight_blend,q99_q100,1936,10196.890689849854,9087.961256225437,9128.935969911025,0.004488443540478393
otf_01,batch_missing,group_select_clock_weight_shrink,q00_q50,94864,126030.61599969864,84857.52653538645,85039.90917403648,0.0021446711364281335
otf_01,batch_missing,group_select_clock_weight_shrink,q50_q90,72600,191541.62057304382,106365.90582733275,106660.64862426379,0.00276336962818724
otf_01,batch_missing,group_select_clock_weight_shrink,q90_q99,18392,68465.57769584656,21216.665998042205,21290.271852018417,0.0034572528940833847
otf_01,batch_missing,group_select_clock_weight_shrink,q99_q100,1936,10196.890689849854,9087.961256225437,9128.935969911025,0.004488443540478393
otf_01,batch_missing,selection_chosen_gate,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing,selection_chosen_gate,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing,selection_chosen_gate,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing,selection_chosen_gate,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
