fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,clock,strategy,kind,group_columns,selected_strategy,selected_by_selection,selection_base_r2,selection_strategy_r2,selection_strategy_delta_r2,selection_selected_delta_r2,selection_min_delta,fallback_blend_weight,fallback_alpha,parameter_rows,group_gate_parameter_rows,group_gate_active_groups,group_gate_selection_rows,group_gate_selection_active_rows,group_gate_mean_delta_r2
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,global_blend,blend,"",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,1,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_blend,blend,clock_bucket,group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,2,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_blend,blend,"clock_bucket,weight_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,8,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_abs_blend,blend,"clock_bucket,weight_bucket,ensemble_abs_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,30,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_disagreement_blend,blend,"clock_bucket,weight_bucket,disagreement_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,32,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,0.0,,8,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_shrink,shrink,"clock_bucket,weight_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.004057101627521265,-0.00006576854357787099,0.000020345600925564256,0.0,,1.0,8,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_abs_shrink,shrink,"clock_bucket,weight_bucket,ensemble_abs_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.00391111795273702,-0.00021175221836211566,0.000020345600925564256,0.0,,1.0,30,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_disagreement_shrink,shrink,"clock_bucket,weight_bucket,disagreement_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.003943513792546649,-0.00017935637855248654,0.000020345600925564256,0.0,,1.0,32,,,,,
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_blend,group_selection,clock_bucket,group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,,,2,2,0,366872,0,0.0
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_blend,group_selection,"clock_bucket,weight_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,,,6,6,0,366872,0,0.0
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_abs_blend,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,,,24,24,0,366872,0,0.0
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_disagreement_blend,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,,,24,24,0,366872,0,0.0
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041228701710991356,0.0,0.000020345600925564256,0.0,,,6,6,0,366872,0,0.0
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_shrink,group_selection,"clock_bucket,weight_bucket",group_select_clock_weight_shrink,true,0.0041228701710991356,0.0041432157720247,0.000020345600925564256,0.000020345600925564256,0.0,,,6,6,1,366872,1008,-0.00024429763254643795
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_abs_shrink,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.004124438121735796,1.5679506366605978e-6,0.000020345600925564256,0.0,,,24,24,2,366872,76406,-0.0014100428404592372
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,group_select_clock_weight_disagreement_shrink,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",group_select_clock_weight_shrink,false,0.0041228701710991356,0.0041396308239320945,0.00001676065283295891,0.000020345600925564256,0.0,,,24,24,1,366872,15639,-0.00006762276179107655
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,global_blend,blend,"",global_blend,true,0.006762439545165866,0.006801368249978013,0.00003892870481214672,0.00003892870481214672,0.0,0.9999999999999833,,1,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_blend,blend,clock_bucket,global_blend,false,0.006762439545165866,0.006801368249978013,0.00003892870481214672,0.00003892870481214672,0.0,0.9999999999999833,,2,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_blend,blend,"clock_bucket,weight_bucket",global_blend,false,0.006762439545165866,0.006780749562083188,0.000018310016917322258,0.00003892870481214672,0.0,0.9999999999999833,,8,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_abs_blend,blend,"clock_bucket,weight_bucket,ensemble_abs_bucket",global_blend,false,0.006762439545165866,0.006799308230152956,0.00003686868498709028,0.00003892870481214672,0.0,0.9999999999999833,,32,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_disagreement_blend,blend,"clock_bucket,weight_bucket,disagreement_bucket",global_blend,false,0.006762439545165866,0.006791311716499604,0.000028872171333738095,0.00003892870481214672,0.0,0.9999999999999833,,32,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",global_blend,false,0.006762439545165866,0.0067843707936395825,0.000021931248473716636,0.00003892870481214672,0.0,0.9999999999999833,,31,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_shrink,shrink,"clock_bucket,weight_bucket",global_blend,false,0.006762439545165866,0.006680802100006211,-0.00008163744515965465,0.00003892870481214672,0.0,,1.0,8,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_abs_shrink,shrink,"clock_bucket,weight_bucket,ensemble_abs_bucket",global_blend,false,0.006762439545165866,0.006625904435454855,-0.00013653510971101124,0.00003892870481214672,0.0,,1.0,32,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_disagreement_shrink,shrink,"clock_bucket,weight_bucket,disagreement_bucket",global_blend,false,0.006762439545165866,0.006637390151465472,-0.0001250493937003938,0.00003892870481214672,0.0,,1.0,32,,,,,
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_blend,group_selection,clock_bucket,global_blend,false,0.006762439545165866,0.006801368249978013,0.00003892870481214672,0.00003892870481214672,0.0,,,2,2,2,375584,375584,0.00018358655886293557
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_blend,group_selection,"clock_bucket,weight_bucket",global_blend,false,0.006762439545165866,0.006783523469949593,0.000021083924783726893,0.00003892870481214672,0.0,,,8,8,3,375584,6272,-0.004104991181378345
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_abs_blend,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",global_blend,false,0.006762439545165866,0.006763571333255114,1.1317880892480758e-6,0.00003892870481214672,0.0,,,32,32,1,375584,89476,-0.004898612418850816
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_disagreement_blend,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",global_blend,false,0.006762439545165866,0.006770105921330649,7.666376164783273e-6,0.00003892870481214672,0.0,,,31,31,7,375584,201192,-0.005495075739119665
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_delta_blend,group_selection,"clock_bucket,weight_bucket,candidate_delta_bucket",global_blend,false,0.006762439545165866,0.006771962952138,9.523406972133941e-6,0.00003892870481214672,0.0,,,31,31,3,375584,106935,-0.0019122502124529642
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_shrink,group_selection,"clock_bucket,weight_bucket",global_blend,false,0.006762439545165866,0.006763539661879925,1.100116714058963e-6,0.00003892870481214672,0.0,,,8,8,1,375584,944,-0.0006837534031419685
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_abs_shrink,group_selection,"clock_bucket,weight_bucket,ensemble_abs_bucket",global_blend,false,0.006762439545165866,0.006762439545165866,0.0,0.00003892870481214672,0.0,,,32,32,0,375584,0,-0.0002653385603014343
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,group_select_clock_weight_disagreement_shrink,group_selection,"clock_bucket,weight_bucket,disagreement_bucket",global_blend,false,0.006762439545165866,0.006778070527762803,0.00001563098259693696,0.00003892870481214672,0.0,,,31,31,1,375584,905,-0.0006359746175381058
