strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows,selected_folds
group_select_clock_blend,2,0.005462119210538574,0.001893984154970394,0.0041228701710991356,0.006801368249978013,0.0054498895128262115,742456,0
batch_missing_clock_simplex,2,0.005462119210538574,0.001893984154970394,0.0041228701710991356,0.006801368249978013,0.0054498895128262115,742456,0
clock_blend,2,0.005462119210538574,0.001893984154970394,0.0041228701710991356,0.006801368249978013,0.0054498895128262115,742456,0
global_blend,2,0.005462119210538574,0.001893984154970394,0.0041228701710991356,0.006801368249978013,0.0054498895128262115,742456,1
clock_weight_abs_blend,2,0.005461089200626046,0.001892527500982718,0.0041228701710991356,0.006799308230152956,0.005448868908714433,742456,0
group_select_clock_weight_disagreement_shrink,2,0.005458850675847449,0.00186565860633052,0.0041396308239320945,0.006778070527762803,0.005446803879822215,742456,0
clock_weight_disagreement_blend,2,0.00545709094379937,0.0018868731119525818,0.0041228701710991356,0.006791311716499604,0.00544490716300039,742456,0
clock_weight_delta_blend,2,0.005453620482369359,0.001881965138330568,0.0041228701710991356,0.0067843707936395825,0.005441468392983206,742456,0
group_select_clock_weight_shrink,2,0.005453377716952312,0.0018528487914217418,0.0041432157720247,0.006763539661879925,0.00544141363553885,742456,1
group_select_clock_weight_blend,2,0.005453196820524364,0.001881365990003516,0.0041228701710991356,0.006783523469949593,0.0054410485999154545,742456,0
clock_weight_blend,2,0.005451809866591162,0.0018794045409407946,0.0041228701710991356,0.006780749562083188,0.005439674311309539,742456,0
group_select_clock_weight_delta_blend,2,0.005447416561618568,0.0018731914694649107,0.0041228701710991356,0.006771962952138,0.00543532112493339,742456,0
group_select_clock_weight_disagreement_blend,2,0.005446488046214892,0.001871878350388161,0.0041228701710991356,0.006770105921330649,0.005434401088507457,742456,0
group_select_clock_weight_abs_shrink,2,0.005443438833450831,0.0018653486952871672,0.004124438121735796,0.006762439545165866,0.005431394038560855,742456,0
group_select_clock_weight_abs_blend,2,0.005443220752177125,0.0018672576988476891,0.0041228701710991356,0.006763571333255114,0.005431163630607028,742456,0
base_ensemble,2,0.005442654858132501,0.0018664574038149157,0.0041228701710991356,0.006762439545165866,0.005430602904169857,742456,0
clock_weight_shrink,2,0.005368951863763738,0.0018552363958964546,0.004057101627521265,0.006680802100006211,0.005356972365283097,742456,0
clock_weight_disagreement_shrink,2,0.0052904519720060605,0.0019048582410696256,0.003943513792546649,0.006637390151465472,0.005278152058930119,742456,0
clock_weight_abs_shrink,2,0.005268511194095937,0.001919643931403357,0.00391111795273702,0.006625904435454855,0.0052561158079281745,742456,0
