fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,batch_missing,base_ensemble,q00_q50,235224,308695.9977285862,232296.84041536466,233203.3793945934,0.003887332085761974
otf_01,batch_missing,base_ensemble,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,base_ensemble,q90_q99,19360,87195.77685928345,66571.19838748004,66821.3575950603,0.0037437013641092864
otf_01,batch_missing,batch_missing_clock_simplex,q00_q50,235224,308695.9977285862,232310.40049750902,233203.3793945934,0.0038291850632807822
otf_01,batch_missing,batch_missing_clock_simplex,q50_q90,120032,334606.6251373291,211978.54181841033,212177.44431516962,0.0009374346901069863
otf_01,batch_missing,batch_missing_clock_simplex,q90_q99,19360,87195.77685928345,66557.30117144258,66821.3575950603,0.003951677025449074
otf_01,batch_missing,global_blend,q00_q50,235224,308695.9977285862,232310.40049750902,233203.3793945934,0.0038291850632807822
otf_01,batch_missing,global_blend,q50_q90,120032,334606.6251373291,211978.54181841033,212177.44431516962,0.0009374346901069863
otf_01,batch_missing,global_blend,q90_q99,19360,87195.77685928345,66557.30117144258,66821.3575950603,0.003951677025449074
otf_01,batch_missing,clock_blend,q00_q50,235224,308695.9977285862,232310.40049750902,233203.3793945934,0.0038291850632807822
otf_01,batch_missing,clock_blend,q50_q90,120032,334606.6251373291,211978.54181841033,212177.44431516962,0.0009374346901069863
otf_01,batch_missing,clock_blend,q90_q99,19360,87195.77685928345,66557.30117144258,66821.3575950603,0.003951677025449074
otf_01,batch_missing,clock_weight_blend,q00_q50,235224,308695.9977285862,232296.84041536466,233203.3793945934,0.003887332085761974
otf_01,batch_missing,clock_weight_blend,q50_q90,120032,334606.6251373291,211978.54181841033,212177.44431516962,0.0009374346901069863
otf_01,batch_missing,clock_weight_blend,q90_q99,19360,87195.77685928345,66567.57821722803,66821.3575950603,0.0037978782078954554
otf_01,batch_missing,clock_weight_abs_blend,q00_q50,235224,308695.9977285862,232295.23575640286,233203.3793945934,0.0038942130279077114
otf_01,batch_missing,clock_weight_abs_blend,q50_q90,120032,334606.6251373291,211987.47481648103,212177.44431516962,0.0008953331458098068
otf_01,batch_missing,clock_weight_abs_blend,q90_q99,19360,87195.77685928345,66558.47674784233,66821.3575950603,0.003934084201207555
otf_01,batch_missing,clock_weight_disagreement_blend,q00_q50,235224,308695.9977285862,232290.0355900892,233203.3793945934,0.0039165118742072735
otf_01,batch_missing,clock_weight_disagreement_blend,q50_q90,120032,334606.6251373291,211992.06422230523,212177.44431516962,0.0008737031095021885
otf_01,batch_missing,clock_weight_disagreement_blend,q90_q99,19360,87195.77685928345,66558.64479080185,66821.3575950603,0.003931569392087164
otf_01,batch_missing,clock_weight_delta_blend,q00_q50,235224,308695.9977285862,232291.10425259775,233203.3793945934,0.003911929339806108
otf_01,batch_missing,clock_weight_delta_blend,q50_q90,120032,334606.6251373291,211991.77217970326,212177.44431516962,0.0008750795168903647
otf_01,batch_missing,clock_weight_delta_blend,q90_q99,19360,87195.77685928345,66558.52310504085,66821.3575950603,0.003933390452978136
otf_01,batch_missing,clock_weight_shrink,q00_q50,235224,308695.9977285862,232402.7740910025,233203.3793945934,0.003433077623786085
otf_01,batch_missing,clock_weight_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,clock_weight_shrink,q90_q99,19360,87195.77685928345,66556.70446715747,66821.3575950603,0.003960606869238381
otf_01,batch_missing,clock_weight_abs_shrink,q00_q50,235224,308695.9977285862,232382.36384918191,233203.3793945934,0.003520598833271049
otf_01,batch_missing,clock_weight_abs_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,clock_weight_abs_shrink,q90_q99,19360,87195.77685928345,66565.04702174834,66821.3575950603,0.0038357582446201244
otf_01,batch_missing,clock_weight_disagreement_shrink,q00_q50,235224,308695.9977285862,232395.71847124145,233203.3793945934,0.0034633328446983525
otf_01,batch_missing,clock_weight_disagreement_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,clock_weight_disagreement_shrink,q90_q99,19360,87195.77685928345,66603.02043978807,66821.3575950603,0.0032674755965802493
otf_01,batch_missing,group_select_clock_blend,q00_q50,235224,308695.9977285862,232287.29417787117,233203.3793945934,0.003928267330861268
otf_01,batch_missing,group_select_clock_blend,q50_q90,120032,334606.6251373291,211917.21926848358,212177.44431516962,0.0012264500947588575
otf_01,batch_missing,group_select_clock_blend,q90_q99,19360,87195.77685928345,66567.57821722803,66821.3575950603,0.0037978782078954554
otf_01,batch_missing,group_select_clock_weight_blend,q00_q50,235224,308695.9977285862,232296.84041536466,233203.3793945934,0.003887332085761974
otf_01,batch_missing,group_select_clock_weight_blend,q50_q90,120032,334606.6251373291,211917.21926848358,212177.44431516962,0.0012264500947588575
otf_01,batch_missing,group_select_clock_weight_blend,q90_q99,19360,87195.77685928345,66567.57821722803,66821.3575950603,0.0037978782078954554
otf_01,batch_missing,group_select_clock_weight_abs_blend,q00_q50,235224,308695.9977285862,232295.23575640286,233203.3793945934,0.0038942130279077114
otf_01,batch_missing,group_select_clock_weight_abs_blend,q50_q90,120032,334606.6251373291,211926.1522665543,212177.44431516962,0.001184348550461567
otf_01,batch_missing,group_select_clock_weight_abs_blend,q90_q99,19360,87195.77685928345,66567.2912736172,66821.3575950603,0.0038021723979740907
otf_01,batch_missing,group_select_clock_weight_disagreement_blend,q00_q50,235224,308695.9977285862,232290.0355900892,233203.3793945934,0.0039165118742072735
otf_01,batch_missing,group_select_clock_weight_disagreement_blend,q50_q90,120032,334606.6251373291,211930.7564080278,212177.44431516962,0.0011626490645036958
otf_01,batch_missing,group_select_clock_weight_disagreement_blend,q90_q99,19360,87195.77685928345,66567.6118266077,66821.3575950603,0.003797375234282252
otf_01,batch_missing,group_select_clock_weight_delta_blend,q00_q50,235224,308695.9977285862,232290.70336936816,233203.3793945934,0.003913648368195077
otf_01,batch_missing,group_select_clock_weight_delta_blend,q50_q90,120032,334606.6251373291,211930.7242043378,212177.44431516962,0.0011628008416640911
otf_01,batch_missing,group_select_clock_weight_delta_blend,q90_q99,19360,87195.77685928345,66568.19571186967,66821.3575950603,0.0037886372307008864
otf_01,batch_missing,group_select_clock_weight_shrink,q00_q50,235224,308695.9977285862,232402.7740910025,233203.3793945934,0.003433077623786085
otf_01,batch_missing,group_select_clock_weight_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,group_select_clock_weight_shrink,q90_q99,19360,87195.77685928345,66556.70446715747,66821.3575950603,0.003960606869238381
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q00_q50,235224,308695.9977285862,232381.1896533456,233203.3793945934,0.003525633905401504
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,group_select_clock_weight_abs_shrink,q90_q99,19360,87195.77685928345,66565.04702174834,66821.3575950603,0.0038357582446201244
otf_01,batch_missing,group_select_clock_weight_disagreement_shrink,q00_q50,235224,308695.9977285862,232379.0678756506,233203.3793945934,0.0035347323056927893
otf_01,batch_missing,group_select_clock_weight_disagreement_shrink,q50_q90,120032,334606.6251373291,211943.27929308105,212177.44431516962,0.0011036282524957697
otf_01,batch_missing,group_select_clock_weight_disagreement_shrink,q90_q99,19360,87195.77685928345,66564.27690056742,66821.3575950603,0.003847283319964756
