fold,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_04,q99_q100,183,1236.519,723.3338517601121,732.64233,0.012705356751144814
rw_02,q90_q99,3610,17681.23,7938.63813394724,8038.816,0.012461758677367873
rw_02,q50_q90,8534,25937.006,13844.828293857548,13956.787,0.008021818677899528
rw_02,q99_q100,394,2778.5037,931.0119917771955,938.2456,0.007709722965279053
rw_01,q90_q99,2376,11602.837,6419.127896399588,6467.7764,0.007521668657982095
rw_02,q00_q50,9291,15022.15,9373.167854591908,9418.881,0.004853337192134877
rw_04,q90_q99,2278,10964.432,7101.38813400758,7130.574,0.004093090380529851
rw_05,q90_q99,813,3950.1602,1414.0611601230453,1418.4143,0.0030690232728191047
rw_03,q99_q100,127,883.01746,456.59071236671144,457.91498,0.0028919465930927757
rw_03,q00_q50,12811,19587.758,14003.493219416214,14040.441,0.002631554504927358
rw_01,q50_q90,9583,29501.277,19263.811415172288,19312.965,0.0025451000908138788
rw_03,q50_q90,8531,24919.205,12468.19982332515,12499.653,0.0025163495483699894
rw_04,q00_q50,9252,15532.812,13660.378995770901,13688.782,0.0020749275079037233
rw_04,q50_q90,10493,32209.52,22886.829419771377,22928.898,0.0018347596524663778
rw_05,q99_q100,69,446.86142,313.7338618539951,314.15277,0.0013334567789117235
rw_05,q00_q50,14492,21598.586,12645.60367953604,12662.377,0.001324654419233684
rw_01,q00_q50,9300,14996.712,14675.034122443582,14689.655,0.0009953365631634181
rw_05,q50_q90,6987,20402.28,11071.685689730057,11074.538,0.0002575634473699351
rw_01,q99_q100,328,2340.5735,1176.590900385207,1175.0907,-0.0012766692352035314
rw_03,q90_q99,834,3910.9915,2134.2377732110454,2130.4507,-0.0017776002263085733
