candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
latent_alpha_linear_stack,alpha_latent_stack,44117,110145.46684622765,70914.84341646063,71057.40006664337,0.0019619476992636777,-0.00002684988976864311,0.001792283257064144,0.002006218213008615
ridge_rank_alpha10000__feature_59_z_residual,residual_correction,44117,110145.46684622765,70966.17913127526,71057.40006664337,0.0014480937608952304,-0.004175191159521807,0.004521864090044963,0.0012837640454415045
ridge_rank_alpha10000,alpha_latent_global,44117,110145.46684622765,70968.35648360247,71057.40006664337,0.0013417176519176844,-0.0028101247319436418,0.0033995897776411773,0.0012531218839612057
ridge_rank_alpha10000__feature_04_z_residual,residual_correction,44117,110145.46684622765,70973.2339864629,71057.40006664337,0.001321695313114235,-0.0037617431991026073,0.004254494515159338,0.0011844801540941141
ridge_rank_alpha10000__risk_high_error_shrink_s0p1,risk_shrinkage,44117,110145.46684622765,70978.96402009725,71057.40006664337,0.0012079888045066322,-0.003594136045676599,0.003884619110689539,0.0011038406481599372
ridge_rank_alpha10000__risk_sq_error_shrink_s0p1,risk_shrinkage,44117,110145.46684622765,70982.47655116487,71057.40006664337,0.0011633594558717376,-0.0037287870857329874,0.0039102558894126135,0.0010544083432300067
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p1,risk_shrinkage,44117,110145.46684622765,70983.06414527087,71057.40006664337,0.0011556010308239272,-0.00373830580395329,0.003904455124358741,0.0010461390552255478
ridge_rank_alpha10000__risk_abs_error_shrink_s0p1,risk_shrinkage,44117,110145.46684622765,70984.200425454,71057.40006664337,0.0011410927541618764,-0.0037695954149952193,0.003908050910023238,0.001030148036949341
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p1,risk_shrinkage,44117,110145.46684622765,70984.20675811793,71057.40006664337,0.0011415292038237323,-0.0037761032660081906,0.003912476746637332,0.0010300589165490592
ridge_rank_alpha10000__risk_high_error_shrink_s0p05,risk_shrinkage,44117,110145.46684622765,70999.09165078631,71057.40006664337,0.0009420903324056873,-0.004237561966055958,0.0040626271196792,0.000820581892981842
