fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,ridge_rank_alpha10000,alpha_latent_global,8635,23340.703352689743,16700.16138185111,16742.676616920093,0.002539333228596008
rw_01,pls_rank_k8,alpha_latent_recent,8635,23340.703352689743,16772.2241519636,16742.676616920093,-0.0017648035448314392
rw_01,latent_alpha_linear_stack,alpha_latent_stack,8635,23340.703352689743,16702.384656378435,16742.676616920093,0.0024065423625836413
rw_01,ridge_rank_alpha10000__feature_47_z_residual,residual_correction,8635,23340.703352689743,16699.939948946358,16742.676616920093,0.002552558885987488
rw_01,ridge_rank_alpha10000__feature_59_z_residual,residual_correction,8635,23340.703352689743,16699.160119767977,16742.676616920093,0.0025991362162569587
rw_01,ridge_rank_alpha10000__feature_04_z_residual,residual_correction,8635,23340.703352689743,16705.193792828497,16742.676616920093,0.0022387593662124283
rw_01,ridge_rank_alpha10000__plus_residual_rules,residual_correction,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0,risk_shrinkage,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16702.76423167273,16742.676616920093,0.0023838712387855843
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16701.545742471855,16742.676616920093,0.0024566486822465983
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16700.037903295313,16742.676616920093,0.0025467083071823993
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0,risk_shrinkage,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16702.63687438111,16742.676616920093,0.0023914779849787404
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16701.335059707606,16742.676616920093,0.002469232259476817
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16699.852080423454,16742.676616920093,0.0025578070625433824
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0,risk_shrinkage,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16702.75789887278,16742.676616920093,0.002384249481768741
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16701.531677702904,16742.676616920093,0.0024574887372313947
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16700.01460440622,16742.676616920093,0.0025480998940610178
rw_01,ridge_rank_alpha10000__risk_sq_error_shrink_s0,risk_shrinkage,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_sq_error_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16702.627885816983,16742.676616920093,0.0023920148503995264
rw_01,ridge_rank_alpha10000__risk_sq_error_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16701.314970939642,16742.676616920093,0.002470432113503951
rw_01,ridge_rank_alpha10000__risk_sq_error_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16699.817649221608,16742.676616920093,0.0025598635558170546
rw_01,ridge_rank_alpha10000__risk_high_error_shrink_s0,risk_shrinkage,8635,23340.703352689743,16703.73940835942,16742.676616920093,0.00232562626941768
rw_01,ridge_rank_alpha10000__risk_high_error_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16702.69385089673,16742.676616920093,0.0023880749140766655
rw_01,ridge_rank_alpha10000__risk_high_error_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16701.469502329062,16742.676616920093,0.0024612023234914515
rw_01,ridge_rank_alpha10000__risk_high_error_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16700.104073366376,16742.676616920093,0.0025427561272188814
rw_01,ridge_rank_alpha10000__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,8635,23340.703352689743,16706.219177019466,16742.676616920093,0.0021775156227877845
rw_01,ridge_rank_alpha10000__risk_abs_error_s0p02_micro_regime_scaled,regime_microstructure,8635,23340.703352689743,16705.055043424632,16742.676616920093,0.002247046536002495
rw_01,ridge_rank_alpha10000__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,8635,23340.703352689743,16703.56047471328,16742.676616920093,0.00233631354781616
rw_01,ridge_rank_alpha10000__risk_abs_error_s0p1_micro_regime_scaled,regime_microstructure,8635,23340.703352689743,16701.622627349796,16742.676616920093,0.002452056532514457
rw_01,pls_rank_k8__feature_47_z_residual,residual_correction,8635,23340.703352689743,16773.589264168477,16742.676616920093,-0.0018463384293729845
rw_01,pls_rank_k8__feature_59_z_residual,residual_correction,8635,23340.703352689743,16770.11677581705,16742.676616920093,-0.0016389350116949863
rw_01,pls_rank_k8__feature_04_z_residual,residual_correction,8635,23340.703352689743,16776.904242892873,16742.676616920093,-0.002044334174034601
rw_01,pls_rank_k8__plus_residual_rules,residual_correction,8635,23340.703352689743,16775.93811526542,16742.676616920093,-0.001986629683315533
rw_01,pls_rank_k8__risk_abs_responder6_shrink_s0,risk_shrinkage,8635,23340.703352689743,16775.93811526542,16742.676616920093,-0.001986629683315533
rw_01,pls_rank_k8__risk_abs_responder6_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16770.017947447992,16742.676616920093,-0.0016330322297610778
rw_01,pls_rank_k8__risk_abs_responder6_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16762.13245677721,16742.676616920093,-0.0011620507462621887
rw_01,pls_rank_k8__risk_abs_responder6_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16751.16205428617,16742.676616920093,-0.000506814863610483
rw_01,pls_rank_k8__risk_sq_responder6_shrink_s0,risk_shrinkage,8635,23340.703352689743,16775.93811526542,16742.676616920093,-0.001986629683315533
rw_01,pls_rank_k8__risk_sq_responder6_shrink_s0p02,risk_shrinkage,8635,23340.703352689743,16769.269234005846,16742.676616920093,-0.0015883133679401862
rw_01,pls_rank_k8__risk_sq_responder6_shrink_s0p05,risk_shrinkage,8635,23340.703352689743,16760.86001292608,16742.676616920093,-0.0010860507206842396
rw_01,pls_rank_k8__risk_sq_responder6_shrink_s0p1,risk_shrinkage,8635,23340.703352689743,16749.96140171356,16742.676616920093,-0.0004351027592628398
rw_01,pls_rank_k8__risk_abs_error_shrink_s0,risk_shrinkage,8635,23340.703352689743,16775.93811526542,16742.676616920093,-0.001986629683315533
