fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2,target_name
rw_01,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,43173,116686.75661540031,41336.67485697594,82026.74549857859,0.49605857692242283,abs_responder6
rw_01,ridge_rank_alpha10000__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,43173,116686.75661540031,510800.9860188984,611039.4287293283,0.1640457849322069,sq_responder6
rw_01,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,43173,116686.75661540031,40937.57574511511,81710.8027376081,0.49899432665500865,abs_error
rw_01,ridge_rank_alpha10000__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,43173,116686.75661540031,500735.41973799176,600424.5474049089,0.1660310660145108,sq_error
rw_01,ridge_rank_alpha10000__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,43173,116686.75661540031,8619.827148092016,10306.516849040985,0.16365273793793045,high_error
rw_01,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,43173,116686.75661540031,41336.67485697594,82026.74549857859,0.49605857692242283,abs_responder6
rw_01,pls_rank_k8__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,43173,116686.75661540031,510800.9860188984,611039.4287293283,0.1640457849322069,sq_responder6
rw_01,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,43173,116686.75661540031,40929.49071702508,81792.331531961,0.49959256631495386,abs_error
rw_01,pls_rank_k8__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,43173,116686.75661540031,500301.9311426765,600001.790968356,0.1661659370462406,sq_error
rw_01,pls_rank_k8__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,43173,116686.75661540031,8601.494772147635,10290.744631767273,0.16415234466172313,high_error
rw_02,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,43657,122914.90160679817,38289.087976587965,72096.49394031105,0.4689188629853812,abs_responder6
rw_02,ridge_rank_alpha10000__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,43657,122914.90160679817,468852.2095144297,537109.1132759806,0.12708200638271194,sq_responder6
rw_02,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,43657,122914.90160679817,37846.597549262544,71476.19249571947,0.47050064884850884,abs_error
rw_02,ridge_rank_alpha10000__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,43657,122914.90160679817,464143.93191606854,532078.5448103626,0.1276777903504953,sq_error
rw_02,ridge_rank_alpha10000__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,43657,122914.90160679817,6748.160407787009,7669.139388978481,0.12008896102671385,high_error
rw_02,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,43657,122914.90160679817,38289.087976587965,72096.49394031105,0.4689188629853812,abs_responder6
rw_02,pls_rank_k8__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,43657,122914.90160679817,468852.2095144297,537109.1132759806,0.12708200638271194,sq_responder6
rw_02,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,43657,122914.90160679817,37662.13302412384,71172.43336481901,0.4708325788009312,abs_error
rw_02,pls_rank_k8__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,43657,122914.90160679817,452566.5313924935,518289.9926957688,0.1268082776621433,sq_error
rw_02,pls_rank_k8__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,43657,122914.90160679817,6729.90719896103,7649.684424638748,0.12023727707187792,high_error
rw_03,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44606,98596.04694253206,32264.65355760596,59005.610160629396,0.45319345957489876,abs_responder6
rw_03,ridge_rank_alpha10000__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44606,98596.04694253206,398392.71723006363,450840.3317706084,0.11633301380682726,sq_responder6
rw_03,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44606,98596.04694253206,32141.537538449684,59009.860927973445,0.4553192121960571,abs_error
rw_03,ridge_rank_alpha10000__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44606,98596.04694253206,394344.11049384373,446882.80407107197,0.11756705135799428,sq_error
rw_03,ridge_rank_alpha10000__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44606,98596.04694253206,6844.514115101196,7964.763020157814,0.14065062604140377,high_error
rw_03,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44606,98596.04694253206,32264.65355760596,59005.610160629396,0.45319345957489876,abs_responder6
rw_03,pls_rank_k8__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44606,98596.04694253206,398392.71723006363,450840.3317706084,0.11633301380682726,sq_responder6
rw_03,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44606,98596.04694253206,32188.325794266144,59292.17964163673,0.4571235871439857,abs_error
rw_03,pls_rank_k8__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44606,98596.04694253206,394416.26115549315,447315.3516992071,0.1182590544741362,sq_error
rw_03,pls_rank_k8__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44606,98596.04694253206,6842.914806543426,7963.705339312553,0.14073731824762337,high_error
rw_04,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44412,119692.25618124008,44255.19222598321,87848.54909648298,0.4962330888654942,abs_responder6
rw_04,ridge_rank_alpha10000__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44412,119692.25618124008,524056.4949294027,623341.6274353077,0.15927884186783137,sq_responder6
rw_04,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44412,119692.25618124008,44140.242145169745,87840.29384908441,0.4974943706244235,abs_error
rw_04,ridge_rank_alpha10000__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44412,119692.25618124008,522739.91947657167,621955.93734956,0.15952258337751923,sq_error
rw_04,ridge_rank_alpha10000__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44412,119692.25618124008,11968.80603284355,14815.142630755901,0.19212346913241463,high_error
rw_04,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44412,119692.25618124008,44255.19222598321,87848.54909648298,0.4962330888654942,abs_responder6
rw_04,pls_rank_k8__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44412,119692.25618124008,524056.4949294027,623341.6274353077,0.15927884186783137,sq_responder6
rw_04,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44412,119692.25618124008,44190.80415866981,88011.02239100961,0.49789466184881026,abs_error
rw_04,pls_rank_k8__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44412,119692.25618124008,524132.7114329731,623601.8865813673,0.15950749554927068,sq_error
rw_04,pls_rank_k8__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44412,119692.25618124008,12074.169013498878,14947.402794778347,0.19222294473011658,high_error
rw_05,ridge_rank_alpha10000__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44722,92794.19328200817,24934.652565709133,50611.54722587923,0.507332734673654,abs_responder6
rw_05,ridge_rank_alpha10000__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44722,92794.19328200817,235141.28698582953,278819.5883899932,0.1566543500633446,sq_responder6
rw_05,ridge_rank_alpha10000__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44722,92794.19328200817,24999.790517667032,50586.560769560776,0.5058017359284476,abs_error
rw_05,ridge_rank_alpha10000__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44722,92794.19328200817,236495.68577704212,280276.90621944703,0.15620702052464408,sq_error
rw_05,ridge_rank_alpha10000__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44722,92794.19328200817,6509.426969468854,7648.849062979221,0.1489664764108397,high_error
rw_05,pls_rank_k8__risk_abs_responder6_ridge_rank_score,risk_auxiliary_abs_responder6,44722,92794.19328200817,24934.652565709133,50611.54722587923,0.507332734673654,abs_responder6
rw_05,pls_rank_k8__risk_sq_responder6_ridge_rank_score,risk_auxiliary_sq_responder6,44722,92794.19328200817,235141.28698582953,278819.5883899932,0.1566543500633446,sq_responder6
rw_05,pls_rank_k8__risk_abs_error_ridge_rank_score,risk_auxiliary_abs_error,44722,92794.19328200817,25031.168313896676,50643.86768582597,0.5057413768399385,abs_error
rw_05,pls_rank_k8__risk_sq_error_ridge_rank_score,risk_auxiliary_sq_error,44722,92794.19328200817,236862.19699842975,280747.223936194,0.15631508772367442,sq_error
rw_05,pls_rank_k8__risk_high_error_ridge_rank_score,risk_auxiliary_high_error,44722,92794.19328200817,6443.895311695056,7560.78611522913,0.14772151817446644,high_error
