candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
ridge_rank_alpha10000__risk_high_error_shrink_s0p2,risk_shrinkage,220570,550684.1546279788,350229.1938605516,351588.94592188124,0.0037139112104447756,0.0008641062946326272,0.004453951436774324,0.003867448271914098
ridge_rank_alpha10000__risk_sq_error_shrink_s0p2,risk_shrinkage,220570,550684.1546279788,350240.25311170064,351588.94592188124,0.003683906396375991,0.0008438992470319873,0.0044943403662697475,0.0038359932125973106
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p2,risk_shrinkage,220570,550684.1546279788,350242.9482423526,351588.94592188124,0.0036764932457596044,0.0008381495295696206,0.004486557146556945,0.0038283276398221044
ridge_rank_alpha10000__risk_abs_error_shrink_s0p2,risk_shrinkage,220570,550684.1546279788,350243.9771337414,351588.94592188124,0.003680043326546145,0.001038623630829738,0.004290673321516559,0.003825401235562853
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p2,risk_shrinkage,220570,550684.1546279788,350246.22576514113,351588.94592188124,0.003674023802594051,0.0010317775520379824,0.004286756595687386,0.0038190056095747105
ridge_rank_alpha10000__risk_high_error_shrink_s0p1,risk_shrinkage,220570,550684.1546279788,350326.40647863643,351588.94592188124,0.0034317516611617194,0.0005101235762852152,0.004416299125312975,0.0035909531795272898
latent_alpha_linear_stack,alpha_latent_stack,220570,550684.1546279788,350327.666285988,351588.94592188124,0.003457759864764198,0.00027989598957978146,0.004120033067588528,0.0035873699970461193
ridge_rank_alpha10000__risk_sq_error_shrink_s0p1,risk_shrinkage,220570,550684.1546279788,350328.54123411165,351588.94592188124,0.0034265811721494676,0.0004943035076221403,0.004480803065812938,0.0035848814429155773
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p1,risk_shrinkage,220570,550684.1546279788,350330.4992585555,351588.94592188124,0.0034211663875906018,0.0004904957492457562,0.004474032582795813,0.0035793123700919027
ridge_rank_alpha10000__risk_abs_error_shrink_s0p1,risk_shrinkage,220570,550684.1546279788,350365.8137223219,351588.94592188124,0.0033274380414084702,0.0005939784421139516,0.004194921427354795,0.003478869895503278
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p1,risk_shrinkage,220570,550684.1546279788,350367.45060972235,351588.94592188124,0.003323060260798183,0.0005897760460888968,0.004191200994808113,0.0034742142104499107
ridge_rank_alpha10000__feature_59_z_residual,residual_correction,220570,550684.1546279788,350382.5921502419,351588.94592188124,0.0032727696049599684,0.00008579354299376174,0.004716616320843145,0.0034311481792359544
ridge_rank_alpha10000,alpha_latent_global,220570,550684.1546279788,350398.06166786933,351588.94592188124,0.0032436745501793094,0.000021826698948901324,0.004722027478814442,0.0033871493055316337
ridge_rank_alpha10000__risk_abs_error_s0p2_micro_regime_scaled,regime_microstructure,220570,550684.1546279788,350413.3863205294,351588.94592188124,0.003179644767268397,0.00006382146188832483,0.004391171524536748,0.0033435624611846126
ridge_rank_alpha10000__feature_04_z_residual,residual_correction,220570,550684.1546279788,350423.96254761674,351588.94592188124,0.003180275372646735,-0.00019459554680234525,0.004918130754527422,0.003313481233631732
ridge_rank_alpha10000__risk_sq_error_shrink_s0p05,risk_shrinkage,220570,550684.1546279788,350432.08592915686,351588.94592188124,0.0031324910068238456,0.0002480032554922351,0.004269897233419896,0.0032903764641719624
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p05,risk_shrinkage,220570,550684.1546279788,350433.2755325749,351588.94592188124,0.003129187329944827,0.0002457676691056676,0.004265456299349683,0.0032869929578590584
ridge_rank_alpha10000__risk_high_error_shrink_s0p05,risk_shrinkage,220570,550684.1546279788,350434.05346710735,351588.94592188124,0.0031265091526107456,0.0002582226121514708,0.004211057303455028,0.0032847803327425984
ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,220570,550684.1546279788,350470.70307151496,351588.94592188124,0.0030279719958038686,0.0002960131954590217,0.004028708111936757,0.0031805404104335855
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,220570,550684.1546279788,350471.72921856923,351588.94592188124,0.003025226155190852,0.0002936610994649369,0.0040260883341355965,0.003177621811694342
ridge_rank_alpha10000__risk_sq_error_shrink_s0p02,risk_shrinkage,220570,550684.1546279788,350532.11243390467,351588.94592188124,0.002850911679658008,0.00006671064745056299,0.003999976855243537,0.0030058780295424414
