fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,ridge_rank_alpha10000,alpha_latent_global,43173,116686.75661540031,81701.46848923754,82026.74549857859,0.00396549939125268
rw_01,pls_rank_k8,alpha_latent_recent,43173,116686.75661540031,81762.00964276317,82026.74549857859,0.0032274333719605197
rw_01,latent_alpha_linear_stack,alpha_latent_stack,43173,116686.75661540031,81694.38005050713,82026.74549857859,0.004051915580110643
rw_01,ridge_rank_alpha10000__feature_47_z_residual,residual_correction,43173,116686.75661540031,81700.9456407806,82026.74549857859,0.003971873512934043
rw_01,ridge_rank_alpha10000__feature_59_z_residual,residual_correction,43173,116686.75661540031,81701.64097111135,82026.74549857859,0.003963396639610317
rw_01,ridge_rank_alpha10000__feature_04_z_residual,residual_correction,43173,116686.75661540031,81711.2832261816,82026.74549857859,0.003845846503838901
rw_01,ridge_rank_alpha10000__plus_residual_rules,residual_correction,43173,116686.75661540031,81710.8027376081,82026.74549857859,0.003851704210012352
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0,risk_shrinkage,43173,116686.75661540031,81710.8027376081,82026.74549857859,0.003851704210012352
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p02,risk_shrinkage,43173,116686.75661540031,81707.52081249235,82026.74549857859,0.0038917146370480715
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,43173,116686.75661540031,81703.79852910274,82026.74549857859,0.003937093535930192
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p1,risk_shrinkage,43173,116686.75661540031,81700.08288622834,82026.74549857859,0.003982391479324443
rw_01,ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p2,risk_shrinkage,43173,116686.75661540031,81698.80421350522,82026.74549857859,0.003997979964706078
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0,risk_shrinkage,43173,116686.75661540031,81710.8027376081,82026.74549857859,0.003851704210012352
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p02,risk_shrinkage,43173,116686.75661540031,81708.46229849094,82026.74549857859,0.0038802368441298585
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p05,risk_shrinkage,43173,116686.75661540031,81706.58628961488,82026.74549857859,0.003903107541542772
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p1,risk_shrinkage,43173,116686.75661540031,81706.22239919101,82026.74549857859,0.0039075437826937565
rw_01,ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p2,risk_shrinkage,43173,116686.75661540031,81710.61562132693,82026.74549857859,0.0038539853718460026
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0,risk_shrinkage,43173,116686.75661540031,81710.8027376081,82026.74549857859,0.003851704210012352
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p02,risk_shrinkage,43173,116686.75661540031,81707.46396878967,82026.74549857859,0.0038924076269056807
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,43173,116686.75661540031,81703.66949248986,82026.74549857859,0.003938666640069588
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p1,risk_shrinkage,43173,116686.75661540031,81699.85987475808,82026.74549857859,0.003985110244635659
rw_01,ridge_rank_alpha10000__risk_abs_error_shrink_s0p2,risk_shrinkage,43173,116686.75661540031,81698.4569172606,82026.74549857859,0.004002213903801399
