candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
ridge_rank_alpha10000__feature_59_z_residual,residual_correction,302,600.3678175210953,268.2607484400786,273.95499832568703,0.02070979516484356,0.020000397329182795,0.0010032400403095715,0.02078534766808271
ridge_rank_alpha10000__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,302,600.3678175210953,268.8059235513911,273.95499832568703,0.019055906342118623,0.01660923905184697,0.0034601100645168027,0.018795330641036556
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0,risk_shrinkage,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__risk_sq_error_shrink_s0,risk_shrinkage,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0,risk_shrinkage,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__risk_high_error_shrink_s0,risk_shrinkage,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__plus_residual_rules,residual_correction,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__risk_abs_error_shrink_s0,risk_shrinkage,302,600.3678175210953,268.8074215977708,273.95499832568703,0.019049765690617282,0.01660941216849765,0.0034511810479665337,0.01878986242038405
ridge_rank_alpha10000__risk_sq_responder6_shrink_s0p05,risk_shrinkage,302,600.3678175210953,268.8363487942521,273.95499832568703,0.01898290978361239,0.01617885384443707,0.003965533938834565,0.01868427136835704
ridge_rank_alpha10000__risk_sq_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,268.8368644404501,273.95499832568703,0.0189821180736211,0.01616782273543349,0.003980014635788296,0.018682389138789612
ridge_rank_alpha10000__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,302,600.3678175210953,268.89314111090033,273.95499832568703,0.018723014500486357,0.01641275076344273,0.0032672063095858478,0.018476966091960034
ridge_rank_alpha10000__risk_abs_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,268.89554379900005,273.95499832568703,0.018713611792716578,0.01640928532311081,0.0032588097454517885,0.01846819571684588
ridge_rank_alpha10000__risk_abs_responder6_shrink_s0p05,risk_shrinkage,302,600.3678175210953,268.896559905765,273.95499832568703,0.018709995847927208,0.016404795376278924,0.0032600457709938573,0.018464486688826054
ridge_rank_alpha10000__risk_high_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,268.9614349185419,273.95499832568703,0.01849841528670021,0.015956333065783812,0.0035950471534874876,0.018227677675764165
latent_alpha_linear_stack,alpha_latent_stack,302,600.3678175210953,272.6969568261985,273.95499832568703,0.004760137718706425,0.0031827899302907525,0.0022307066349566513,0.004592146546612441
ridge_rank_alpha10000,alpha_latent_global,302,600.3678175210953,275.18326516979124,273.95499832568703,-0.003840123523162209,-0.009880730435412266,0.008542708220268695,-0.004483462070817845
ridge_rank_alpha10000__feature_04_z_residual,residual_correction,302,600.3678175210953,275.43398352720783,273.95499832568703,-0.004465215849784432,-0.01322959939168844,0.012394710070800192,-0.005398642881348392
ridge_rank_alpha10000__feature_47_z_residual,residual_correction,302,600.3678175210953,275.5238976065573,273.95499832568703,-0.004957848324795844,-0.012178368575275211,0.0102113576656175,-0.005726850360310287
pls_rank_k8__risk_abs_error_s0p05_micro_regime_scaled,regime_microstructure,302,600.3678175210953,303.5480270302274,273.95499832568703,-0.10672043368627682,-0.11893671530584515,0.0172764311481627,-0.10802149581282383
pls_rank_k8__risk_sq_responder6_shrink_s0p05,risk_shrinkage,302,600.3678175210953,303.5895439769004,273.95499832568703,-0.10670371837963644,-0.12049988977676329,0.01951073269864057,-0.10817304240597503
pls_rank_k8__risk_sq_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,303.61666688046336,273.95499832568703,-0.1067792814223345,-0.12079555995630753,0.019822011196743535,-0.10827204736565355
pls_rank_k8__risk_abs_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,303.7004381784633,273.95499832568703,-0.10709272385409907,-0.1210371021070289,0.0197203288441538,-0.10857783225190087
pls_rank_k8__risk_abs_responder6_shrink_s0p05,risk_shrinkage,302,600.3678175210953,303.71191232706366,273.95499832568703,-0.10714789817075743,-0.12096748115980405,0.019543841689450246,-0.10861971558555239
pls_rank_k8__risk_high_error_shrink_s0p05,risk_shrinkage,302,600.3678175210953,304.0070855650164,273.95499832568703,-0.1080855414784282,-0.12321784954260195,0.021400315294362288,-0.10969716713692668
pls_rank_k8__risk_abs_error_s0_micro_regime_scaled,regime_microstructure,302,600.3678175210953,307.51686457265106,273.95499832568703,-0.12123209262710077,-0.13321860437380906,0.016951487477739273,-0.12250868373302892
pls_rank_k8__feature_59_z_residual,residual_correction,302,600.3678175210953,307.5666675013413,273.95499832568703,-0.12118983894402724,-0.1352800240175902,0.019926530827379694,-0.12269047610401906
pls_rank_k8__risk_sq_responder6_shrink_s0,risk_shrinkage,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8__risk_abs_responder6_shrink_s0,risk_shrinkage,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8__risk_high_error_shrink_s0,risk_shrinkage,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8__risk_sq_error_shrink_s0,risk_shrinkage,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8__plus_residual_rules,residual_correction,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8__risk_abs_error_shrink_s0,risk_shrinkage,302,600.3678175210953,308.0146718338044,273.95499832568703,-0.12281610059296999,-0.1369913471502171,0.02004682593124139,-0.12432579699687052
pls_rank_k8,alpha_latent_recent,302,600.3678175210953,310.8463490803798,273.95499832568703,-0.13365778029820086,-0.1430876497935727,0.013335849331763181,-0.13466208311642158
pls_rank_k8__feature_04_z_residual,residual_correction,302,600.3678175210953,311.0920677289478,273.95499832568703,-0.1345012994517203,-0.14443267497587753,0.014045085959283372,-0.13555901381697355
pls_rank_k8__feature_47_z_residual,residual_correction,302,600.3678175210953,311.09245412590496,273.95499832568703,-0.13457778362465744,-0.14380425670725816,0.013048203366284232,-0.1355604242564965
